Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Nathaniel Dell,nathaniel-dell-1,/cfb/players/nathaniel-dell-1.html,Houston,American,13,109,1398,12.8,17,107.5,4,9,2.3,0,0.7,113,1407,12.5,17,,2022
Charlie Jones,charlie-jones-7,/cfb/players/charlie-jones-7.html,Purdue,Big Ten,13,110,1361,12.4,12,104.7,2,3,1.5,0,0.2,112,1364,12.2,12,,2022
Rashee Rice,rashee-rice-1,/cfb/players/rashee-rice-1.html,SMU,American,12,96,1355,14.1,10,112.9,0,0,,0,0.0,96,1355,14.1,10,,2022
Malachi Corley,malachi-corley-1,/cfb/players/malachi-corley-1.html,Western Kentucky,CUSA,14,101,1295,12.8,11,92.5,11,87,7.9,0,6.2,112,1382,12.3,11,,2022
Jalin Hyatt,jalin-hyatt-1,/cfb/players/jalin-hyatt-1.html,Tennessee,SEC,12,67,1267,18.9,15,105.6,1,0,0.0,0,0.0,68,1267,18.6,15,AA,2022
Marvin Harrison Jr.,marvin-harrison-jr-1,/cfb/players/marvin-harrison-jr-1.html,Ohio State,Big Ten,13,77,1263,16.4,14,97.2,2,32,16.0,0,2.5,79,1295,16.4,14,AA,2022
Keylon Stokes,keylon-stokes-1,/cfb/players/keylon-stokes-1.html,Tulsa,American,12,76,1224,16.1,8,102.0,4,9,2.3,0,0.8,80,1233,15.4,8,,2022
Xavier Hutchinson,xavier-hutchinson-1,/cfb/players/xavier-hutchinson-1.html,Iowa State,Big 12,12,107,1171,10.9,6,97.6,0,0,,0,0.0,107,1171,10.9,6,,2022
Emeka Egbuka,emeka-egbuka-1,/cfb/players/emeka-egbuka-1.html,Ohio State,Big Ten,13,74,1151,15.6,10,88.5,11,87,7.9,2,6.7,85,1238,14.6,12,,2022
Rome Odunze,rome-odunze-1,/cfb/players/rome-odunze-1.html,Washington,Pac-12,12,75,1145,15.3,7,95.4,3,6,2.0,1,0.5,78,1151,14.8,8,,2022
Zakhari Franklin,zakhari-franklin-1,/cfb/players/zakhari-franklin-1.html,UTSA,CUSA,14,94,1136,12.1,15,81.1,0,0,,0,0.0,94,1136,12.1,15,,2022
Tory Horton,tory-horton-1,/cfb/players/tory-horton-1.html,Colorado State,MWC,12,71,1131,15.9,8,94.3,2,6,3.0,0,0.5,73,1137,15.6,8,,2022
Jamari Thrash,jamari-thrash-1,/cfb/players/jamari-thrash-1.html,Georgia State,Sun Belt,12,61,1122,18.4,7,93.5,2,5,2.5,0,0.4,63,1127,17.9,7,,2022
Dorian Singer,dorian-singer-1,/cfb/players/dorian-singer-1.html,Arizona,Pac-12,12,66,1105,16.7,6,92.1,0,0,,0,0.0,66,1105,16.7,6,,2022
Jalen McMillan,jalen-mcmillan-1,/cfb/players/jalen-mcmillan-1.html,Washington,Pac-12,13,79,1098,13.9,9,84.5,1,2,2.0,0,0.2,80,1100,13.8,9,,2022
A.T. Perry,at-perry-1,/cfb/players/at-perry-1.html,Wake Forest,ACC,13,81,1096,13.5,11,84.3,0,0,,0,0.0,81,1096,13.5,11,,2022
Jalen Cropper,jalen-cropper-1,/cfb/players/jalen-cropper-1.html,Fresno State,MWC,14,83,1086,13.1,5,77.6,7,19,2.7,0,1.4,90,1105,12.3,5,,2022
Isaiah Winstead,isaiah-winstead-1,/cfb/players/isaiah-winstead-1.html,East Carolina,American,13,88,1085,12.3,6,83.5,0,0,,0,0.0,88,1085,12.3,6,,2022
Marvin Mims,marvin-mims-1,/cfb/players/marvin-mims-1.html,Oklahoma,Big 12,13,54,1083,20.1,6,83.3,2,3,1.5,0,0.2,56,1086,19.4,6,,2022
Zay Flowers,zay-flowers-1,/cfb/players/zay-flowers-1.html,Boston College,ACC,12,78,1077,13.8,12,89.8,12,40,3.3,0,3.3,90,1117,12.4,12,,2022
