Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Danny Scudero,danny-scudero-1,/cfb/players/danny-scudero-1.html,San Jose State,MWC,12,88,1297,14.7,10,108.1,0,0,,0,0.0,88,1297,14.7,10,,2025
Skyler Bell,skyler-bell-1,/cfb/players/skyler-bell-1.html,Connecticut,Ind,13,101,1278,12.7,13,98.3,2,-2,-1.0,0,-0.2,103,1276,12.4,13,AA,2025
Wyatt Young,wyatt-young-2,/cfb/players/wyatt-young-2.html,North Texas,American,14,70,1264,18.1,10,90.3,3,16,5.3,1,1.1,73,1280,17.5,11,,2025
Jeremiah Smith,jeremiah-smith-2,/cfb/players/jeremiah-smith-2.html,Ohio State,Big Ten,13,87,1243,14.3,12,95.6,3,21,7.0,1,1.6,90,1264,14.0,13,"H-6,AA",2025
Malachi Toney,malachi-toney-1,/cfb/players/malachi-toney-1.html,Miami (FL),ACC,16,109,1211,11.1,10,75.7,23,113,4.9,1,7.1,132,1324,10.0,11,,2025
Beau Sparks,beau-sparks-1,/cfb/players/beau-sparks-1.html,Texas State,Sun Belt,13,84,1200,14.3,10,92.3,6,74,12.3,1,5.7,90,1274,14.2,11,,2025
Eric McAlister,eric-mcalister-1,/cfb/players/eric-mcalister-1.html,Texas Christian,Big 12,13,72,1190,16.5,10,91.5,0,0,,0,0.0,72,1190,16.5,10,,2025
Makai Lemon,makai-lemon-1,/cfb/players/makai-lemon-1.html,USC,Big Ten,12,79,1156,14.6,11,96.3,9,4,0.4,2,0.3,88,1160,13.2,13,AA,2025
Cooper Barkate,cooper-barkate-1,/cfb/players/cooper-barkate-1.html,Duke,ACC,14,72,1106,15.4,7,79.0,0,0,,0,0.0,72,1106,15.4,7,,2025
KJ Duff,kj-duff-1,/cfb/players/kj-duff-1.html,Rutgers,Big Ten,12,60,1084,18.1,7,90.3,0,0,,0,0.0,60,1084,18.1,7,,2025
Duce Robinson,duce-robinson-1,/cfb/players/duce-robinson-1.html,Florida State,ACC,12,56,1081,19.3,6,90.1,0,0,,0,0.0,56,1081,19.3,6,,2025
Camden Brown,camden-brown-1,/cfb/players/camden-brown-1.html,Georgia Southern,Sun Belt,13,65,1079,16.6,14,83.0,0,0,,0,0.0,65,1079,16.6,14,,2025
Brenen Thompson,brenen-thompson-1,/cfb/players/brenen-thompson-1.html,Mississippi State,SEC,13,57,1054,18.5,6,81.1,4,14,3.5,1,1.1,61,1068,17.5,7,,2025
Anthony Smith,anthony-smith-14,/cfb/players/anthony-smith-14.html,East Carolina,American,13,64,1053,16.5,7,81.0,1,45,45.0,1,3.5,65,1098,16.9,8,,2025
