Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
DeVonta Smith,devonta-smith-1,/cfb/players/devonta-smith-1.html,Alabama,SEC,13,117,1856,15.9,23,142.8,4,6,1.5,1,0.5,121,1862,15.4,24,"H-1,Maxwell,AA,Camp",2020
Elijah Moore,elijah-moore-1,/cfb/players/elijah-moore-1.html,Ole Miss,SEC,8,86,1193,13.9,8,149.1,14,64,4.6,0,8.0,100,1257,12.6,8,AA,2020
Jaelon Darden,jaelon-darden-1,/cfb/players/jaelon-darden-1.html,North Texas,CUSA,9,74,1190,16.1,19,132.2,1,-3,-3.0,0,-0.3,75,1187,15.8,19,,2020
Dax Milne,dax-milne-1,/cfb/players/dax-milne-1.html,BYU,Ind,12,70,1188,17.0,8,99.0,11,67,6.1,0,5.6,81,1255,15.5,8,,2020
Jonathan Adams Jr.,jonathan-adams-jr-1,/cfb/players/jonathan-adams-jr-1.html,Arkansas State,Sun Belt,10,79,1111,14.1,12,111.1,0,0,,0,0.0,79,1111,14.1,12,,2020
Dyami Brown,dyami-brown-1,/cfb/players/dyami-brown-1.html,North Carolina,ACC,11,55,1099,20.0,8,99.9,0,0,,0,0.0,55,1099,20.0,8,,2020
Jalen Tolbert,jalen-tolbert-1,/cfb/players/jalen-tolbert-1.html,South Alabama,Sun Belt,11,64,1085,17.0,8,98.6,0,0,,0,0.0,64,1085,17.0,8,,2020
Calvin Austin III,calvin-austin-iii-1,/cfb/players/calvin-austin-iii-1.html,Memphis,American,11,63,1053,16.7,11,95.7,2,14,7.0,0,1.3,65,1067,16.4,11,,2020
Marlon Williams,marlon-williams-5,/cfb/players/marlon-williams-5.html,UCF,American,8,71,1039,14.6,10,129.9,0,0,,0,0.0,71,1039,14.6,10,,2020
Amari Rodgers,amari-rodgers-1,/cfb/players/amari-rodgers-1.html,Clemson,ACC,12,77,1020,13.2,7,85.0,0,0,,0,0.0,77,1020,13.2,7,,2020
Romeo Doubs,romeo-doubs-1,/cfb/players/romeo-doubs-1.html,Nevada,MWC,9,58,1002,17.3,9,111.3,1,-4,-4.0,0,-0.4,59,998,16.9,9,,2020
Jaivon Heiligh,jaivon-heiligh-1,/cfb/players/jaivon-heiligh-1.html,Coastal Carolina,Sun Belt,12,65,998,15.4,10,83.2,0,0,,0,0.0,65,998,15.4,10,,2020
Kadarius Toney,kadarius-toney-1,/cfb/players/kadarius-toney-1.html,Florida,SEC,11,70,984,14.1,10,89.5,19,161,8.5,1,14.6,89,1145,12.9,11,,2020
Jaylon Robinson,jaylon-robinson-1,/cfb/players/jaylon-robinson-1.html,UCF,American,10,55,979,17.8,6,97.9,0,0,,0,0.0,55,979,17.8,6,,2020
Jaquarii Roberson,jaquarii-roberson-1,/cfb/players/jaquarii-roberson-1.html,Wake Forest,ACC,9,62,926,14.9,8,102.9,0,0,,0,0.0,62,926,14.9,8,,2020
Tylan Wallace,tylan-wallace-1,/cfb/players/tylan-wallace-1.html,Oklahoma State,Big 12,10,59,922,15.6,6,92.2,1,7,7.0,0,0.7,60,929,15.5,6,,2020
John Metchie,john-metchie-1,/cfb/players/john-metchie-1.html,Alabama,SEC,13,55,916,16.7,6,70.5,0,0,,0,0.0,55,916,16.7,6,,2020
Zay Flowers,zay-flowers-1,/cfb/players/zay-flowers-1.html,Boston College,ACC,11,56,892,15.9,9,81.1,11,41,3.7,1,3.7,67,933,13.9,10,,2020
Jahan Dotson,jahan-dotson-1,/cfb/players/jahan-dotson-1.html,Penn State,Big Ten,9,52,884,17.0,8,98.2,0,0,,0,0.0,52,884,17.0,8,,2020
Cornell Powell,cornell-powell-1,/cfb/players/cornell-powell-1.html,Clemson,ACC,12,53,882,16.6,7,73.5,0,0,,0,0.0,53,882,16.6,7,,2020
Dez Fitzpatrick,dez-fitzpatrick-1,/cfb/players/dez-fitzpatrick-1.html,Louisville,ACC,11,43,833,19.4,3,75.7,0,0,,0,0.0,43,833,19.4,3,,2020
Treylon Burks,treylon-burks-1,/cfb/players/treylon-burks-1.html,Arkansas,SEC,9,51,820,16.1,7,91.1,15,75,5.0,0,8.3,66,895,13.6,7,,2020
Sam Pinckney,sam-pinckney-1,/cfb/players/sam-pinckney-1.html,Georgia State,Sun Belt,10,47,815,17.3,7,81.5,0,0,,0,0.0,47,815,17.3,7,,2020
Mike Harley,mike-harley-1,/cfb/players/mike-harley-1.html,Miami (FL),ACC,11,57,799,14.0,7,72.6,2,13,6.5,0,1.2,59,812,13.8,7,,2020
D'Wayne Eskridge,dwayne-eskridge-1,/cfb/players/dwayne-eskridge-1.html,Western Michigan,MAC,6,34,784,23.1,8,130.7,1,27,27.0,0,4.5,35,811,23.2,8,,2020
Xavier Hutchinson,xavier-hutchinson-1,/cfb/players/xavier-hutchinson-1.html,Iowa State,Big 12,12,64,771,12.0,4,64.3,0,0,,0,0.0,64,771,12.0,4,,2020
Kyle Pitts,kyle-pitts-1,/cfb/players/kyle-pitts-1.html,Florida,SEC,8,43,770,17.9,12,96.3,0,0,,0,0.0,43,770,17.9,12,"H-10,AA",2020
Gunner Romney,gunner-romney-1,/cfb/players/gunner-romney-1.html,BYU,Ind,10,39,767,19.7,2,76.7,6,15,2.5,1,1.5,45,782,17.4,3,,2020
Seth Williams,seth-williams-1,/cfb/players/seth-williams-1.html,Auburn,SEC,11,47,760,16.2,4,69.1,0,0,,0,0.0,47,760,16.2,4,,2020
Kaylon Geiger,kaylon-geiger-1,/cfb/players/kaylon-geiger-1.html,Troy,Sun Belt,11,64,752,11.8,3,68.4,4,16,4.0,0,1.5,68,768,11.3,3,,2020
