recruit_name,recruit_year,committed_to,recruit_id,sports_ref_id,roster_name,roster_school,roster_year,pos,name_score,team_match,year_diff,match_strategy
Trenton Thompson,2015,Georgia,201500001,trenton-thompson-1,Trenton Thompson,Georgia,2015,DT,100,1,0,PRIMARY_LAYER
Martez Ivey,2015,Florida,201500002,martez-ivey-1,Martez Ivey,Florida,2015,OL,100,1,0,PRIMARY_LAYER
Byron Cowart,2015,Auburn,201500003,byron-cowart-1,Byron Cowart,Auburn,2015,DE,100,1,0,PRIMARY_LAYER
Iman Marshall,2015,USC,201500004,iman-marshall-1,Iman Marshall,USC,2015,CB,100,1,0,PRIMARY_LAYER
Derwin James,2015,Florida State,201500005,derwin-james-1,Derwin James,Florida State,2015,DB,100,1,0,PRIMARY_LAYER
Kahlil McKenzie,2015,Tennessee,201500006,kahlil-mckenzie-1,Kahlil McKenzie,Tennessee,2015,DL,100,1,0,PRIMARY_LAYER
CeCe Jefferson,2015,Florida,201500007,cece-jefferson-1,Cece Jefferson,Florida,2015,DL,100,1,0,PRIMARY_LAYER
Josh Sweat,2015,Florida State,201500008,josh-sweat-1,Josh Sweat,Florida State,2015,DE,100,1,0,PRIMARY_LAYER
Kevin Toliver II,2015,LSU,201500009,kevin-toliver-ii-1,Kevin Toliver II,LSU,2015,CB,100,1,0,PRIMARY_LAYER
Malik Jefferson,2015,Texas,201500010,malik-jefferson-1,Malik Jefferson,Texas,2015,LB,100,1,0,PRIMARY_LAYER
Josh Rosen,2015,UCLA,201500011,josh-rosen-1,Josh Rosen,UCLA,2015,QB,100,1,0,PRIMARY_LAYER
Calvin Ridley,2015,Alabama,201500012,calvin-ridley-1,Calvin Ridley,Alabama,2015,WR,100,1,0,PRIMARY_LAYER
Terry Beckner Jr.,2015,Missouri,201500013,terry-beckner-jr-1,Terry Beckner Jr.,Missouri,2015,DL,100,1,0,PRIMARY_LAYER
Daylon Mack,2015,Texas A&M,201500014,daylon-mack-1,Daylon Mack,Texas A&M,2015,DL,100,1,0,PRIMARY_LAYER
Tarvarus McFadden,2015,Florida State,201500015,tarvarus-mcfadden-1,Tarvarus McFadden,Florida State,2015,DB,100,1,0,PRIMARY_LAYER
Keisean Lucier-South,2015,UCLA,201500016,keisean-lucier-south-1,Keisean Lucier-South,UCLA,2015,LB,100,1,0,PRIMARY_LAYER
Canton Kaumatule,2015,Oregon,201500017,canton-kaumatule-1,Canton Kaumatule,Oregon,2015,DL,100,1,0,PRIMARY_LAYER
Deon Cain,2015,Clemson,201500018,deon-cain-1,Deon Cain,Clemson,2015,WR,100,1,0,PRIMARY_LAYER
George Campbell,2015,Florida State,201500019,george-campbell-1,George Campbell,Florida State,2015,WR,100,1,0,PRIMARY_LAYER
Kendall Sheffield,2015,Alabama,201500020,kendall-sheffield-1,Kendall Sheffield,Alabama,2015,DB,100,1,0,PRIMARY_LAYER
Rasheem Green,2015,USC,201500021,rasheem-green-1,Rasheem Green,USC,2015,DE,100,1,0,PRIMARY_LAYER
Blake Barnett,2015,Alabama,201500022,blake-barnett-2,Blake Barnett,Alabama,2015,QB,100,1,0,PRIMARY_LAYER
Mitch Hyatt,2015,Clemson,201500023,mitch-hyatt-1,Mitch Hyatt,Clemson,2015,T,100,1,0,PRIMARY_LAYER
Christian Wilkins,2015,Clemson,201500024,christian-wilkins-1,Christian Wilkins,Clemson,2015,DT,100,1,0,PRIMARY_LAYER
Christian Kirk,2015,Texas A&M,201500025,christian-kirk-1,Christian Kirk,Texas A&M,2015,WR,100,1,0,PRIMARY_LAYER
Chuma Edoga,2015,USC,201500026,chuma-edoga-1,Chuma Edoga,USC,2015,T,100,1,0,PRIMARY_LAYER
Terry Godwin,2015,Georgia,201500027,terry-godwin-1,Terry Godwin,Georgia,2015,WR,100,1,0,PRIMARY_LAYER
Daron Payne,2015,Alabama,201500028,daron-payne-1,Daron Payne,Alabama,2015,DL,100,1,0,PRIMARY_LAYER
Tyron Johnson,2015,LSU,201500029,tyron-johnson-1,Tyron Johnson,LSU,2015,WR,100,1,0,PRIMARY_LAYER
Minkah Fitzpatrick,2015,Alabama,201500030,minkah-fitzpatrick-1,Minkah Fitzpatrick,Alabama,2015,DB,100,1,0,PRIMARY_LAYER
Damien Harris,2015,Alabama,201500031,damien-harris-1,Damien Harris,Alabama,2015,RB,100,1,0,PRIMARY_LAYER
Soso Jamabo,2015,UCLA,201500032,soso-jamabo-1,Soso Jamabo,UCLA,2015,RB,100,1,0,PRIMARY_LAYER
Osa Masina,2015,USC,201500033,osa-masina-1,Osa Masina,USC,2015,LB,100,1,0,PRIMARY_LAYER
Kyler Murray,2015,Texas A&M,201500034,kyler-murray-1,Kyler Murray,Texas A&M,2015,QB,100,1,0,PRIMARY_LAYER
Justin Hilliard,2015,Ohio State,201500035,justin-hilliard-1,Justin Hilliard,Ohio State,2015,LB,100,1,0,PRIMARY_LAYER
Kyle Phillips,2015,Tennessee,201500036,kyle-phillips-3,Kyle Phillips,Tennessee,2015,DL,100,1,0,PRIMARY_LAYER
Maea Teuhema,2015,LSU,201500037,maea-teuhema-1,Maea Teuhema,LSU,2015,G,100,1,0,PRIMARY_LAYER
Jacques Patrick,2015,Florida State,201500038,jacques-patrick-1,Jacques Patrick,Florida State,2015,RB,100,1,0,PRIMARY_LAYER
Jarrett Stidham,2015,Baylor,201500039,jarrett-stidham-1,Jarrett Stidham,Baylor,2015,QB,100,1,0,PRIMARY_LAYER
Porter Gustin,2015,USC,201500041,porter-gustin-1,Porter Gustin,USC,2015,LB,100,1,0,PRIMARY_LAYER
Damarkus Lodge,2015,Ole Miss,201500042,damarkus-lodge-1,DaMarkus Lodge,Ole Miss,2015,WR,100,1,0,PRIMARY_LAYER
Kerryon Johnson,2015,Auburn,201500043,kerryon-johnson-1,Kerryon Johnson,Auburn,2015,RB,100,1,0,PRIMARY_LAYER
Deionte Thompson,2015,Alabama,201500044,deionte-thompson-1,Deionte Thompson,Alabama,2015,DB,100,1,0,PRIMARY_LAYER
Derrius Guice,2015,LSU,201500045,derrius-guice-1,Derrius Guice,LSU,2015,RB,100,1,0,PRIMARY_LAYER
Brandon Wimbush,2015,Notre Dame,201500046,brandon-wimbush-1,Brandon Wimbush,Notre Dame,2015,QB,100,1,0,PRIMARY_LAYER
Preston Williams,2015,Tennessee,201500047,preston-williams-4,Preston Williams,Tennessee,2015,WR,100,1,0,PRIMARY_LAYER
Roquan Smith,2015,Georgia,201500048,roquan-smith-1,Roquan Smith,Georgia,2015,LB,100,1,0,PRIMARY_LAYER
John Houston Jr.,2015,USC,201500049,john-houston-jr-1,John Houston Jr.,USC,2015,LB,100,1,0,PRIMARY_LAYER
Donte Jackson,2015,LSU,201500050,donte-jackson-1,Donte Jackson,LSU,2015,DB,100,1,0,PRIMARY_LAYER
Breiden Fehoko,2015,Texas Tech,201500051,breiden-fehoko-1,Breiden Fehoko,Texas Tech,2015,DL,100,1,0,PRIMARY_LAYER
Javon Patterson,2015,Ole Miss,201500052,javon-patterson-1,Javon Patterson,Ole Miss,2015,OL,100,1,0,PRIMARY_LAYER
Taj Griffin,2015,Oregon,201500053,taj-griffin-1,Taj Griffin,Oregon,2015,RB,100,1,0,PRIMARY_LAYER
Lester Cotton,2015,Alabama,201500054,lester-cotton-1,Lester Cotton,Alabama,2015,OL,100,1,0,PRIMARY_LAYER
Shy Tuttle,2015,Tennessee,201500055,shy-tuttle-1,Shy Tuttle,Tennessee,2015,DL,100,1,0,PRIMARY_LAYER
Drew Richmond,2015,Tennessee,201500056,drew-richmand-1,Drew Richmond,Tennessee,2015,OL,100,1,0,PRIMARY_LAYER
Jalen Dalton,2015,North Carolina,201500057,jalen-dalton-1,Jalen Dalton,North Carolina,2015,DE,100,1,0,PRIMARY_LAYER
Jamal Peters,2015,Mississippi State,201500058,jamal-peters-1,Jamal Peters,Mississippi State,2015,DB,100,1,0,PRIMARY_LAYER
Marvell Tell III,2015,USC,201500059,marvell-tell-iii-1,Marvell Tell III,USC,2015,S,100,1,0,PRIMARY_LAYER
Jerome Baker,2015,Ohio State,201500061,jerome-baker-1,Jerome Baker,Ohio State,2015,LB,100,1,0,PRIMARY_LAYER
Richie Petitbon,2015,Alabama,201500062,richie-petitbon-3,Richie Petitbon,Alabama,2015,OL,100,1,0,PRIMARY_LAYER
Alize Mack,2015,Notre Dame,201500063,alize-mack-1,Alize Mack,Notre Dame,2015,TE,100,1,0,PRIMARY_LAYER
Leo Lewis,2015,Mississippi State,201500064,leo-lewis-2,Leo Lewis,Mississippi State,2015,LB,100,1,0,PRIMARY_LAYER
Jonathan Ledbetter,2015,Georgia,201500065,jonathan-ledbetter-1,Jonathan Ledbetter,Georgia,2015,DE,100,1,0,PRIMARY_LAYER
Deondre Francois,2015,Florida State,201500066,deondre-francois-1,Deondre Francois,Florida State,2015,QB,100,1,0,PRIMARY_LAYER
DeChaun Holiday,2015,UCLA,201500067,dechaun-holiday-1,DeChaun Holiday,UCLA,2015,DB,100,1,0,PRIMARY_LAYER
Brady White,2015,Arizona State,201500068,brady-white-1,Brady White,Arizona State,2015,QB,100,1,0,PRIMARY_LAYER
