recruit_name,recruit_year,committed_to,recruit_id,sports_ref_id,roster_name,roster_school,roster_year,pos,recruit_pos,name_score,team_match,year_diff,match_strategy
Darius Richard,2018,Uncommitted,201803237,darius-richardson-1,Darius Richardson,Army,2020,DL,dt,90,0,2,Final_StandardName
Peter Brown,2018,Uncommitted,201803476,peter-brown-3,Peter Brown,Navy,2018,WR,wr,100,0,0,Final_StandardName
Josh Walker,2018,Uncommitted,201803478,joseph-walker-1,Joseph Walker,Louisiana Tech,2019,WR,wr,91,0,1,Final_StandardName
Ebissa Sambo,2018,Uncommitted,201803504,ebissa-sambo-1,Ebissa Sambo,Navy,2019,CB,cb,100,0,1,Final_StandardName
Jaden Williams,2018,Uncommitted,201803516,jalen-williams-7,Jalen Williams,Louisiana,2018,WR,wr,92,0,0,Final_StandardName
John Blunt Jr.,2018,McNeese,201803530,john-blunt-jr-1,John Blunt Jr.,Western Kentucky,2020,DB,cb,100,0,2,Final_StandardName
Kyle Wakefield,2018,Uncommitted,201803565,kyle-wakefield-1,Kyle Wakefield,UTSA,2020,TE,te,100,0,2,Final_StandardName
Jarel Miller,2018,Uncommitted,201803697,jarel-miller-1,Jarel Miller,Florida Atlantic,2018,WR,wr,100,0,0,Final_StandardName
Brycen Tremayne,2018,Uncommitted,201803705,brycen-tremayne-1,Brycen Tremayne,Stanford,2018,WR,wr,100,0,0,Final_StandardName
Koby Duru,2018,Montana State,201803716,koby-duru-1,Koby Duru,San Diego State,2019,WR,wr,100,0,1,Final_StandardName
Jac Casasante,2018,Uncommitted,201803724,jac-casasante-1,Jac Casasante,USC,2018,LS,ls,100,0,0,Final_StandardName
Kalamaku Kuewa,2018,Uncommitted,201803728,kalamaku-kuewa-1,Kalamaku Kuewa,Hawaii,2018,DB,ath,100,0,0,Final_StandardName
Ja'Corey Jones,2018,Uncommitted,201803734,jacorey-jones-1,Jacorey Jones,Arizona,2018,CB,cb,100,0,0,Final_StandardName
Samuel Obiang,2018,Uncommitted,201803756,samuel-obiang-1,Samuel Obiang,Texas State,2020,DL,dt,100,0,2,Final_StandardName
Sam Westfall,2018,Uncommitted,201803762,sam-westfall-1,Sam Westfall,SMU,2019,CB,cb,100,0,1,Final_StandardName
Cameron Jones,2018,Uncommitted,201803802,cameron-jones-6,Cameron Jones,Army,2020,DB,cb,100,0,2,Final_StandardName
Jonah Tavai,2018,Uncommitted,201803805,jonah-tavai-1,Jonah Tavai,San Diego State,2019,DL,dt,100,0,1,Final_StandardName
Jason Lloyd,2018,Uncommitted,201803841,jason-lloyd-1,Jason Lloyd,Texas Tech,2020,TE,te,100,0,2,Final_StandardName
John Branham Jr,2019,Uncommitted,201900985,john-branham-jr-1,John Branham Jr.,Eastern Michigan,2019,RB,rb,100,0,0,Final_StandardName
Brian Dillard,2019,West Georgia,201901031,brian-dillard-1,Brian Dillard,Florida International,2019,DB,cb,100,0,0,Final_StandardName
Omar Brown,2019,Northern Iowa,201901452,omar-brown-3,Omar Brown,Nebraska,2022,DB,cb,100,0,3,Final_StandardName
Brandon Sanders,2019,Uncommitted,201901543,brandon-sanders-5,Brandon Sanders,Rutgers,2021,WR,wr,100,0,2,Final_StandardName
Tyler Hudson,2019,Central Arkansas,201901551,tyler-hudson-1,Tyler Hudson,Louisville,2022,WR,wr,100,0,3,Final_StandardName
Isaiah Coe,2019,Uncommitted,201901557,isaiah-coe-1,Isaiah Coe,Oklahoma,2021,DL,dt,100,0,2,Final_StandardName
Deshon Stoudemire,2019,Uncommitted,201901609,deshon-stoudemire-1,Deshon Stoudemire,Troy,2021,WR,wr,100,0,2,Final_StandardName
Jordan Ford,2019,Uncommitted,201901631,jordan-ford-2,Jordan Ford,Tulsa,2021,RB,rb,100,0,2,Final_StandardName
Austin White,2019,Uncommitted,201902044,austin-white-1,Austin White,Florida State,2019,TE,te,100,0,0,Final_StandardName
Elijah Downing,2019,Murray State,201902127,elijah-downing-1,Elijah Downing,Louisville,2021,WR,wr,100,0,2,Final_StandardName
Quentin Moore,2019,Uncommitted,201902322,quentin-moore-1,Quentin Moore,Washington,2021,TE,te,100,0,2,Final_StandardName
Dante Wynn,2019,Uncommitted,201902490,dante-wynn-1,Dante Wynn,Houston,2021,CB,cb,100,0,2,Final_StandardName
Jimmy Ciarlo,2019,Uncommitted,201902519,jimmy-ciarlo-1,Jimmy Ciarlo,Army,2020,S,s,100,0,1,Final_StandardName
Hayden Hagler,2019,Southeastern Louisiana,201902538,hayden-hagler-1,Hayden Hagler,Marshall,2020,TE,te,100,0,1,Final_StandardName
AJ Toney,2019,Samford,201902580,aj-toney-1,A.J. Toney,Middle Tennessee State,2022,WR,wr,100,0,3,Final_StandardName
Koby Gross,2019,Uncommitted,201902600,koby-gross-1,Koby Gross,Florida State,2021,TE,te,100,0,2,Final_StandardName
Ty James,2019,Uncommitted,201902642,ty-james-1,Ty James,Georgia,2019,WR,wr,100,0,0,Final_StandardName
Ryan Hanson,2019,Uncommitted,201902650,ryan-hanson-1,Ryan Hanson,Arkansas State,2020,P,p,100,0,1,Final_StandardName
Cade Cadam,2019,Uncommitted,201902658,cade-cadam-1,Cade Cadam,Arizona State,2020,WR,wr,100,0,1,Final_StandardName
Dylan White,2019,Pittsburg State,201902668,dylan-white-1,Dylan White,Kansas State,2021,WR,wr,100,0,2,Final_StandardName
Darius Richardson,2019,Uncommitted,201902681,darius-richardson-1,Darius Richardson,Army,2020,DL,dt,100,0,1,Final_StandardName
Tra Fluellen,2019,Houston Christian,201902787,tra-fluellen-1,Tra Fluellen,Middle Tennessee State,2021,S,s,100,0,2,Final_StandardName
Devonte Jones,2019,Furman,201902860,devon-jones-4,Devon Jones,Tennessee,2020,DL,dt,91,0,1,Final_StandardName
Billy Riviere,2019,North Dakota,201902924,billy-riviere-1,Billy Riviere,Washington State,2022,TE,te,100,0,3,Final_StandardName
Michael Vice,2019,Samford,201902926,michael-vice-1,Michael Vice,Troy,2022,TE,te,100,0,3,Final_StandardName
Tank Smith,2019,Uncommitted,201903111,tank-smith-1,Tank Smith,Penn State,2020,RB,rb,100,0,1,Final_StandardName
Anthony Summey,2019,Uncommitted,201903221,anthony-summey-1,Anthony Summey,Georgia,2019,RB,rb,100,0,0,Final_StandardName
Latrele Palmer,2019,Uncommitted,201903226,latrele-palmer-1,Latrele Palmer,James Madison,2022,RB,rb,100,0,3,Final_StandardName
Keelan Marion,2019,Uncommitted,201903395,keelan-marion-1,Keelan Marion,Connecticut,2020,WR,wr,100,0,1,Final_StandardName
Cartez Campbell,2019,Uncommitted,201903488,carter-campbell-1,Carter Campbell,SMU,2020,WR,wr,93,0,1,Final_StandardName
Martin Laham,2019,Uncommitted,201903611,martin-laham-1,Martin Laham,Massachusetts,2021,WR,ath,100,0,2,Final_StandardName
Keyon Martin,2019,Uncommitted,201903618,keyon-martin-1,Keyon Martin,Louisiana,2022,CB,cb,100,0,3,Final_StandardName
Jordan White,2019,Eastern Washington,201903698,jordan-white-6,Jordan White,Northern Illinois,2022,DB,cb,100,0,3,Final_StandardName
Jordan Wright,2019,Uncommitted,201903730,jordan-wright-4,Jordan Wright,Kansas State,2022,CB,cb,100,0,3,Final_StandardName
Ryan Stapp,2019,Abilene Christian,201903737,ryan-stapp-1,Ryan Stapp,Minnesota,2022,DB,cb,100,0,3,Final_StandardName
Melique Straker,2019,Uncommitted,201903765,melique-straker-1,Melique Straker,Arkansas State,2021,CB,cb,100,0,2,Final_StandardName
Jackson Lantz,2019,Uncommitted,201903909,jackson-lantz-1,Jackson Lantz,Ball State,2019,WR,wr,100,0,0,Final_StandardName
Juan Lua,2019,Uncommitted,201903943,juan-lua-1,Juan Lua,Massachusetts,2022,DB,cb,100,0,3,Final_StandardName
Davion Ross,2019,Eastern Kentucky,201903991,davion-ross-1,Davion Ross,Memphis,2022,DB,ath,100,0,3,Final_StandardName
