recruit_name,recruit_year,committed_to,recruit_id,sports_ref_id,roster_name,roster_school,roster_year,pos,recruit_pos,name_score,team_match,year_diff,match_strategy
Slade Carroll,2016,Charleston Southern,201603224,slade-carroll-1,Slade Carroll,South Carolina,2017,RB,rb,100,0,1,Final_StandardName
Jordon McKinney,2016,Uncommitted,201603258,jordon-mckinney-1,Jordon McKinney,Georgia,2017,DB,cb,100,0,1,Final_StandardName
Jonathan Jeffries,2016,Campbell,201603289,jonathan-jeffries-1,Jonathan Jeffries,East Carolina,2018,WR,wr,100,0,2,Final_StandardName
Greg Bell,2016,Uncommitted,201603308,greg-bell-5,Greg Bell,Nebraska,2018,RB,ath,100,0,2,Final_StandardName
Tyson Morris,2016,Uncommitted,201603335,tyson-morris-1,Tyson Morris,Arkansas,2017,WR,wr,100,0,1,Final_StandardName
Riley Krenz,2016,Uncommitted,201603374,riley-krenz-1,Riley Krenz,Washington State,2017,WR,wr,100,0,1,Final_StandardName
Jaylen Morgan,2016,Uncommitted,201603416,jaylen-morgan-1,Jaylen Morgan,Ohio,2017,CB,cb,100,0,1,Final_StandardName
Britton Hogan,2016,Uncommitted,201603511,britton-hogan-1,Britton Hogan,BYU,2019,LS,ls,100,0,3,Final_StandardName
Cody Markel,2016,Uncommitted,201603553,cody-markel-1,Cody Markel,Vanderbilt,2017,TE,te,100,0,1,Final_StandardName
Grant Theil,2016,Uncommitted,201603575,grant-theil-1,Grant Theil,Air Force,2017,DB,cb,100,0,1,Final_StandardName
Caleb Brown,2016,Idaho State,201603581,caleb-brown-1,Caleb Brown,LSU,2017,DB,cb,100,0,1,Final_StandardName
Connor Novak-Goar,2016,Uncommitted,201603831,connor-novak-goar-1,Connor Novak-Goar,Minnesota,2017,DL,dt,100,0,1,Final_StandardName
Chase Cokley,2016,Abilene Christian,201603843,chase-cokley-1,Chase Cokley,Ohio,2019,WR,wr,100,0,3,Final_StandardName
Josh Miller,2016,Uncommitted,201603869,josh-miller-4,Josh Miller,Ball State,2016,DB,ath,100,0,0,Final_StandardName
Bailey Rogers,2016,Furman,201603880,bailey-rogers-1,Bailey Rogers,South Carolina,2018,WR,wr,100,0,2,Final_StandardName
Jaxon Turner,2016,North Dakota,201603905,javon-turner-2,Javon Turner,Massachusetts,2019,WR,ath,91,0,3,Final_StandardName
Justin Warner,2016,Uncommitted,201603907,justin-warner-1,Justin Warner,Texas State,2017,LS,ls,100,0,1,Final_StandardName
True Thompson,2016,Uncommitted,201603960,true-thompson-1,True Thompson,Minnesota,2018,WR,ath,100,0,2,Final_StandardName
William Green,2017,Uncommitted,201700834,william-green-4,William Green,Liberty,2019,DT,dt,100,0,2,Final_StandardName
