Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Austin Reed,austin-reed-2,/cfb/players/austin-reed-2.html,Western Kentucky,CUSA,14,389,603,64.5,4746,40,6.6,11,1.8,7.9,8.38,12.2,339.0,148.9,,2022
Michael Penix Jr.,michael-penix-jr-1,/cfb/players/michael-penix-jr-1.html,Washington,Pac-12,13,362,554,65.3,4641,31,5.6,8,1.4,8.4,8.85,12.8,357.0,151.3,H-8,2022
Caleb Williams,caleb-williams-3,/cfb/players/caleb-williams-3.html,USC,Pac-12,14,333,500,66.6,4537,42,8.4,5,1.0,9.1,10.30,13.6,324.1,168.5,"H-1,Maxwell,AA,Camp",2022
Drake Maye,drake-maye-1,/cfb/players/drake-maye-1.html,North Carolina,ACC,14,342,517,66.2,4321,38,7.4,7,1.4,8.4,9.22,12.6,308.6,157.9,H-10,2022
Kyle Vantrease,kyle-vantrease-1,/cfb/players/kyle-vantrease-1.html,Georgia Southern,Sun Belt,13,371,604,61.4,4253,27,4.5,16,2.6,7.0,6.74,11.5,327.2,130.0,,2022
Stetson Bennett,stetson-bennett-1,/cfb/players/stetson-bennett-1.html,Georgia,SEC,15,310,454,68.3,4128,27,5.9,7,1.5,9.1,9.59,13.3,275.2,161.2,H-4,2022
Clayton Tune,clayton-tune-1,/cfb/players/clayton-tune-1.html,Houston,American,13,334,496,67.3,4074,40,8.1,10,2.0,8.2,8.92,12.2,313.4,158.9,,2022
Frank Harris,frank-harris-3,/cfb/players/frank-harris-3.html,UTSA,CUSA,14,328,471,69.6,4063,32,6.8,9,1.9,8.6,9.13,12.4,290.2,160.7,,2022
Will Rogers,will-rogers-1,/cfb/players/will-rogers-1.html,Mississippi State,SEC,13,415,610,68.0,3974,35,5.7,8,1.3,6.5,7.07,9.6,305.7,139.1,,2022
Holton Ahlers,holton-ahlers-1,/cfb/players/holton-ahlers-1.html,East Carolina,American,13,315,469,67.2,3708,28,6.0,5,1.1,7.9,8.62,11.8,285.2,151.1,,2022
Sam Hartman,sam-hartman-1,/cfb/players/sam-hartman-1.html,Wake Forest,ACC,12,270,428,63.1,3701,38,8.9,12,2.8,8.6,9.16,13.7,308.4,159.4,,2022
Max Duggan,max-duggan-1,/cfb/players/max-duggan-1.html,Texas Christian,Big 12,15,267,419,63.7,3698,32,7.6,8,1.9,8.8,9.49,13.9,246.5,159.2,H-2,2022
C.J. Stroud,cj-stroud-1,/cfb/players/cj-stroud-1.html,Ohio State,Big Ten,13,258,389,66.3,3688,41,10.5,6,1.5,9.5,10.89,14.3,283.7,177.7,H-3,2022
Jayden De Laura,jayden-de-laura-1,/cfb/players/jayden-de-laura-1.html,Arizona,Pac-12,12,272,435,62.5,3685,25,5.7,13,3.0,8.5,8.28,13.5,307.1,146.7,,2022
Bo Nix,bo-nix-1,/cfb/players/bo-nix-1.html,Oregon,Pac-12,13,294,409,71.9,3593,29,7.1,7,1.7,8.8,9.43,12.2,276.4,165.7,,2022
Seth Henigan,seth-henigan-1,/cfb/players/seth-henigan-1.html,Memphis,American,13,285,445,64.0,3559,22,4.9,8,1.8,8.0,8.18,12.5,273.8,143.9,,2022
Austin Aune,austin-aune-1,/cfb/players/austin-aune-1.html,North Texas,CUSA,14,232,411,56.4,3547,33,8.0,15,3.6,8.6,8.59,15.3,253.4,148.1,,2022
Tanner Mordecai,tanner-mordecai-1,/cfb/players/tanner-mordecai-1.html,SMU,American,12,288,443,65.0,3524,33,7.4,10,2.3,8.0,8.43,12.2,293.7,151.9,,2022
Aidan O'Connell,aidan-oconnell-1,/cfb/players/aidan-oconnell-1.html,Purdue,Big Ten,12,320,499,64.1,3490,22,4.4,13,2.6,7.0,6.70,10.9,290.8,132.2,,2022
Carter Bradley,carter-bradley-1,/cfb/players/carter-bradley-1.html,South Alabama,Sun Belt,13,275,425,64.7,3335,28,6.6,12,2.8,7.8,7.89,12.1,256.5,146.7,,2022
Bryce Young,bryce-young-1,/cfb/players/bryce-young-1.html,Alabama,SEC,12,245,380,64.5,3328,32,8.4,5,1.3,8.8,9.85,13.6,277.3,163.2,H-6,2022
Kurtis Rourke,kurtis-rourke-1,/cfb/players/kurtis-rourke-1.html,Ohio,MAC,11,244,353,69.1,3257,25,7.1,4,1.1,9.2,10.13,13.3,296.1,167.7,,2022
Chevan Cordeiro,chevan-cordeiro-1,/cfb/players/chevan-cordeiro-1.html,San Jose State,MWC,12,259,427,60.7,3251,23,5.4,6,1.4,7.6,8.06,12.6,270.9,139.6,,2022
Cameron Ward,cameron-ward-1,/cfb/players/cameron-ward-1.html,Washington State,Pac-12,13,320,497,64.4,3232,23,4.6,9,1.8,6.5,6.61,10.1,248.6,130.7,,2022
Jordan Travis,jordan-travis-1,/cfb/players/jordan-travis-1.html,Florida State,ACC,13,226,353,64.0,3214,24,6.8,5,1.4,9.1,9.83,14.2,247.2,160.1,,2022
Jaren Hall,jaren-hall-1,/cfb/players/jaren-hall-1.html,BYU,Ind,12,248,376,66.0,3171,31,8.2,6,1.6,8.4,9.36,12.8,264.3,160.8,,2022
Dorian Thompson-Robinson,dorian-thompson-robinson-1,/cfb/players/dorian-thompson-robinson-1.html,UCLA,Pac-12,13,266,382,69.6,3169,27,7.1,10,2.6,8.3,8.53,11.9,243.8,157.4,,2022
Dillon Gabriel,dillon-gabriel-1,/cfb/players/dillon-gabriel-1.html,Oklahoma,Big 12,12,230,367,62.7,3168,25,6.8,6,1.6,8.6,9.26,13.8,264.0,154.4,,2022
Chase Cunningham,chase-cunningham-1,/cfb/players/chase-cunningham-1.html,Middle Tennessee State,CUSA,12,309,463,66.7,3156,21,4.5,10,2.2,6.8,6.75,10.2,263.0,134.6,,2022
Hendon Hooker,hendon-hooker-1,/cfb/players/hendon-hooker-1.html,Tennessee,SEC,11,229,329,69.6,3135,27,8.2,2,0.6,9.5,10.90,13.7,285.0,175.5,H-5,2022
Jack Plummer,jack-plummer-1,/cfb/players/jack-plummer-1.html,California,Pac-12,12,282,451,62.5,3119,21,4.7,9,2.0,6.9,6.95,11.1,259.9,132.0,,2022
Hunter Dekkers,hunter-dekkers-1,/cfb/players/hunter-dekkers-1.html,Iowa State,Big 12,12,302,457,66.1,3044,19,4.2,14,3.1,6.7,6.11,10.1,253.7,129.6,,2022
Cameron Rising,cameron-rising-1,/cfb/players/cameron-rising-1.html,Utah,Pac-12,13,249,385,64.7,3034,26,6.8,8,2.1,7.9,8.30,12.2,233.4,149.0,,2022
Cole Snyder,cole-snyder-2,/cfb/players/cole-snyder-2.html,Buffalo,MAC,13,271,461,58.8,3030,18,3.9,8,1.7,6.6,6.57,11.2,233.1,123.4,,2022
E.J. Warner,ej-warner-1,/cfb/players/ej-warner-1.html,Temple,American,11,268,443,60.5,3028,18,4.1,12,2.7,6.8,6.43,11.3,275.3,125.9,,2022
Spencer Rattler,spencer-rattler-1,/cfb/players/spencer-rattler-1.html,South Carolina,SEC,13,264,399,66.2,3026,18,4.5,12,3.0,7.6,7.13,11.5,232.8,138.7,,2022
Michael Pratt,michael-pratt-1,/cfb/players/michael-pratt-1.html,Tulane,American,13,215,338,63.6,3009,27,8.0,5,1.5,8.9,9.83,14.0,231.5,161.8,,2022
Taulia Tagovailoa,taulia-tagovailoa-1,/cfb/players/taulia-tagovailoa-1.html,Maryland,Big Ten,12,262,391,67.0,3008,18,4.6,8,2.0,7.7,7.69,11.5,250.7,142.7,,2022
Jaxson Dart,jaxson-dart-1,/cfb/players/jaxson-dart-1.html,Ole Miss,SEC,13,226,362,62.4,2974,20,5.5,11,3.0,8.2,7.95,13.2,228.8,143.6,,2022
Riley Leonard,riley-leonard-1,/cfb/players/riley-leonard-1.html,Duke,ACC,13,250,392,63.8,2967,20,5.1,6,1.5,7.6,7.90,11.9,228.2,141.1,,2022
Tanner McKee,tanner-mckee-1,/cfb/players/tanner-mckee-1.html,Stanford,Pac-12,12,264,426,62.0,2947,13,3.1,8,1.9,6.9,6.68,11.2,245.6,126.4,,2022
Chase Brice,chase-brice-1,/cfb/players/chase-brice-1.html,Appalachian State,Sun Belt,12,219,349,62.8,2921,27,7.7,6,1.7,8.4,9.14,13.3,243.4,155.1,,2022
Jayden Daniels,jayden-daniels-1,/cfb/players/jayden-daniels-1.html,LSU,SEC,14,266,388,68.6,2913,17,4.4,3,0.8,7.5,8.04,11.0,208.1,144.5,,2022
Hayden Wolff,hayden-wolff-1,/cfb/players/hayden-wolff-1.html,Old Dominion,Sun Belt,12,234,413,56.7,2908,18,4.4,6,1.5,7.0,7.26,12.4,242.3,127.3,,2022
Jake Haener,jake-haener-1,/cfb/players/jake-haener-1.html,Fresno State,MWC,10,252,350,72.0,2896,20,5.7,3,0.9,8.3,9.03,11.5,289.6,158.6,,2022
Sean Clifford,sean-clifford-1,/cfb/players/sean-clifford-1.html,Penn State,Big Ten,13,226,351,64.4,2822,24,6.8,7,2.0,8.0,8.51,12.5,217.1,150.5,,2022
Gunnar Watson,gunnar-watson-1,/cfb/players/gunnar-watson-1.html,Troy,Sun Belt,13,206,335,61.5,2818,14,4.2,12,3.6,8.4,7.64,13.7,216.8,138.8,,2022
Blake Shapen,blake-shapen-1,/cfb/players/blake-shapen-1.html,Baylor,Big 12,13,233,368,63.3,2790,18,4.9,10,2.7,7.6,7.34,12.0,214.6,137.7,,2022
Brady Cook,brady-cook-1,/cfb/players/brady-cook-1.html,Missouri,SEC,13,248,383,64.8,2739,14,3.7,7,1.8,7.2,7.06,11.0,210.7,133.2,,2022
Ben Bryant,ben-bryant-1,/cfb/players/ben-bryant-1.html,Cincinnati,American,11,213,348,61.2,2731,21,6.0,7,2.0,7.8,8.15,12.8,248.3,143.0,,2022
J.J. McCarthy,jj-mccarthy-1,/cfb/players/jj-mccarthy-1.html,Michigan,Big Ten,14,208,322,64.6,2719,22,6.8,5,1.6,8.4,9.11,13.1,194.2,155.0,,2022
John Paddock,john-paddock-1,/cfb/players/john-paddock-1.html,Ball State,MAC,12,286,480,59.6,2719,18,3.8,14,2.9,5.7,5.10,9.5,226.6,113.7,,2022
N'Kosi Perry,nkosi-perry-1,/cfb/players/nkosi-perry-1.html,Florida Atlantic,CUSA,12,215,371,58.0,2712,25,6.7,5,1.3,7.3,8.05,12.6,226.0,138.9,,2022
Grayson McCall,grayson-mccall-1,/cfb/players/grayson-mccall-1.html,Coastal Carolina,Sun Belt,11,207,297,69.7,2700,24,8.1,2,0.7,9.1,10.40,13.0,245.5,171.4,,2022
Todd Centeio,todd-centeio-1,/cfb/players/todd-centeio-1.html,James Madison,Sun Belt,10,181,284,63.7,2697,25,8.8,5,1.8,9.5,10.46,14.9,269.7,169.0,,2022
Payton Thorne,payton-thorne-1,/cfb/players/payton-thorne-1.html,Michigan State,Big Ten,12,242,387,62.5,2679,19,4.9,11,2.8,6.9,6.63,11.1,223.3,131.2,,2022
Matt McDonald,matt-mcdonald-1,/cfb/players/matt-mcdonald-1.html,Bowling Green,MAC,12,231,378,61.1,2654,22,5.8,9,2.4,7.0,7.11,11.5,221.2,134.5,,2022
Layne Hatcher,layne-hatcher-1,/cfb/players/layne-hatcher-1.html,Texas State,Sun Belt,12,275,442,62.2,2653,19,4.3,10,2.3,6.0,5.84,9.6,221.1,122.3,,2022
Tommy Devito,tommy-devito-1,/cfb/players/tommy-devito-1.html,Illinois,Big Ten,13,257,369,69.6,2650,15,4.1,4,1.1,7.2,7.51,10.3,203.8,141.2,,2022
Spencer Sanders,spencer-sanders-1,/cfb/players/spencer-sanders-1.html,Oklahoma State,Big 12,10,212,368,57.6,2642,17,4.6,9,2.4,7.2,7.00,12.5,264.2,128.3,,2022
Garrett Shrader,garrett-shrader-1,/cfb/players/garrett-shrader-1.html,Syracuse,ACC,12,205,317,64.7,2640,17,5.4,7,2.2,8.3,8.41,12.9,220.0,147.9,,2022
K.J. Jefferson,kj-jefferson-1,/cfb/players/kj-jefferson-1.html,Arkansas,SEC,11,204,300,68.0,2636,24,8.0,5,1.7,8.8,9.64,12.9,239.6,164.9,,2022
