Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Dwayne Haskins,dwayne-haskins-1,/cfb/players/dwayne-haskins-1.html,Ohio State,Big Ten,14,373,533,70.0,4831,50,9.4,8,1.5,9.1,10.26,13.0,345.1,174.1,H-3,2018
Gardner Minshew,gardner-minshew-1,/cfb/players/gardner-minshew-1.html,Washington State,Pac-12,13,468,662,70.7,4779,38,5.7,9,1.4,7.2,7.76,10.2,367.6,147.6,H-5,2018
Kyler Murray,kyler-murray-1,/cfb/players/kyler-murray-1.html,Oklahoma,Big 12,14,260,377,69.0,4361,42,11.1,7,1.9,11.6,12.96,16.8,311.5,199.2,H-1,2018
Taylor Cornelius,taylor-cornelius-1,/cfb/players/taylor-cornelius-1.html,Oklahoma State,Big 12,13,288,485,59.4,3978,32,6.6,13,2.7,8.2,8.32,13.8,306.0,144.7,,2018
Tua Tagovailoa,tua-tagovailoa-1,/cfb/players/tua-tagovailoa-1.html,Alabama,SEC,15,245,355,69.0,3966,43,12.1,6,1.7,11.2,12.83,16.2,264.4,199.4,"H-2,Maxwell,AA,Camp",2018
Ryan Finley,ryan-finley-1,/cfb/players/ryan-finley-1.html,North Carolina State,ACC,13,326,484,67.4,3928,25,5.2,11,2.3,8.1,8.13,12.0,302.2,148.0,,2018
Jordan Ta'amu,jordan-taamu-1,/cfb/players/jordan-taamu-1.html,Ole Miss,SEC,12,266,418,63.6,3918,19,4.5,8,1.9,9.4,9.42,14.7,326.5,153.5,,2018
Cole McDonald,cole-mcdonald-1,/cfb/players/cole-mcdonald-1.html,Hawaii,MWC,13,285,484,58.9,3875,36,7.4,10,2.1,8.0,8.56,13.6,298.1,146.5,,2018
Will Grier,will-grier-1,/cfb/players/will-grier-1.html,West Virginia,Big 12,11,266,397,67.0,3864,37,9.3,8,2.0,9.7,10.69,14.5,351.3,175.5,H-4,2018
Mason Fine,mason-fine-1,/cfb/players/mason-fine-1.html,North Texas,CUSA,13,303,469,64.6,3793,27,5.8,5,1.1,8.1,8.76,12.5,291.8,149.4,,2018
Brett Rypien,brett-rypien-1,/cfb/players/brett-rypien-1.html,Boise State,MWC,13,301,447,67.3,3705,30,6.7,7,1.6,8.3,8.93,12.3,285.0,156.0,,2018
David Blough,david-blough-1,/cfb/players/david-blough-1.html,Purdue,Big Ten,13,305,462,66.0,3705,25,5.4,10,2.2,8.0,8.13,12.1,285.0,146.9,,2018
Marcus McMaryion,marcus-mcmaryion-1,/cfb/players/marcus-mcmaryion-1.html,Fresno State,MWC,14,293,427,68.6,3629,25,5.9,5,1.2,8.5,9.14,12.4,259.2,157.0,,2018
Jordan Love,jordan-love-2,/cfb/players/jordan-love-2.html,Utah State,MWC,13,267,417,64.0,3567,32,7.7,6,1.4,8.6,9.44,13.4,274.4,158.3,,2018
Brent Stockstill,brent-stockstill-1,/cfb/players/brent-stockstill-1.html,Middle Tennessee State,CUSA,14,326,464,70.3,3544,29,6.3,10,2.2,7.6,7.92,10.9,253.1,150.7,,2018
K.J. Costello,kj-costello-1,/cfb/players/kj-costello-1.html,Stanford,Pac-12,13,269,413,65.1,3540,29,7.0,11,2.7,8.6,8.78,13.2,272.3,155.0,,2018
Drew Lock,drew-lock-1,/cfb/players/drew-lock-1.html,Missouri,SEC,13,275,437,62.9,3498,28,6.4,8,1.8,8.0,8.46,12.7,269.1,147.7,,2018
Justice Hansen,justice-hansen-1,/cfb/players/justice-hansen-1.html,Arkansas State,Sun Belt,13,286,434,65.9,3447,27,6.2,9,2.1,7.9,8.25,12.1,265.2,149.0,,2018
Ty Gangi,ty-gangi-1,/cfb/players/ty-gangi-1.html,Nevada,MWC,12,268,443,60.5,3331,24,5.4,13,2.9,7.5,7.28,12.4,277.6,135.7,,2018
Brady White,brady-white-1,/cfb/players/brady-white-1.html,Memphis,American,14,246,392,62.8,3296,26,6.6,9,2.3,8.4,8.70,13.4,235.4,150.7,,2018
Sam Ehlinger,sam-ehlinger-1,/cfb/players/sam-ehlinger-1.html,Texas,Big 12,14,275,425,64.7,3292,25,5.9,5,1.2,7.7,8.39,12.0,235.1,146.8,,2018
Trevor Lawrence,trevor-lawrence-1,/cfb/players/trevor-lawrence-1.html,Clemson,ACC,15,259,397,65.2,3280,30,7.6,4,1.0,8.3,9.32,12.7,218.7,157.6,,2018
Jake Browning,jake-browning-1,/cfb/players/jake-browning-1.html,Washington,Pac-12,14,252,388,64.9,3192,16,4.1,10,2.6,8.2,7.89,12.7,228.0,142.5,,2018
Clayton Thorson,clayton-thorson-1,/cfb/players/clayton-thorson-1.html,Northwestern,Big Ten,14,299,489,61.1,3183,17,3.5,15,3.1,6.5,5.82,10.6,227.4,121.2,,2018
Jake Bentley,jake-bentley-2,/cfb/players/jake-bentley-2.html,South Carolina,SEC,13,240,388,61.9,3171,27,7.0,14,3.6,8.2,7.94,13.2,243.9,146.3,,2018
J'mar Smith,jmar-smith-1,/cfb/players/jmar-smith-1.html,Louisiana Tech,CUSA,13,264,461,57.3,3160,15,3.3,10,2.2,6.9,6.53,12.0,243.1,121.2,,2018
Justin Herbert,justin-herbert-1,/cfb/players/justin-herbert-1.html,Oregon,Pac-12,13,240,404,59.4,3151,29,7.2,8,2.0,7.8,8.34,13.1,242.4,144.6,,2018
Tyree Jackson,tyree-jackson-1,/cfb/players/tyree-jackson-1.html,Buffalo,MAC,14,225,407,55.3,3131,28,6.9,12,2.9,7.7,7.74,13.9,223.6,136.7,,2018
Kyle Shurmur,kyle-shurmur-1,/cfb/players/kyle-shurmur-1.html,Vanderbilt,SEC,13,254,406,62.6,3130,24,5.9,6,1.5,7.7,8.23,12.3,240.8,143.9,,2018
Kellen Mond,kellen-mond-1,/cfb/players/kellen-mond-1.html,Texas A&M,SEC,13,238,415,57.3,3107,24,5.8,9,2.2,7.5,7.67,13.1,239.0,135.0,,2018
Stephen Calvert,stephen-calvert-1,/cfb/players/stephen-calvert-1.html,Liberty,Ind,12,240,439,54.7,3068,21,4.8,18,4.1,7.0,6.10,12.8,255.7,121.0,,2018
Manny Wilkins,manny-wilkins-1,/cfb/players/manny-wilkins-1.html,Arizona State,Pac-12,13,247,393,62.8,3025,20,5.1,6,1.5,7.7,8.03,12.2,232.7,141.2,,2018
Charlie Brewer,charlie-brewer-1,/cfb/players/charlie-brewer-1.html,Baylor,Big 12,13,240,390,61.5,3019,19,4.9,9,2.3,7.7,7.68,12.6,232.2,138.0,,2018
Blake LaRussa,blake-larussa-1,/cfb/players/blake-larussa-1.html,Old Dominion,CUSA,11,249,393,63.4,3015,19,4.8,10,2.5,7.7,7.49,12.1,274.1,138.7,,2018
