Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Patrick Mahomes,patrick-mahomes-1,/cfb/players/patrick-mahomes-1.html,Texas Tech,Big 12,12,388,591,65.7,5052,41,6.9,10,1.7,8.5,9.17,13.0,421.0,157.0,,2016
Ryan Higgins,ryan-higgins-1,/cfb/players/ryan-higgins-1.html,Louisiana Tech,CUSA,13,329,496,66.3,4617,41,8.3,8,1.6,9.3,10.24,14.0,355.2,168.6,,2016
Deshaun Watson,deshaun-watson-1,/cfb/players/deshaun-watson-1.html,Clemson,ACC,15,388,579,67.0,4593,41,7.1,17,2.9,7.9,8.03,11.8,306.2,151.1,H-2,2016
Luke Falk,luke-falk-1,/cfb/players/luke-falk-1.html,Washington State,Pac-12,13,443,633,70.0,4468,38,6.0,11,1.7,7.1,7.48,10.1,343.7,145.6,,2016
Mike White,mike-white-6,/cfb/players/mike-white-6.html,Western Kentucky,CUSA,14,280,416,67.3,4363,37,8.9,7,1.7,10.5,11.51,15.6,311.6,181.4,,2016
Davis Webb,davis-webb-1,/cfb/players/davis-webb-1.html,California,Pac-12,12,382,620,61.6,4295,37,6.0,12,1.9,6.9,7.25,11.2,357.9,135.6,,2016
Logan Woodside,logan-woodside-1,/cfb/players/logan-woodside-1.html,Toledo,MAC,13,289,418,69.1,4129,45,10.8,9,2.2,9.9,11.06,14.3,317.6,183.3,,2016
Mason Rudolph,mason-rudolph-1,/cfb/players/mason-rudolph-1.html,Oklahoma State,Big 12,13,284,448,63.4,4091,28,6.3,4,0.9,9.1,9.98,14.4,314.7,158.9,,2016
Baker Mayfield,baker-mayfield-1,/cfb/players/baker-mayfield-1.html,Oklahoma,Big 12,13,254,358,70.9,3965,40,11.2,8,2.2,11.1,12.30,15.6,305.0,196.4,H-3,2016
Mitch Trubisky,mitch-trubisky-1,/cfb/players/mitch-trubisky-1.html,North Carolina,ACC,13,304,447,68.0,3748,30,6.7,6,1.3,8.4,9.12,12.3,288.3,157.9,,2016
