Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Peter Parrish,peter-parrish-1,/cfb/players/peter-parrish-1.html,Memphis,American,3,31,48,64.6,215,0,0.0,3,6.3,4.5,1.67,6.9,71.7,89.7,,2021
Davis Beville,davis-beville-1,/cfb/players/davis-beville-1.html,Pitt,ACC,3,17,22,77.3,207,1,4.5,1,4.5,9.4,8.27,12.2,69.0,162.2,,2021
Nick Tronti,nick-tronti-1,/cfb/players/nick-tronti-1.html,Florida Atlantic,CUSA,6,19,36,52.8,202,0,0.0,1,2.8,5.6,4.36,10.6,33.7,94.4,,2021
Victor Gabalis,victor-gabalis-1,/cfb/players/victor-gabalis-1.html,Washington State,Pac-12,3,17,36,47.2,199,2,5.6,0,0.0,5.5,6.64,11.7,66.3,112.0,,2021
Hunter Dekkers,hunter-dekkers-1,/cfb/players/hunter-dekkers-1.html,Iowa State,Big 12,4,20,36,55.6,193,2,5.6,1,2.8,5.4,5.22,9.7,48.3,113.4,,2021
Josh Adkins,josh-adkins-1,/cfb/players/josh-adkins-1.html,UTSA,CUSA,7,18,33,54.5,192,2,6.1,0,0.0,5.8,7.03,10.7,27.4,123.4,,2021
Luke Altmyer,luke-altmyer-1,/cfb/players/luke-altmyer-1.html,Ole Miss,SEC,5,20,37,54.1,192,1,2.7,2,5.4,5.2,3.30,9.6,38.4,95.8,,2021
TJ Mcmahon,tj-mcmahon-1,/cfb/players/tj-mcmahon-1.html,Rice,CUSA,11,12,20,60.0,191,2,10.0,1,5.0,9.6,9.30,15.9,17.4,163.2,,2021
Frank Gore Jr.,frank-gore-jr-1,/cfb/players/frank-gore-jr-1.html,Southern Mississippi,CUSA,12,10,16,62.5,189,4,25.0,1,6.3,11.8,14.00,18.9,15.8,231.7,,2021
Cade Fortin,cade-fortin-1,/cfb/players/cade-fortin-1.html,South Florida,American,5,25,48,52.1,183,0,0.0,2,4.2,3.8,1.94,7.3,36.6,75.8,,2021
Chance Lovertich,chance-lovertich-1,/cfb/players/chance-lovertich-1.html,Mississippi State,SEC,2,13,18,72.2,179,1,5.6,0,0.0,9.9,11.06,13.8,89.5,174.1,,2021
