Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Abram Murray,abram-murray-1,/cfb/players/abram-murray-1.html,Miami (FL),ACC,2,4,4,100.0,1,1,100.0,7,,2024
Andre Meono,andre-meono-1,/cfb/players/andre-meono-1.html,Nevada-Las Vegas,MWC,3,3,3,100.0,1,1,100.0,6,,2024
Braeden McAlister,braeden-mcalister-1,/cfb/players/braeden-mcalister-1.html,Georgia State,Sun Belt,12,0,0,,2,2,100.0,6,,2024
Carson Holmer,carson-holmer-1,/cfb/players/carson-holmer-1.html,Ball State,MAC,11,5,5,100.0,2,2,100.0,11,,2024
Chase Gabriel,chase-gabriel-1,/cfb/players/chase-gabriel-1.html,Florida International,CUSA,2,6,6,100.0,1,1,100.0,9,,2024
Cristiano Rosa,cristiano-rosa-1,/cfb/players/cristiano-rosa-1.html,James Madison,Sun Belt,13,3,4,75.0,1,1,100.0,6,,2024
Drew Henderson,drew-henderson-1,/cfb/players/drew-henderson-1.html,Louisiana Tech,CUSA,1,0,0,,2,2,100.0,6,,2024
Hamilton DiBoyan,hamilton-diboyan-1,/cfb/players/hamilton-diboyan-1.html,South Alabama,Sun Belt,2,4,5,80.0,1,1,100.0,7,,2024
Jake Weinberg,jake-weinberg-1,/cfb/players/jake-weinberg-1.html,Florida State,ACC,1,1,1,100.0,1,1,100.0,4,,2024
Kellan McLaughlin,kellan-mclaughlin-1,/cfb/players/kellan-mclaughlin-1.html,Miami (OH),MAC,13,1,1,100.0,1,1,100.0,4,,2024
Kian Afrookhteh,kian-afrookhteh-1,/cfb/players/kian-afrookhteh-1.html,Nevada,MWC,4,9,9,100.0,2,2,100.0,15,,2024
Kyle Cunanan,kyle-cunanan-1,/cfb/players/kyle-cunanan-1.html,Charlotte,American,3,5,5,100.0,5,5,100.0,20,,2024
Liam Boyd,liam-boyd-1,/cfb/players/liam-boyd-1.html,North Carolina,ACC,3,7,7,100.0,1,1,100.0,10,,2024
Luca Lombardo,luca-lombardo-1,/cfb/players/luca-lombardo-1.html,Boston College,ACC,4,15,16,93.8,1,1,100.0,18,,2024
Robert Czeremcha,robert-czeremcha-1,/cfb/players/robert-czeremcha-1.html,Florida International,CUSA,2,7,7,100.0,2,2,100.0,13,,2024
Ryan Fitzgerald,ryan-fitzgerald-1,/cfb/players/ryan-fitzgerald-1.html,Florida State,ACC,12,14,14,100.0,13,13,100.0,53,,2024
Stephen Rusnak,stephen-rusnak-1,/cfb/players/stephen-rusnak-1.html,Charlotte,American,11,25,25,100.0,11,11,100.0,58,,2024
Tony Sterner,tony-sterner-1,/cfb/players/tony-sterner-1.html,Louisiana,Sun Belt,1,0,0,,1,1,100.0,3,,2024
Trey Coleman,trey-coleman-2,/cfb/players/trey-coleman-2.html,Utah,Big 12,9,3,3,100.0,1,1,100.0,6,,2024
Dominic Zvada,dominic-zvada-1,/cfb/players/dominic-zvada-1.html,Michigan,Big Ten,13,26,27,96.3,21,22,95.5,89,,2024
Gino Garcia,gino-garcia-1,/cfb/players/gino-garcia-1.html,Texas Tech,Big 12,13,40,40,100.0,19,20,95.0,97,,2024
Andres Borregales,andres-borregales-1,/cfb/players/andres-borregales-1.html,Miami (FL),ACC,13,62,62,100.0,18,19,94.7,116,,2024
Lucas Carneiro,lucas-carneiro-1,/cfb/players/lucas-carneiro-1.html,Western Kentucky,CUSA,14,41,41,100.0,18,19,94.7,95,,2024
Laith Marjan,laith-marjan-1,/cfb/players/laith-marjan-1.html,South Alabama,Sun Belt,12,42,44,95.5,16,17,94.1,90,,2024
Alex Raynor,alex-raynor-1,/cfb/players/alex-raynor-1.html,Kentucky,SEC,12,26,27,96.3,15,16,93.8,71,,2024
Gabriel Plascencia,gabriel-plascencia-1,/cfb/players/gabriel-plascencia-1.html,San Diego State,MWC,11,18,19,94.7,13,14,92.9,57,,2024
Michael Hayes,michael-hayes-5,/cfb/players/michael-hayes-5.html,West Virginia,Big 12,13,41,41,100.0,13,14,92.9,80,,2024
Ethan Sanchez,ethan-sanchez-1,/cfb/players/ethan-sanchez-1.html,Old Dominion,Sun Belt,12,37,42,88.1,11,12,91.7,70,,2024
Peyton Woodring,peyton-woodring-1,/cfb/players/peyton-woodring-1.html,Georgia,SEC,14,48,48,100.0,21,23,91.3,111,,2024
Nicolas Radicic,nicolas-radicic-1,/cfb/players/nicolas-radicic-1.html,Indiana,Big Ten,13,69,69,100.0,10,11,90.9,99,,2024
Jonathan Kim,jonathan-kim-2,/cfb/players/jonathan-kim-2.html,Michigan State,Big Ten,12,22,24,91.7,19,21,90.5,79,,2024
Kenneth Almendares,kenneth-almendares-1,/cfb/players/kenneth-almendares-1.html,Louisiana,Sun Belt,14,46,47,97.9,28,31,90.3,130,AA,2024
John Love,john-love-2,/cfb/players/john-love-2.html,Virginia Tech,ACC,13,42,42,100.0,16,18,88.9,90,,2024
Tristan Mattson,tristan-mattson-1,/cfb/players/tristan-mattson-1.html,Central Michigan,MAC,12,24,26,92.3,16,18,88.9,72,,2024
Will Ferrin,will-ferrin-1,/cfb/players/will-ferrin-1.html,BYU,Big 12,13,41,41,100.0,24,27,88.9,113,,2024
Atticus Sappington,atticus-sappington-1,/cfb/players/atticus-sappington-1.html,Oregon,Big Ten,14,41,43,95.3,14,16,87.5,83,,2024
Ben Sauls,ben-sauls-1,/cfb/players/ben-sauls-1.html,Pitt,ACC,13,44,44,100.0,21,24,87.5,107,,2024
Jonah Delange,jonah-delange-1,/cfb/players/jonah-delange-1.html,UAB,American,12,31,31,100.0,21,24,87.5,94,,2024
Michael Hughes,michael-hughes-3,/cfb/players/michael-hughes-3.html,Appalachian State,Sun Belt,6,16,16,100.0,7,8,87.5,37,,2024
Drew Stevens,drew-stevens-2,/cfb/players/drew-stevens-2.html,Iowa,Big Ten,13,40,40,100.0,20,23,87.0,100,,2024
Dom Dzioban,dom-dzioban-1,/cfb/players/dom-dzioban-1.html,Miami (OH),MAC,14,33,34,97.1,26,30,86.7,111,,2024
Luka Zurak,luka-zurak-1,/cfb/players/luka-zurak-1.html,Western Michigan,MAC,12,45,45,100.0,13,15,86.7,84,,2024
Brock Taylor,brock-taylor-1,/cfb/players/brock-taylor-1.html,Vanderbilt,SEC,13,39,40,97.5,18,21,85.7,93,,2024
Noah Perez,noah-perez-1,/cfb/players/noah-perez-1.html,East Carolina,American,5,11,12,91.7,6,7,85.7,29,,2024
Trey Smack,trey-smack-1,/cfb/players/trey-smack-1.html,Florida,SEC,13,44,44,100.0,18,21,85.7,98,,2024
Upton Bellenfant,upton-bellenfant-1,/cfb/players/upton-bellenfant-1.html,Buffalo,MAC,13,31,31,100.0,18,21,85.7,85,,2024
Will Bettridge,will-bettridge-1,/cfb/players/will-bettridge-1.html,Virginia,ACC,12,24,24,100.0,18,21,85.7,78,,2024
David Olano,david-olano-1,/cfb/players/david-olano-1.html,Illinois,Big Ten,13,38,39,97.4,17,20,85.0,89,,2024
Jackson Courville,jackson-courville-1,/cfb/players/jackson-courville-1.html,Ball State,MAC,9,30,31,96.8,11,13,84.6,63,,2024
Scott Taylor Renfroe,scott-taylor-renfroe-1,/cfb/players/scott-taylor-renfroe-1.html,Troy,Sun Belt,12,34,36,94.4,11,13,84.6,67,,2024
Kade Hensley,kade-hensley-1,/cfb/players/kade-hensley-1.html,Coastal Carolina,Sun Belt,13,45,45,100.0,16,19,84.2,93,,2024
Clune Van Andel,clune-van-andel-1,/cfb/players/clune-van-andel-1.html,Arkansas State,Sun Belt,13,33,33,100.0,21,25,84.0,96,,2024
Gavin Stewart,gavin-stewart-1,/cfb/players/gavin-stewart-1.html,Georgia Southern,Sun Belt,13,37,39,94.9,15,18,83.3,82,,2024
Kyle Ferrie,kyle-ferrie-1,/cfb/players/kyle-ferrie-1.html,Mississippi State,SEC,12,38,39,97.4,10,12,83.3,68,,2024
Mateen Bhaghani,mateen-bhaghani-1,/cfb/players/mateen-bhaghani-1.html,UCLA,Big Ten,12,20,20,100.0,20,24,83.3,80,,2024
Matthew Shipley,matthew-shipley-1,/cfb/players/matthew-shipley-1.html,Arkansas,SEC,8,26,26,100.0,10,12,83.3,56,,2024
Randy Bond,randy-bond-1,/cfb/players/randy-bond-1.html,Texas A&M,SEC,13,46,46,100.0,20,24,83.3,106,,2024
Ryan Barker,ryan-barker-1,/cfb/players/ryan-barker-1.html,Penn State,Big Ten,14,48,49,98.0,15,18,83.3,93,,2024
Trey Gronotte,trey-gronotte-1,/cfb/players/trey-gronotte-1.html,Army,American,14,54,54,100.0,10,12,83.3,84,,2024
Caden Davis,caden-davis-1,/cfb/players/caden-davis-1.html,Ole Miss,SEC,13,57,59,96.6,24,29,82.8,129,,2024
Tate Sandell,tate-sandell-1,/cfb/players/tate-sandell-1.html,UTSA,American,13,35,36,97.2,19,23,82.6,92,,2024
Emmet Kenney,emmet-kenney-1,/cfb/players/emmet-kenney-1.html,Stanford,ACC,12,32,32,100.0,14,17,82.4,74,,2024
Max Larson,max-larson-1,/cfb/players/max-larson-1.html,Louisiana-Monroe,Sun Belt,12,27,28,96.4,14,17,82.4,69,,2024
Zach Schmit,zach-schmit-1,/cfb/players/zach-schmit-1.html,Oklahoma,SEC,13,19,19,100.0,9,11,81.8,46,,2024
Garrison Smith,garrison-smith-2,/cfb/players/garrison-smith-2.html,Akron,MAC,12,24,24,100.0,13,16,81.3,63,,2024
Gianni Spetic,gianni-spetic-1,/cfb/players/gianni-spetic-1.html,Ohio,MAC,14,47,48,97.9,13,16,81.3,86,,2024
Chris Tennant,chris-tennant-1,/cfb/players/chris-tennant-1.html,Kansas State,Big 12,13,44,45,97.8,17,21,81.0,95,,2024
Alejandro Mata,alejandro-mata-1,/cfb/players/alejandro-mata-1.html,Colorado,Big 12,13,55,55,100.0,12,15,80.0,91,,2024
Ethan Head,ethan-head-1,/cfb/players/ethan-head-1.html,Tulane,American,14,18,21,85.7,4,5,80.0,30,,2024
Graham Nicholson,graham-nicholson-1,/cfb/players/graham-nicholson-1.html,Alabama,SEC,13,53,53,100.0,8,10,80.0,77,,2024
Jack Martin,jack-martin-3,/cfb/players/jack-martin-3.html,Houston,Big 12,12,12,12,100.0,8,10,80.0,36,,2024
Jesus Gomez,jesus-gomez-1,/cfb/players/jesus-gomez-1.html,Eastern Michigan,MAC,12,27,29,93.1,20,25,80.0,87,,2024
Matthew Dennis,matthew-dennis-1,/cfb/players/matthew-dennis-1.html,Wake Forest,ACC,12,36,36,100.0,16,20,80.0,84,,2024
Noe Ruelas,noe-ruelas-1,/cfb/players/noe-ruelas-1.html,James Madison,Sun Belt,10,35,37,94.6,16,20,80.0,83,,2024
