Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Abraham Montano,abraham-montano-1,/cfb/players/abraham-montano-1.html,Fresno State,MWC,5,14,14,100.0,5,5,100.0,29,,2021
Alex Stadthaus,alex-stadthaus-1,/cfb/players/alex-stadthaus-1.html,USC,Pac-12,7,11,11,100.0,6,6,100.0,29,,2021
Bobby Noel,bobby-noel-1,/cfb/players/bobby-noel-1.html,Tulane,American,1,0,0,,1,1,100.0,3,,2021
Britton Williams,britton-williams-1,/cfb/players/britton-williams-1.html,Georgia Southern,Sun Belt,12,3,4,75.0,4,4,100.0,15,,2021
Connor Assalley,connor-assalley-1,/cfb/players/connor-assalley-1.html,Iowa State,Big 12,8,15,15,100.0,4,4,100.0,27,,2021
Danny Longman,danny-longman-1,/cfb/players/danny-longman-1.html,Boston College,ACC,12,10,11,90.9,2,2,100.0,16,,2021
Everett Ornstein,everett-ornstein-1,/cfb/players/everett-ornstein-1.html,UTSA,CUSA,4,0,0,,1,1,100.0,3,,2021
Harrison Beattie,harrison-beattie-1,/cfb/players/harrison-beattie-1.html,Maryland,Big Ten,2,1,1,100.0,1,1,100.0,4,,2021
Jack Martin,jack-martin-3,/cfb/players/jack-martin-3.html,Alabama,SEC,4,0,0,,1,1,100.0,3,,2021
Jackson Baltar,jackson-baltar-1,/cfb/players/jackson-baltar-1.html,Buffalo,MAC,10,1,1,100.0,1,1,100.0,4,,2021
Kanon Woodill,kanon-woodill-1,/cfb/players/kanon-woodill-1.html,Northern Illinois,MAC,2,4,4,100.0,3,3,100.0,13,,2021
Kieran Colahan,kieran-colahan-1,/cfb/players/kieran-colahan-1.html,Coastal Carolina,Sun Belt,13,7,7,100.0,1,1,100.0,10,,2021
Morgan Suarez,morgan-suarez-1,/cfb/players/morgan-suarez-1.html,Florida Atlantic,CUSA,3,5,5,100.0,2,2,100.0,11,,2021
Nick Lopez,nick-lopez-2,/cfb/players/nick-lopez-2.html,California,Pac-12,2,0,0,,1,1,100.0,3,,2021
Quinn Maretzki,quinn-maretzki-1,/cfb/players/quinn-maretzki-1.html,Army,Ind,4,7,7,100.0,1,1,100.0,10,,2021
Ryan Sanborn,ryan-sanborn-1,/cfb/players/ryan-sanborn-1.html,Stanford,Pac-12,12,0,0,,1,1,100.0,3,,2021
Tyler Loop,tyler-loop-1,/cfb/players/tyler-loop-1.html,Arizona,Pac-12,8,12,12,100.0,12,12,100.0,48,,2021
Zach Schmit,zach-schmit-1,/cfb/players/zach-schmit-1.html,Oklahoma,Big 12,4,4,4,100.0,1,1,100.0,7,,2021
Zack Long,zack-long-1,/cfb/players/zack-long-1.html,Tulsa,American,13,35,36,97.2,22,23,95.7,101,,2021
Chandler Staton,chandler-staton-1,/cfb/players/chandler-staton-1.html,Appalachian State,Sun Belt,14,57,57,100.0,20,21,95.2,117,,2021
Noah Ruggles,noah-ruggles-1,/cfb/players/noah-ruggles-1.html,Ohio State,Big Ten,13,74,74,100.0,20,21,95.2,134,,2021
Nate Needham,nate-needham-2,/cfb/players/nate-needham-2.html,Bowling Green,MAC,12,26,27,96.3,19,20,95.0,83,,2021
Parker White,parker-white-2,/cfb/players/parker-white-2.html,South Carolina,SEC,12,30,30,100.0,16,17,94.1,78,,2021
Jonathan Garibay,jonathan-garibay-1,/cfb/players/jonathan-garibay-1.html,Texas Tech,Big 12,12,49,50,98.0,15,16,93.8,94,,2021
Harrison Mevis,harrison-mevis-1,/cfb/players/harrison-mevis-1.html,Missouri,SEC,14,42,42,100.0,26,28,92.9,120,,2021
Jonah Dalmas,jonah-dalmas-1,/cfb/players/jonah-dalmas-1.html,Boise State,MWC,12,38,39,97.4,26,28,92.9,116,,2021
Jake Moody,jake-moody-1,/cfb/players/jake-moody-1.html,Michigan,Big Ten,14,56,56,100.0,23,25,92.0,125,AA,2021
Nick Sciba,nick-sciba-1,/cfb/players/nick-sciba-1.html,Wake Forest,ACC,14,65,65,100.0,23,25,92.0,134,,2021
Connor Lytton,connor-lytton-1,/cfb/players/connor-lytton-1.html,Boston College,ACC,11,25,25,100.0,11,12,91.7,58,,2021
Brooks Buce,brooks-buce-2,/cfb/players/brooks-buce-2.html,Troy,Sun Belt,12,32,34,94.1,8,9,88.9,56,,2021
Daniel Gutierrez,daniel-gutierrez-1,/cfb/players/daniel-gutierrez-1.html,Nevada-Las Vegas,MWC,12,25,25,100.0,16,18,88.9,73,,2021
Massimo Biscardi,massimo-biscardi-1,/cfb/players/massimo-biscardi-1.html,Coastal Carolina,Sun Belt,10,46,48,95.8,7,8,87.5,67,,2021
Andrew Mevis,andrew-mevis-1,/cfb/players/andrew-mevis-1.html,Iowa State,Big 12,13,32,32,100.0,20,23,87.0,92,,2021
Cameron Dicker,cameron-dicker-2,/cfb/players/cameron-dicker-2.html,Texas,Big 12,12,49,50,98.0,13,15,86.7,88,,2021
Noel Ruiz,noel-ruiz-1,/cfb/players/noel-ruiz-1.html,Georgia State,Sun Belt,13,45,47,95.7,13,15,86.7,84,,2021
Chad Ryland,chad-ryland-1,/cfb/players/chad-ryland-1.html,Eastern Michigan,MAC,13,47,47,100.0,19,22,86.4,104,,2021
Caleb Shudak,caleb-shudak-1,/cfb/players/caleb-shudak-1.html,Iowa,Big Ten,14,36,36,100.0,24,28,85.7,108,,2021
Matthew Shipley,matthew-shipley-1,/cfb/players/matthew-shipley-1.html,Hawaii,MWC,13,42,42,100.0,18,21,85.7,96,,2021
Brendan Farrell,brendan-farrell-1,/cfb/players/brendan-farrell-1.html,Virginia,ACC,9,34,34,100.0,11,13,84.6,67,,2021
Ethan Mooney,ethan-mooney-1,/cfb/players/ethan-mooney-1.html,North Texas,CUSA,12,40,40,100.0,11,13,84.6,73,,2021
Spencer Shrader,spencer-shrader-1,/cfb/players/spencer-shrader-1.html,South Florida,American,12,35,35,100.0,11,13,84.6,68,,2021
Ben Patton,ben-patton-1,/cfb/players/ben-patton-1.html,Auburn,SEC,4,6,6,100.0,5,6,83.3,21,,2021
Cade York,cade-york-1,/cfb/players/cade-york-1.html,LSU,SEC,12,39,39,100.0,15,18,83.3,84,,2021
Cam Little,cam-little-1,/cfb/players/cam-little-1.html,Arkansas,SEC,13,46,46,100.0,20,24,83.3,106,,2021
Seth Keller,seth-keller-1,/cfb/players/seth-keller-1.html,Texas State,Sun Belt,12,32,32,100.0,15,18,83.3,77,,2021
Mitchell Fineran,mitchell-fineran-1,/cfb/players/mitchell-fineran-1.html,Purdue,Big Ten,13,40,42,95.2,24,29,82.8,112,,2021
Casey Legg,casey-legg-1,/cfb/players/casey-legg-1.html,West Virginia,Big 12,12,35,35,100.0,19,23,82.6,92,,2021
Grayson Atkins,grayson-atkins-1,/cfb/players/grayson-atkins-1.html,North Carolina,ACC,13,52,52,100.0,19,23,82.6,109,,2021
Owen Daffer,owen-daffer-1,/cfb/players/owen-daffer-1.html,East Carolina,American,12,39,41,95.1,19,23,82.6,96,,2021
Caden Costa,caden-costa-1,/cfb/players/caden-costa-1.html,Ole Miss,SEC,11,46,48,95.8,14,17,82.4,88,,2021
Dean Janikowski,dean-janikowski-1,/cfb/players/dean-janikowski-1.html,Washington State,Pac-12,13,42,44,95.5,14,17,82.4,84,,2021
John Parker Romo,john-parker-romo-1,/cfb/players/john-parker-romo-1.html,Virginia Tech,ACC,13,34,34,100.0,18,22,81.8,88,,2021
Nick Mihalic,nick-mihalic-1,/cfb/players/nick-mihalic-1.html,Western Michigan,MAC,13,11,14,78.6,9,11,81.8,38,,2021
Jack Podlesny,jack-podlesny-1,/cfb/players/jack-podlesny-1.html,Georgia,SEC,15,71,72,98.6,22,27,81.5,137,,2021
John Richardson,john-richardson-1,/cfb/players/john-richardson-1.html,Northern Illinois,MAC,13,42,42,100.0,22,27,81.5,108,,2021
Seth Small,seth-small-1,/cfb/players/seth-small-1.html,Texas A&M,SEC,12,37,37,100.0,22,27,81.5,103,,2021
Camden Lewis,camden-lewis-1,/cfb/players/camden-lewis-1.html,Oregon,Pac-12,14,55,56,98.2,13,16,81.3,94,,2021
Andres Borregales,andres-borregales-1,/cfb/players/andres-borregales-1.html,Miami (FL),ACC,12,45,45,100.0,17,21,81.0,96,,2021
Jacob Barnes,jacob-barnes-1,/cfb/players/jacob-barnes-1.html,Louisiana Tech,CUSA,12,39,39,100.0,17,21,81.0,90,,2021
Sam Scarton,sam-scarton-1,/cfb/players/sam-scarton-1.html,Pitt,ACC,14,69,72,95.8,17,21,81.0,120,,2021
Tanner Brown,tanner-brown-1,/cfb/players/tanner-brown-1.html,Oklahoma State,Big 12,14,36,36,100.0,17,21,81.0,87,,2021
B.T. Potter,bt-potter-1,/cfb/players/bt-potter-1.html,Clemson,ACC,13,38,38,100.0,21,26,80.8,101,,2021
Blake Grupe,blake-grupe-1,/cfb/players/blake-grupe-1.html,Arkansas State,Sun Belt,12,31,32,96.9,20,25,80.0,91,,2021
Blake Mazza,blake-mazza-1,/cfb/players/blake-mazza-1.html,SMU,American,12,54,57,94.7,12,15,80.0,90,,2021
Brayden Beck,brayden-beck-1,/cfb/players/brayden-beck-1.html,Liberty,Ind,9,34,37,91.9,4,5,80.0,46,,2021
Cesar R. Silva,cesar-r-silva-1,/cfb/players/cesar-r-silva-1.html,Fresno State,MWC,10,33,34,97.1,16,20,80.0,81,,2021
Hunter Duplessis,hunter-duplessis-1,/cfb/players/hunter-duplessis-1.html,UTSA,CUSA,14,63,63,100.0,24,30,80.0,135,,2021
