Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Alex McPherson,alex-mcpherson-1,/cfb/players/alex-mcpherson-1.html,Auburn,SEC,13,40,40,100.0,13,13,100.0,79,,2023
Caden Costa,caden-costa-1,/cfb/players/caden-costa-1.html,Ole Miss,SEC,3,6,6,100.0,1,1,100.0,9,,2023
Evan Johnson,evan-johnson-5,/cfb/players/evan-johnson-5.html,Maryland,Big Ten,1,0,0,,1,1,100.0,3,,2023
Gabriel Plascencia,gabriel-plascencia-1,/cfb/players/gabriel-plascencia-1.html,San Diego State,MWC,4,2,2,100.0,4,4,100.0,14,,2023
Garrison Rippa,garrison-rippa-1,/cfb/players/garrison-rippa-1.html,Jacksonville State,CUSA,2,4,4,100.0,2,2,100.0,10,,2023
Josh Turbyville,josh-turbyville-1,/cfb/players/josh-turbyville-1.html,Tennessee,SEC,13,1,1,100.0,1,1,100.0,4,,2023
Kenyon Bowyer,kenyon-bowyer-1,/cfb/players/kenyon-bowyer-1.html,Eastern Michigan,MAC,7,4,4,100.0,1,1,100.0,7,,2023
Marshall Meeder,marshall-meeder-1,/cfb/players/marshall-meeder-1.html,Iowa,Big Ten,1,0,0,,1,1,100.0,3,,2023
Mason Shipley,mason-shipley-1,/cfb/players/mason-shipley-1.html,Texas State,Sun Belt,13,58,59,98.3,15,15,100.0,103,,2023
Nicholas Barr-Mira,nicholas-barr-mira-1,/cfb/players/nicholas-barr-mira-1.html,Mississippi State,SEC,8,2,2,100.0,1,1,100.0,5,,2023
Nick Lopez,nick-lopez-2,/cfb/players/nick-lopez-2.html,Louisville,ACC,4,11,11,100.0,1,1,100.0,14,,2023
Nicolas Radicic,nicolas-radicic-1,/cfb/players/nicolas-radicic-1.html,Indiana,Big Ten,1,2,2,100.0,1,1,100.0,5,,2023
Reagan Tubbs,reagan-tubbs-1,/cfb/players/reagan-tubbs-1.html,Air Force,MWC,13,8,8,100.0,1,1,100.0,11,,2023
Graham Nicholson,graham-nicholson-1,/cfb/players/graham-nicholson-1.html,Miami (OH),MAC,14,35,37,94.6,27,28,96.4,116,AA,2023
Noah Burnette,noah-burnette-1,/cfb/players/noah-burnette-1.html,North Carolina,ACC,11,43,43,100.0,19,20,95.0,100,,2023
Atticus Sappington,atticus-sappington-1,/cfb/players/atticus-sappington-1.html,Oregon State,Pac-12,12,49,50,98.0,13,14,92.9,88,,2023
John Love,john-love-2,/cfb/players/john-love-2.html,Virginia Tech,ACC,13,44,44,100.0,22,24,91.7,110,,2023
Alex Raynor,alex-raynor-1,/cfb/players/alex-raynor-1.html,Kentucky,SEC,13,48,49,98.0,10,11,90.9,78,,2023
Ryan Fitzgerald,ryan-fitzgerald-1,/cfb/players/ryan-fitzgerald-1.html,Florida State,ACC,14,58,58,100.0,19,21,90.5,115,,2023
Jose Pizano,jose-pizano-1,/cfb/players/jose-pizano-1.html,Nevada-Las Vegas,MWC,14,55,55,100.0,26,29,89.7,133,,2023
Aidan Birr,aidan-birr-1,/cfb/players/aidan-birr-1.html,Georgia Tech,ACC,12,37,38,97.4,17,19,89.5,88,,2023
Camden Wise,camden-wise-1,/cfb/players/camden-wise-1.html,James Madison,Sun Belt,13,53,53,100.0,16,18,88.9,101,,2023
Jonah Dalmas,jonah-dalmas-1,/cfb/players/jonah-dalmas-1.html,Boise State,MWC,14,48,49,98.0,24,27,88.9,120,,2023
Mateen Bhaghani,mateen-bhaghani-1,/cfb/players/mateen-bhaghani-1.html,California,Pac-12,10,29,29,100.0,8,9,88.9,53,,2023
Andrew Glass,andrew-glass-1,/cfb/players/andrew-glass-1.html,Kent State,MAC,12,16,17,94.1,15,17,88.2,61,,2023
Will Reichard,will-reichard-1,/cfb/players/will-reichard-1.html,Alabama,SEC,14,55,55,100.0,22,25,88.0,121,,2023
Kenneth Almendares,kenneth-almendares-1,/cfb/players/kenneth-almendares-1.html,Louisiana,Sun Belt,13,50,51,98.0,14,16,87.5,92,,2023
Chase Allen,chase-allen-2,/cfb/players/chase-allen-2.html,UTSA,American,12,49,49,100.0,13,15,86.7,88,,2023
