Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Andrew Mikkelsen,andrew-mikkelsen-1,/cfb/players/andrew-mikkelsen-1.html,BYU,Ind,12,2,2,100.0,1,1,100.0,5,,2017
Christian Groomes,christian-groomes-1,/cfb/players/christian-groomes-1.html,Clemson,ACC,4,2,2,100.0,1,1,100.0,5,,2017
Coby Neenan,coby-neenan-1,/cfb/players/coby-neenan-1.html,Tulane,American,2,5,8,62.5,1,1,100.0,8,,2017
Crews Holt,crews-holt-1,/cfb/players/crews-holt-1.html,Middle Tennessee State,CUSA,2,0,0,,1,1,100.0,3,,2017
David Marvin,david-marvin-1,/cfb/players/david-marvin-1.html,Georgia,SEC,3,1,1,100.0,1,1,100.0,4,,2017
Gavin Graham,gavin-graham-1,/cfb/players/gavin-graham-1.html,Texas State,Sun Belt,12,0,0,,1,1,100.0,3,,2017
Hayden Tobola,hayden-tobola-1,/cfb/players/hayden-tobola-1.html,Rice,CUSA,3,2,3,66.7,1,1,100.0,5,,2017
Jonathan Song,jonathan-song-1,/cfb/players/jonathan-song-1.html,Texas Christian,Big 12,9,39,41,95.1,8,8,100.0,63,,2017
J.R. Osborn,jr-osborn-1,/cfb/players/jr-osborn-1.html,Navy,American,4,0,0,,1,1,100.0,3,,2017
Kevin Robledo,kevin-robledo-1,/cfb/players/kevin-robledo-1.html,SMU,American,9,13,14,92.9,1,1,100.0,16,,2017
Matthew Philichi,matthew-philichi-1,/cfb/players/matthew-philichi-1.html,Air Force,MWC,4,2,2,100.0,1,1,100.0,5,,2017
Michael Smith,michael-smith-15,/cfb/players/michael-smith-15.html,Utah State,MWC,1,0,0,,1,1,100.0,3,,2017
Nick Bartolotta,nick-bartolotta-1,/cfb/players/nick-bartolotta-1.html,Missouri,SEC,1,8,9,88.9,2,2,100.0,14,,2017
Spencer Smith,spencer-smith-6,/cfb/players/spencer-smith-6.html,Memphis,American,13,13,13,100.0,3,3,100.0,22,,2017
William Holmquist,william-holmquist-1,/cfb/players/william-holmquist-1.html,Duke,ACC,2,4,5,80.0,1,1,100.0,7,,2017
Eddy Pineiro,eddy-pineiro-1,/cfb/players/eddy-pineiro-1.html,Florida,SEC,11,24,26,92.3,17,18,94.4,75,,2017
Griffin Oakes,griffin-oakes-1,/cfb/players/griffin-oakes-1.html,Indiana,Big Ten,12,38,39,97.4,16,17,94.1,86,,2017
Trevor Moore,trevor-moore-1,/cfb/players/trevor-moore-1.html,North Texas,CUSA,14,55,55,100.0,20,22,90.9,115,,2017
Chandler Staton,chandler-staton-1,/cfb/players/chandler-staton-1.html,Appalachian State,Sun Belt,8,31,31,100.0,8,9,88.9,55,,2017
Connor Limpert,connor-limpert-1,/cfb/players/connor-limpert-1.html,Arkansas,SEC,12,33,34,97.1,8,9,88.9,57,,2017
Merek Glover,merek-glover-1,/cfb/players/merek-glover-1.html,Tulane,American,11,32,34,94.1,8,9,88.9,56,,2017
Rafael Gaglianone,rafael-gaglianone-1,/cfb/players/rafael-gaglianone-1.html,Wisconsin,Big Ten,14,59,59,100.0,16,18,88.9,107,,2017
Matt Gay,matt-gay-2,/cfb/players/matt-gay-2.html,Utah,Pac-12,13,40,40,100.0,30,34,88.2,130,AA,2017
Tucker McCann,tucker-mccann-1,/cfb/players/tucker-mccann-1.html,Missouri,SEC,12,51,53,96.2,15,17,88.2,96,,2017
Rodrigo Blankenship,rodrigo-blankenship-1,/cfb/players/rodrigo-blankenship-1.html,Georgia,SEC,15,63,63,100.0,20,23,87.0,123,,2017
Logan Laurent,logan-laurent-1,/cfb/players/logan-laurent-1.html,Massachusetts,Ind,12,29,31,93.5,13,15,86.7,68,,2017
Jared Sackett,jared-sackett-1,/cfb/players/jared-sackett-1.html,UTSA,CUSA,10,23,24,95.8,19,22,86.4,80,,2017
Cole Bunce,cole-bunce-1,/cfb/players/cole-bunce-1.html,Texas Christian,Big 12,14,16,18,88.9,6,7,85.7,34,,2017
Daniel LaCamera,daniel-lacamera-1,/cfb/players/daniel-lacamera-1.html,Texas A&M,SEC,13,51,52,98.1,18,21,85.7,105,,2017
Drew Brown,drew-brown-1,/cfb/players/drew-brown-1.html,Nebraska,Big Ten,12,37,37,100.0,12,14,85.7,73,,2017
Evan Staley,evan-staley-1,/cfb/players/evan-staley-1.html,West Virginia,Big 12,8,16,16,100.0,6,7,85.7,34,,2017
Evan Staley,evan-staley-2,/cfb/players/evan-staley-2.html,West Virginia,Big 12,13,16,16,100.0,6,7,85.7,34,,2017
Jace Christman,jace-christman-1,/cfb/players/jace-christman-1.html,Mississippi State,SEC,13,42,42,100.0,12,14,85.7,78,,2017
Ricky Aguayo,ricky-aguayo-1,/cfb/players/ricky-aguayo-1.html,Florida State,ACC,13,42,43,97.7,18,21,85.7,96,,2017
Blanton Creque,blaton-creque-1,/cfb/players/blaton-creque-1.html,Louisville,ACC,13,58,59,98.3,17,20,85.0,109,,2017
Gabriel Rui,gabriel-rui-1,/cfb/players/gabriel-rui-1.html,Kansas,Big 12,10,23,23,100.0,17,20,85.0,74,,2017
Parker Shaunfield,parker-shaunfield-1,/cfb/players/parker-shaunfield-1.html,Southern Mississippi,CUSA,13,42,44,95.5,17,20,85.0,93,,2017
Miguel Recinos,miguel-recinos-1,/cfb/players/miguel-recinos-1.html,Iowa,Big Ten,13,44,44,100.0,11,13,84.6,77,,2017
Gavin Patterson,gavin-patterson-1,/cfb/players/gavin-patterson-1.html,South Alabama,Sun Belt,12,26,27,96.3,16,19,84.2,74,,2017
Emilio Nadelman,emilio-nadelman-1,/cfb/players/emilio-nadelman-1.html,South Florida,American,12,52,56,92.9,21,25,84.0,115,,2017
Mike Weaver,mike-weaver-1,/cfb/players/mike-weaver-1.html,Wake Forest,ACC,13,52,56,92.9,21,25,84.0,115,,2017
Brenton King,brenton-king-1,/cfb/players/brenton-king-1.html,Georgia Tech,ACC,8,15,16,93.8,5,6,83.3,30,,2017
Connor Martin,connor-martin-1,/cfb/players/connor-martin-1.html,Baylor,Big 12,12,29,30,96.7,20,24,83.3,89,,2017
Cooper Rothe,cooper-rothe-1,/cfb/players/cooper-rothe-1.html,Wyoming,MWC,13,36,37,97.3,15,18,83.3,81,,2017
Daniel Gutierrez,daniel-gutierrez-1,/cfb/players/daniel-gutierrez-1.html,Nevada-Las Vegas,MWC,12,10,11,90.9,5,6,83.3,25,,2017
Erik Powell,erik-powell-1,/cfb/players/erik-powell-1.html,Washington State,Pac-12,13,46,47,97.9,20,24,83.3,106,,2017
Jameson Vest,jameson-vest-1,/cfb/players/jameson-vest-1.html,Toledo,MAC,14,56,58,96.6,25,30,83.3,131,,2017
Jose Borregales,jose-borregales-1,/cfb/players/jose-borregales-1.html,Florida International,CUSA,13,40,40,100.0,15,18,83.3,85,,2017
Louie Zervos,louie-zervos-1,/cfb/players/louie-zervos-1.html,Ohio,MAC,13,61,64,95.3,15,18,83.3,106,,2017
Wyatt Bryan,wyatt-bryan-1,/cfb/players/wyatt-bryan-1.html,Colorado State,MWC,13,53,55,96.4,15,18,83.3,98,,2017
Bryce Crawford,bryce-crawford-1,/cfb/players/bryce-crawford-1.html,San Jose State,MWC,12,20,24,83.3,14,17,82.4,62,,2017
Canon Rooker,canon-rooker-1,/cfb/players/canon-rooker-1.html,Middle Tennessee State,CUSA,13,39,41,95.1,14,17,82.4,81,,2017
Jake Suder,jake-suder-1,/cfb/players/jake-suder-1.html,Bowling Green,MAC,12,32,33,97.0,18,22,81.8,86,,2017
Charlie Kuhbander,charlie-kuhbander-1,/cfb/players/charlie-kuhbander-1.html,Northwestern,Big Ten,13,43,44,97.7,13,16,81.3,82,,2017
Austin Parker,austin-parker-2,/cfb/players/austin-parker-2.html,Duke,ACC,12,33,35,94.3,17,21,81.0,84,,2017
Austin Seibert,austin-seibert-1,/cfb/players/austin-seibert-1.html,Oklahoma,Big 12,14,81,81,100.0,17,21,81.0,132,,2017
Gary Wunderlich,gary-wunderlich-1,/cfb/players/gary-wunderlich-1.html,Ole Miss,SEC,11,34,36,94.4,17,21,81.0,85,,2017
JJ Molson,jj-molson-1,/cfb/players/jj-molson-1.html,UCLA,Pac-12,13,49,50,98.0,17,21,81.0,100,,2017
