Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Michael Lantz,michael-lantz-1,/cfb/players/michael-lantz-1.html,Minnesota,Big Ten,11,47,49,95.9,8,11,72.7,71,,2019
Stevie Artigue,stevie-artigue-1,/cfb/players/stevie-artigue-1.html,Louisiana,Sun Belt,14,65,66,98.5,16,22,72.7,113,,2019
Tucker McCann,tucker-mccann-1,/cfb/players/tucker-mccann-1.html,Missouri,SEC,12,34,37,91.9,16,22,72.7,82,,2019
Jose Borregales,jose-borregales-1,/cfb/players/jose-borregales-1.html,Florida International,CUSA,13,37,39,94.9,21,29,72.4,100,,2019
Joshua Rowland,joshua-rowland-1,/cfb/players/joshua-rowland-1.html,Texas State,Sun Belt,12,23,23,100.0,13,18,72.2,62,,2019
Anders Carlson,anders-carlson-1,/cfb/players/anders-carlson-1.html,Auburn,SEC,13,48,49,98.0,18,25,72.0,102,,2019
Charlie Kuhbander,charlie-kuhbander-1,/cfb/players/charlie-kuhbander-1.html,Northwestern,Big Ten,12,17,18,94.4,10,14,71.4,47,,2019
Maxwell Poduska,maxwell-poduska-1,/cfb/players/maxwell-poduska-1.html,Colorado State,MWC,5,18,18,100.0,5,7,71.4,33,,2019
Tyler Bass,tyler-bass-3,/cfb/players/tyler-bass-3.html,Georgia Southern,Sun Belt,13,36,36,100.0,20,28,71.4,96,,2019
Alex Kessman,alex-kessman-1,/cfb/players/alex-kessman-1.html,Pitt,ACC,13,29,30,96.7,22,31,71.0,95,,2019
Bijan Nichols,bijan-nichols-1,/cfb/players/bijan-nichols-1.html,Navy,American,13,61,62,98.4,12,17,70.6,97,,2019
James Stefanou,james-stefanou-1,/cfb/players/james-stefanou-1.html,Colorado,Pac-12,9,26,27,96.3,12,17,70.6,62,,2019
Noah Ruggles,noah-ruggles-1,/cfb/players/noah-ruggles-1.html,North Carolina,ACC,13,45,45,100.0,19,27,70.4,102,,2019
Chandler Staton,chandler-staton-1,/cfb/players/chandler-staton-1.html,Appalachian State,Sun Belt,14,72,73,98.6,11,16,68.8,105,,2019
Matt Coghlin,matt-coghlin-1,/cfb/players/matt-coghlin-1.html,Michigan State,Big Ten,12,31,31,100.0,22,32,68.8,97,,2019
Alex Probert,alex-probert-1,/cfb/players/alex-probert-1.html,Liberty,Ind,13,50,53,94.3,13,19,68.4,89,,2019
James McCourt,james-mccourt-1,/cfb/players/james-mccourt-1.html,Illinois,Big Ten,13,42,43,97.7,13,19,68.4,81,,2019
Cooper Rothe,cooper-rothe-1,/cfb/players/cooper-rothe-1.html,Wyoming,MWC,13,37,40,92.5,15,22,68.2,82,,2019
Ryan Rimmler,ryan-rimmler-1,/cfb/players/ryan-rimmler-1.html,Ball State,MAC,12,47,48,97.9,15,22,68.2,92,,2019
Vladmir Rivas,vladmir-rivas-1,/cfb/players/vladmir-rivas-1.html,Florida Atlantic,CUSA,14,55,59,93.2,17,25,68.0,106,,2019
Aaron Boumerhi,aaron-boumerhi-1,/cfb/players/aaron-boumerhi-1.html,Boston College,ACC,13,45,45,100.0,12,18,66.7,81,,2019
Alex McNulty,alex-mcnulty-1,/cfb/players/alex-mcnulty-1.html,Buffalo,MAC,13,40,42,95.2,10,15,66.7,70,,2019
Brandon Wright,brandon-wright-3,/cfb/players/brandon-wright-3.html,Georgia State,Sun Belt,13,48,49,98.0,12,18,66.7,84,,2019
Cole Smith,cole-smith-2,/cfb/players/cole-smith-2.html,Cincinnati,American,3,0,0,,2,3,66.7,6,,2019
Collin Larsh,collin-larsh-1,/cfb/players/collin-larsh-1.html,Wisconsin,Big Ten,12,53,54,98.1,12,18,66.7,89,,2019
Everett Hayes,everett-hayes-1,/cfb/players/everett-hayes-1.html,Oregon State,Pac-12,8,25,25,100.0,2,3,66.7,31,,2019
Jacob Meeks,jacob-meeks-1,/cfb/players/jacob-meeks-1.html,Louisiana-Monroe,Sun Belt,12,9,10,90.0,2,3,66.7,15,,2019
Jake Moody,jake-moody-1,/cfb/players/jake-moody-1.html,Michigan,Big Ten,13,18,18,100.0,6,9,66.7,36,,2019
Jake Oldroyd,jake-oldroyd-1,/cfb/players/jake-oldroyd-1.html,BYU,Ind,13,40,41,97.6,16,24,66.7,88,,2019
Jordan Stout,jordan-stout-2,/cfb/players/jordan-stout-2.html,Penn State,Big Ten,13,0,0,,2,3,66.7,6,,2019
Thiago Kapps,thiago-kapps-1,/cfb/players/thiago-kapps-1.html,Western Michigan,MAC,13,48,50,96.0,10,15,66.7,78,,2019
Zach Hintze,zach-hintze-1,/cfb/players/zach-hintze-1.html,Wisconsin,Big Ten,14,8,8,100.0,2,3,66.7,14,,2019
Jacob Rainey,jacob-rainey-1,/cfb/players/jacob-rainey-1.html,Tulsa,American,12,37,38,97.4,15,23,65.2,82,,2019
Evan Staley,evan-staley-1,/cfb/players/evan-staley-1.html,West Virginia,Big 12,9,21,21,100.0,11,17,64.7,54,,2019
