Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Andrew Gantz,andrew-gantz-1,/cfb/players/andrew-gantz-1.html,Cincinnati,American,2,6,6,100.0,2,2,100.0,12,,2016
Andy Pappanastos,andy-pappanastos-1,/cfb/players/andy-pappanastos-1.html,Alabama,SEC,5,6,6,100.0,1,1,100.0,9,,2016
Bailey Cate,bailey-cate-1,/cfb/players/bailey-cate-1.html,Old Dominion,CUSA,13,2,5,40.0,1,1,100.0,5,,2016
Chris Kirtley,chris-kirtley-1,/cfb/players/chris-kirtley-1.html,Old Dominion,CUSA,1,4,4,100.0,1,1,100.0,7,,2016
Emilio Nadelman,emilio-nadelman-1,/cfb/players/emilio-nadelman-1.html,South Florida,American,10,52,53,98.1,7,7,100.0,73,,2016
Jack Fox,jack-fox-1,/cfb/players/jack-fox-1.html,Rice,CUSA,12,2,2,100.0,1,1,100.0,5,,2016
Jordan Choukair,jordan-choukair-1,/cfb/players/jordan-choukair-1.html,Oregon State,Pac-12,2,0,0,,1,1,100.0,3,,2016
Matt Ammendola,matt-ammendola-1,/cfb/players/matt-ammendola-1.html,Oklahoma State,Big 12,13,0,1,0.0,1,1,100.0,3,,2016
Mike Shinsky,mike-shinsky-1,/cfb/players/mike-shinsky-1.html,Maryland,Big Ten,2,0,0,,1,1,100.0,3,,2016
Mitchell Becker,mitchell-becker-1,/cfb/players/mitchell-becker-1.html,Texas,Big 12,12,0,0,,2,2,100.0,6,,2016
Nicolai Bornand,nicolai-bornand-1,/cfb/players/nicolai-bornand-1.html,Nevada-Las Vegas,MWC,6,3,3,100.0,1,1,100.0,6,,2016
Rigoberto Sanchez,rigoberto-sanchez-1,/cfb/players/rigoberto-sanchez-1.html,Hawaii,MWC,14,49,50,98.0,13,13,100.0,88,,2016
Sawyer Williams,sawyer-williams-1,/cfb/players/sawyer-williams-1.html,Arkansas State,Sun Belt,12,4,4,100.0,1,1,100.0,7,,2016
Gary Wunderlich,gary-wunderlich-1,/cfb/players/gary-wunderlich-1.html,Ole Miss,SEC,12,41,43,95.3,22,23,95.7,107,,2016
Younghoe Koo,younghoe-koo-1,/cfb/players/younghoe-koo-1.html,Georgia Southern,Sun Belt,11,28,29,96.6,19,20,95.0,85,,2016
Cole Netten,cole-netten-1,/cfb/players/cole-netten-1.html,Iowa State,Big 12,12,35,37,94.6,16,17,94.1,83,,2016
Clayton Hatfield,clayton-hatfield-1,/cfb/players/clayton-hatfield-1.html,Texas Tech,Big 12,12,65,70,92.9,13,14,92.9,104,,2016
Evan Pantels,evan-pantels-1,/cfb/players/evan-pantels-1.html,Nevada-Las Vegas,MWC,12,42,42,100.0,13,14,92.9,81,,2016
Jason Sanders,jason-sanders-1,/cfb/players/jason-sanders-1.html,New Mexico,MWC,13,61,62,98.4,12,13,92.3,97,,2016
Zane Gonzalez,zane-gonzalez-1,/cfb/players/zane-gonzalez-1.html,Arizona State,Pac-12,12,39,40,97.5,23,25,92.0,108,AA,2016
Emmit Carpenter,emmit-carpenter-1,/cfb/players/emmit-carpenter-1.html,Minnesota,Big Ten,13,43,44,97.7,22,24,91.7,109,,2016
Tyler Davis,tyler-davis-3,/cfb/players/tyler-davis-3.html,Penn State,Big Ten,14,62,62,100.0,22,24,91.7,128,,2016
John Baron,john-baron-1,/cfb/players/john-baron-1.html,San Diego State,MWC,14,56,58,96.6,21,23,91.3,119,,2016
Tom O'Leary,tom-oleary-2,/cfb/players/tom-oleary-2.html,Akron,MAC,12,39,42,92.9,10,11,90.9,69,,2016
Austin Rehkow,austin-rehkow-1,/cfb/players/austin-rehkow-1.html,Idaho,Sun Belt,13,42,44,95.5,26,29,89.7,120,,2016
Bryce Crawford,bryce-crawford-1,/cfb/players/bryce-crawford-1.html,San Jose State,MWC,12,31,33,93.9,16,18,88.9,79,,2016
Aaron Boumerhi,aaron-boumerhi-1,/cfb/players/aaron-boumerhi-1.html,Temple,American,9,29,30,96.7,15,17,88.2,74,,2016
Harrison Butker,harrison-butker-1,/cfb/players/harrison-butker-1.html,Georgia Tech,ACC,13,46,46,100.0,15,17,88.2,91,,2016
Kody Kroening,kody-kroening-1,/cfb/players/kody-kroening-1.html,Fresno State,MWC,11,23,23,100.0,15,17,88.2,68,,2016
Luke Strebel,luke-strebel-1,/cfb/players/luke-strebel-1.html,Air Force,MWC,13,51,51,100.0,22,25,88.0,117,,2016
Daniel Carlson,daniel-carlson-1,/cfb/players/daniel-carlson-1.html,Auburn,SEC,13,44,44,100.0,28,32,87.5,128,,2016
Rafael Gaglianone,rafael-gaglianone-1,/cfb/players/rafael-gaglianone-1.html,Wisconsin,Big Ten,3,10,10,100.0,7,8,87.5,31,,2016
Drew Brown,drew-brown-1,/cfb/players/drew-brown-1.html,Nebraska,Big Ten,13,38,38,100.0,12,14,85.7,74,,2016
Mike Knoll,mike-knoll-2,/cfb/players/mike-knoll-2.html,Boston College,ACC,13,27,30,90.0,12,14,85.7,63,,2016
Parker Shaunfield,parker-shaunfield-1,/cfb/players/parker-shaunfield-1.html,Southern Mississippi,CUSA,10,40,40,100.0,12,14,85.7,76,,2016
Matt Anderson,matt-anderson-3,/cfb/players/matt-anderson-3.html,California,Pac-12,12,51,51,100.0,22,26,84.6,117,,2016
Austin Macginnis,austin-macginnis-1,/cfb/players/austin-macginnis-1.html,Kentucky,SEC,13,44,45,97.8,16,19,84.2,92,,2016
Blanton Creque,blaton-creque-1,/cfb/players/blaton-creque-1.html,Louisville,ACC,13,39,40,97.5,16,19,84.2,87,,2016
Canon Rooker,canon-rooker-1,/cfb/players/canon-rooker-1.html,Middle Tennessee State,CUSA,13,64,66,97.0,16,19,84.2,112,,2016
Andy Phillips,andy-phillips-2,/cfb/players/andy-phillips-2.html,Utah,Pac-12,13,43,43,100.0,21,25,84.0,106,,2016
Eddy Pineiro,eddy-pineiro-1,/cfb/players/eddy-pineiro-1.html,Florida,SEC,13,32,32,100.0,21,25,84.0,95,,2016
Austin Jones,austin-jones-4,/cfb/players/austin-jones-4.html,Temple,American,6,23,23,100.0,10,12,83.3,53,,2016
Brad Davis,brad-davis-3,/cfb/players/brad-davis-3.html,Old Dominion,CUSA,13,45,46,97.8,10,12,83.3,75,,2016
Marcus Ripley,marcus-ripley-1,/cfb/players/marcus-ripley-1.html,Texas State,Sun Belt,10,17,18,94.4,5,6,83.3,32,,2016
Ryan Graf,ryan-graf-1,/cfb/players/ryan-graf-1.html,Texas Christian,Big 12,4,20,20,100.0,5,6,83.3,35,,2016
Louie Zervos,louie-zervos-1,/cfb/players/louie-zervos-1.html,Ohio,MAC,14,35,38,92.1,29,35,82.9,122,,2016
Kenneth Allen,kenneth-allen-1,/cfb/players/kenneth-allen-1.html,Michigan,Big Ten,13,53,53,100.0,19,23,82.6,110,,2016
Keith Duncan,keith-duncan-1,/cfb/players/keith-duncan-1.html,Iowa,Big Ten,13,38,39,97.4,9,11,81.8,65,,2016
Conrad Ukropina,conrad-ukropina-1,/cfb/players/conrad-ukropina-1.html,Stanford,Pac-12,12,34,34,100.0,22,27,81.5,100,,2016
Jonathan Barnes,jonathan-barnes-1,/cfb/players/jonathan-barnes-1.html,Louisiana Tech,CUSA,14,77,78,98.7,22,27,81.5,143,,2016
Rhett Almond,rhett-almond-1,/cfb/players/rhett-almond-1.html,BYU,Ind,13,39,40,97.5,17,21,81.0,90,,2016
Jake Elliott,jake-elliott-1,/cfb/players/jake-elliott-1.html,Memphis,American,13,58,58,100.0,21,26,80.8,121,,2016
Michael Badgley,michael-badgley-1,/cfb/players/michael-badgley-1.html,Miami (FL),ACC,13,53,55,96.4,21,26,80.8,116,,2016
Redford Jones,redford-jones-1,/cfb/players/redford-jones-1.html,Tulsa,American,13,67,67,100.0,21,26,80.8,130,,2016
Adam McFain,adam-mcfain-1,/cfb/players/adam-mcfain-1.html,Arkansas,SEC,11,20,21,95.2,8,10,80.0,44,,2016
Bennett Moehring,bennett-moehring-1,/cfb/players/bennett-moehring-1.html,Navy,American,14,65,68,95.6,8,10,80.0,89,,2016
Cameron Van Winkle,cameron-van-winkle-1,/cfb/players/cameron-van-winkle-1.html,Washington,Pac-12,14,75,76,98.7,16,20,80.0,123,,2016
Ian Patterson,ian-patterson-1,/cfb/players/ian-patterson-1.html,Kansas State,Big 12,9,21,25,84.0,4,5,80.0,33,,2016
Ty Cummings,ty-cummings-1,/cfb/players/ty-cummings-1.html,Houston,American,13,55,58,94.8,16,20,80.0,103,,2016
Butch Hampton,butch-hampton-1,/cfb/players/butch-hampton-1.html,Western Michigan,MAC,14,71,73,97.3,19,24,79.2,128,,2016
Paul Fricano,paul-fricano-1,/cfb/players/paul-fricano-1.html,Eastern Michigan,MAC,13,42,43,97.7,19,24,79.2,99,,2016
Stevie Artigue,stevie-artigue-1,/cfb/players/stevie-artigue-1.html,Louisiana,Sun Belt,13,29,31,93.5,19,24,79.2,86,,2016
Michael Geiger,michael-geiger-1,/cfb/players/michael-geiger-1.html,Michigan State,Big Ten,12,30,30,100.0,15,19,78.9,75,,2016
Morgan Hagee,morgan-hagee-1,/cfb/players/morgan-hagee-1.html,Ball State,MAC,12,37,37,100.0,15,19,78.9,82,,2016
Parker Davidson,parker-davidson-1,/cfb/players/parker-davidson-1.html,New Mexico State,Sun Belt,12,29,34,85.3,15,19,78.9,74,,2016
Tommy Openshaw,tommy-openshaw-1,/cfb/players/tommy-openshaw-1.html,Vanderbilt,SEC,13,36,36,100.0,15,19,78.9,81,,2016
Matthew McCrane,matthew-mccrane-1,/cfb/players/matthew-mccrane-1.html,Kansas State,Big 12,8,29,29,100.0,11,14,78.6,62,,2016
Wyatt Bryan,wyatt-bryan-1,/cfb/players/wyatt-bryan-1.html,Colorado State,MWC,13,53,55,96.4,11,14,78.6,86,,2016
Ryan Kay,ryan-kay-1,/cfb/players/ryan-kay-1.html,Troy,Sun Belt,13,48,48,100.0,18,23,78.3,102,,2016
Logan Laurent,logan-laurent-1,/cfb/players/logan-laurent-1.html,Massachusetts,Ind,12,0,0,,7,9,77.8,21,,2016
Mike Weaver,mike-weaver-1,/cfb/players/mike-weaver-1.html,Wake Forest,ACC,13,28,28,100.0,21,27,77.8,91,,2016
Rodrigo Blankenship,rodrigo-blankenship-1,/cfb/players/rodrigo-blankenship-1.html,Georgia,SEC,13,26,26,100.0,14,18,77.8,68,,2016
Spence Pettit,spence-pettit-1,/cfb/players/spence-pettit-1.html,Nevada,MWC,6,18,19,94.7,7,9,77.8,39,,2016
