player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
JR Pace,10116,S,NWESTERN,7,3,0,256,0,1,2,0,26
Jaylan Foster,13095,S,S CAROLINA,7,10,0,289,0,0,0,0,33
Joshua McMillon,13920,LB,ALABAMA,6,2,0,103,0,0,1,0,7
Devin Taylor,22317,S,VA TECH,10,5,0,337,0,2,3,0,47
Cortez Davis,22974,CB,HAWAII,7,7,2,180,0,0,2,1,22
Dru Prox,23093,LB,KANSAS,3,7,0,198,3,0,0,1,16
Mikel Horton,23509,DI,CHARLOTTE,4,0,0,136,0,0,0,0,7
Kingsley Onyirioha,23639,DI,TEXAS ST,5,1,0,314,0,0,0,0,5
Quincy Jountti,23788,HB,USC,1,0,0,326,0,0,0,0,0
Darren Evans,24171,CB,LSU,5,1,0,211,0,0,0,0,5
Alvinoski LaFleur,24504,CB,E MICHIGAN,6,10,1,160,0,2,0,0,27
Luc Bequette,25776,DI,BOSTON COL,11,5,2,121,0,0,0,1,12
Zeandae Johnson,25779,ED,CAL,4,3,0,130,0,0,0,1,4
Mark Gilbert,26144,CB,DUKE,2,1,0,154,0,1,0,0,7
Clay Holford,26345,ED,E MICHIGAN,2,0,0,160,0,0,0,0,2
Jeremiah Moon,26453,ED,FLORIDA,4,4,0,163,1,0,0,1,9
David Curry,26573,LB,GA TECH,10,17,1,176,3,0,2,4,60
Michael Dwumfour,27376,DI,RUTGERS,8,4,0,278,7,0,0,1,14
Justus Reed,27708,ED,VA TECH,11,4,0,337,4,0,0,8,16
Rodjay Burns,28078,LB,LOUISVILLE,11,9,0,210,0,0,1,3,46
Justin Hilliard,28079,LB,OHIO STATE,3,1,1,260,0,0,0,0,7
Richard Moore,28853,LB,SMU,1,0,0,287,0,0,0,0,1
Jack Jones,29050,CB,ARIZONA ST,1,0,0,110,0,0,0,0,5
Richard Burney,29120,DI,VIRGINIA,5,5,0,335,0,0,0,3,9
Garrett Rand,29616,DI,WISCONSIN,5,3,1,349,0,0,0,0,8
D'Angelo Amos,30344,S,VIRGINIA,10,4,0,335,0,2,3,0,34
Adeeb Atariwa,30482,DI,VIRGINIA,10,2,0,335,1,0,0,1,14
Marshaun Cameron,30624,CB,COLO STATE,4,3,1,144,0,1,1,1,25
Jabril Cox,30669,LB,LSU,10,5,0,211,5,3,4,0,47
Brian Cavicante,33444,LB,MARSHALL,5,1,0,214,0,0,0,0,7
Eric Wilson,33735,CB,S DIEGO ST,2,0,0,284,0,0,0,0,0
Brock Nichols,33753,S,USF,8,1,0,327,0,1,0,0,16
Meiko Dotson,33902,CB,FLORIDA ST,3,1,0,167,0,0,0,0,8
Denzel Feaster,34561,LB,KANSAS,5,9,1,198,1,0,0,0,18
Ferrod Gardner,34595,LB,LA LAFAYET,9,12,0,207,3,0,0,4,50
Christian Taylor,34919,LB,TEXAS ST,12,13,1,314,2,0,0,1,36
John Petrishen,35069,LB,PITTSBURGH,5,4,0,268,0,0,0,0,2
Austin Rosa,35168,LB,VA TECH,1,0,0,337,0,0,0,0,0
Justin Hughes,35200,LB,KANSAS ST,8,8,0,199,1,0,1,0,32
Adam Prentice,35639,TE,S CAROLINA,1,0,0,289,0,0,0,0,0
Richard McBryde,35699,LB,SMU,10,4,0,287,1,0,0,3,46
