player,player_id,position,team_name,player_game_count,franchise_id
Devery Hamilton,40636,T,DUKE,11,154
Ivory Scott,98699,G,ARK STATE,11,113
Wyatt Luebke,56526,T,ARK STATE,11,113
Jacob Monk,98058,G,DUKE,11,154
Bryce Hargrove,41946,G,PITTSBURGH,11,268
Reece Jordan,55554,C,TEXAS ST,12,314
Dalton Cooper,98482,T,TEXAS ST,12,314
Casey Holman,77315,T,DUKE,11,154
Russell Baker,121957,T,TEXAS ST,12,314
Jimmy Morrissey,41626,C,PITTSBURGH,11,268
Grant Gibson,57005,C,NC STATE,11,248
Grant Betts,81870,G,TROY,11,318
Dylan Bradshaw,41566,C,TROY,11,318
Jake Andrews,81868,G,TROY,11,318
Ryan Neuzil,41123,G,APP STATE,11,108
Liam Shanahan,108697,C,LSU,10,211
Joe Sculthorpe,41846,G,NC STATE,11,248
Baer Hunter,44512,G,APP STATE,11,108
Noah Hannon,58480,C,APP STATE,11,108
Austin Deculus,59821,T,LSU,10,211
Brian Ankerson,41827,C,S ALABAMA,11,288
Matt Lee,98544,C,UCF,9,323
Zion Johnson,99681,T,BOSTON COL,11,121
Christian Mahogany,98261,G,BOSTON COL,11,121
Tyler Vrabel,77343,T,BOSTON COL,11,121
Alec Lindstrom,58532,C,BOSTON COL,11,121
Sincere Haynesworth,97644,C,TULANE,11,319
Dylan Parham,60953,T,MEMPHIS,10,218
Ben Petrula,58533,G,BOSTON COL,11,121
Manuel Orona-Lopez,77414,C,MEMPHIS,10,218
Alan Ali,60053,C,SMU,10,287
Ikem Ekwonu,98286,T,NC STATE,11,248
Obinna Eze,59837,T,MEMPHIS,10,218
Josh Sills,41748,T,OKLA STATE,10,262
Logan Langemeier,108708,C,GA SOUTHRN,12,174
Isaac Ellis,77419,G,MEMPHIS,10,218
Adonis Boone,77558,T,LOUISVILLE,11,210
Jack Anderson,60130,G,TEXAS TECH,10,315
Hunter Woodard,77544,G,OKLA STATE,10,262
DJ Scaife Jr.,77378,G,MIAMI FL,10,220
Ahofitu Maka,100803,C,UTSA,10,331
Austin Stidham,60135,T,TROY,10,318
Marcus McKethan,60811,G,N CAROLINA,11,245
Corey Gaynor,59844,C,MIAMI FL,10,220
Ben Brown,59869,C,OLE MISS,9,226
Chris Glaser,62780,G,VIRGINIA,10,335
Nick Broeker,99084,T,OLE MISS,9,226
Royce Newman,41746,T,OLE MISS,9,226
Aaron Dowdell,41586,G,GA SOUTHRN,12,174
Michael Maietti,40939,C,MISSOURI,10,229
Case Cook,59876,G,MISSOURI,10,229
Hayden Howerton,60052,G,SMU,10,287
Rasheed Walker,81798,T,PENN STATE,9,266
Michal Menet,41448,C,PENN STATE,9,266
Brock Hoffman,54535,C,VA TECH,11,337
Lokahi Pauole,98548,G,UCF,9,323
Ed Ingram,59819,G,LSU,9,211
Ryan Johnson,41740,G,GA TECH,10,176
Will Fries,41530,G,PENN STATE,9,266
Willie Lampkin,122344,G,COAST CAR,11,141
Trey Carter,54494,G,COAST CAR,11,141
Jack DeFoor,41168,G,GA TECH,10,176
Sam Thompson,81612,C,COAST CAR,11,141
Olusegun Oluwatimi,98581,C,VIRGINIA,10,335
Lecitus Smith,61069,G,VA TECH,11,337
Dawson Deaton,60131,C,TEXAS TECH,10,315
Cole Schneider,55401,G,UCF,9,323
Beau Morris,24688,T,SMU,10,287
Seth Joest,41891,C,W KENTUCKY,11,346
Dareuan Parker,41285,G,MISS STATE,10,227
Steven Bedosky,54493,T,COAST CAR,11,141
Ry Schneider,41164,C,OKLA STATE,10,262
Myron Cunningham,33168,T,ARKANSAS,10,111
Cole Spencer,60236,T,W KENTUCKY,11,346
Aaron Banks,59983,G,NOTRE DAME,10,258
Jordan Meredith,60235,G,W KENTUCKY,11,346
Mason Brooks,81938,T,W KENTUCKY,11,346
Zach Quinney,62969,T,GA TECH,10,176
Colin Newell,59753,C,IOWA STATE,10,193
Jeremy James,98423,G,OLE MISS,9,226
Spencer Burford,81920,T,UTSA,10,331
Nick Brahms,58514,C,AUBURN,10,115
Josh Burger,51610,T,TEXAS TECH,10,315
Robert Hainsey,59980,T,NOTRE DAME,10,258
Nick Krimin,41825,C,RUTGERS,9,278
Liam Eichenberg,41851,T,NOTRE DAME,10,258
Reggie Sutton,81813,T,RUTGERS,9,278
Cole Bentley,59816,C,LOUISVILLE,10,210
Richard Gouraige,81635,G,FLORIDA,10,163
Sean Foster,41948,T,IOWA STATE,10,193
Brett Heggie,41179,C,FLORIDA,10,163
Jordan Williams,122503,T,GA TECH,10,176
Tate Heitmeier,60815,G,TEXAS ST,11,314
Cole Brown,81768,T,N TEXAS,9,251
Weston Wright,77494,G,TEXAS TECH,10,315
Manase Mose,59950,C,N TEXAS,9,251
Jacob Brammer,59944,T,N TEXAS,9,251
Cooper Hodges,81548,T,APP STATE,10,108
Corey Dublin,60142,G,TULANE,10,319
Mike Johnson,41265,G,ARMY,11,114
Cade Stewart,41614,C,CLEMSON,10,140
Shamarious Gilmore,41823,G,GA STATE,9,175
Malik Sumter,55194,C,GA STATE,9,175
Travis Glover,81658,T,GA STATE,9,175
Derek Schweiger,59750,G,IOWA STATE,10,193
Dylan Wonnum,81842,T,S CAROLINA,10,289
Eric Douglas,60061,C,S CAROLINA,10,289
Stone Forsythe,41795,T,FLORIDA,10,163
Jovaughn Gwyn,81839,G,S CAROLINA,10,289
Derrick Graham,123703,T,TROY,11,318
Sadarius Hutcherson,41336,G,S CAROLINA,10,289
Airon Servais,41573,T,SYRACUSE,11,304
Carlos Vettorello,77348,C,SYRACUSE,11,304
Christian Darrisaw,77373,T,VA TECH,10,337
Asim Richards,99674,T,N CAROLINA,11,245
Matthew Bergeron,99658,T,SYRACUSE,11,304
Ryan Nelson,62778,T,VIRGINIA,10,335
Abraham Delfin,59808,G,LA TECH,9,208
Chasen Hines,81531,G,LSU,9,211
Tyler Witt,40256,G,W KENTUCKY,11,346
Renato Brown,98232,T,LOUISVILLE,11,210
Christian Jones,77463,T,TEXAS,9,311
Junior Angilau,77465,G,TEXAS,9,311
Trey Smith,62960,G,TENNESSEE,10,307
Denzel Okafor,42007,G,TEXAS,9,311
Joshua Mote,59803,G,LA TECH,9,208
Pat Bartlett,55191,G,GA STATE,9,175
Charles Cross,98401,T,MISS STATE,9,227
Emil Ekiyor Jr.,81540,G,ALABAMA,10,103
Caleb Chandler,59814,G,LOUISVILLE,11,210
Antwine Loper,54534,T,COAST CAR,11,141
Brian Anderson,59932,C,N CAROLINA,10,245
Jaylon Thomas,77421,T,SMU,9,287
Anterrious Gray,121889,G,N TEXAS,9,251
Mike Miranda,60016,G,PENN STATE,9,266
Edward Collins,77408,T,UCF,9,323
Arvin Fletcher,41722,T,SO MISS,10,296
Ryan Swoboda,77576,T,VIRGINIA,10,335
Jarrid Williams,38432,T,MIAMI FL,9,220
Eddie Rivas,59955,G,TEXAS ST,10,314
Grant Miller,60200,C,VANDERBILT,9,333
Jackson Carman,52575,T,CLEMSON,10,140
Will Putnam,99655,G,CLEMSON,10,140
Shane Vallot,81704,C,LA LAFAYET,10,207
Fernando Frye,77437,C,E CAROLINA,9,156
Samuel Jackson,55403,T,UCF,8,323
Kody Russey,41726,C,LA TECH,9,208
Baveon Johnson,41337,G,FLORIDA ST,9,167
Michael Brown,77467,G,W VIRGINIA,9,343
Alex Leatherwood,58468,T,ALABAMA,10,103
Derek Kerstetter,60116,C,TEXAS,9,311
Jordan Tucker,59936,T,N CAROLINA,10,245
Daizion Carroll,81769,G,N TEXAS,9,251
Kevin Davis,60199,G,UTSA,9,331
Landon Dickerson,41712,C,ALABAMA,10,103
Brady Latham,99068,G,ARKANSAS,10,111
O'Cyrus Torrence,102821,G,LA LAFAYET,10,207
Johnathan Bass,83920,T,GA STATE,9,175
Tyler Steen,81921,T,VANDERBILT,9,333
Dan Moore Jr.,60120,T,TEXAS A&M,9,312
Kenyon Green,99052,G,TEXAS A&M,9,312
Ricky Stromberg,99066,C,ARKANSAS,9,111
Carson Green,60118,T,TEXAS A&M,9,312
Ryan McCollum,41974,C,TEXAS A&M,9,312
Landon Young,41761,T,KENTUCKY,10,202
Darian Kinnard,51789,T,KENTUCKY,10,202
Jean Delance,41866,T,FLORIDA,10,163
Drake Jackson,40872,C,KENTUCKY,10,202
Jordan McFadden,77578,T,CLEMSON,10,140
Adrian Ealy,59995,T,OKLAHOMA,9,261
Drew Wilson,41664,T,GA SOUTHRN,12,174
Marquis Hayes,60000,G,OKLAHOMA,9,261
Brandon Yates,99423,T,W VIRGINIA,9,343
Matt Bockhorst,51714,G,CLEMSON,10,140
Jake Springfield,99425,T,OKLA STATE,9,262
Taaga Tuulima,38661,C,HAWAII,8,180
Solo Vaipulu,75849,G,HAWAII,8,180
Justin Shaffer,59703,G,GEORGIA,9,173
Darrell Simmons Jr.,99441,G,IOWA STATE,9,193
Gene Pryor,75851,T,HAWAII,8,180
Carter Warren,60023,T,PITTSBURGH,9,268
Sam Cosmi,60114,T,TEXAS,8,311
Jared Hocker,60121,G,TEXAS A&M,9,312
Malik Clark,45322,T,KANSAS,9,198
Deonte Brown,41457,G,ALABAMA,10,103
Cole Garrison,41479,T,APP STATE,10,108
Chase Behrndt,43963,C,W VIRGINIA,8,343
Rakavius Chambers,57099,G,DUKE,11,154
Cole Smith,99094,C,MISS STATE,9,227
Tashawn Manning,56551,G,AUBURN,10,115
Billy Honaker,60810,T,NAVY,10,237
Jamaree Salyer,81656,T,GEORGIA,9,173
Marcus Greer,79674,G,MIDDLE TN,9,224
Darius Tisdale,99682,G,SYRACUSE,11,304
Luke Tenuta,77367,T,VA TECH,9,337
Creed Humphrey,59996,C,OKLAHOMA,9,261
Justin Self,60809,T,NAVY,10,237
Caleb Warren,99083,G,OLE MISS,8,226
Larry Borom,59879,T,MISSOURI,8,229
Tyrese Robinson,59998,G,OKLAHOMA,9,261
Joshua Ezeudu,77355,G,N CAROLINA,9,245
Jake Burton,43915,G,BAYLOR,8,118
Raiqwon O'Neal,81811,T,RUTGERS,8,278
Pierce Banbury,77384,C,NAVY,10,237
Connor Galvin,77450,T,BAYLOR,8,118
Zach Tom,55443,T,WAKE,8,339
Luke McCleery,58508,T,ARMY,11,114
Je'Vionte' Nash,44818,T,WAKE,8,339
Sean Maginn,55446,G,WAKE,8,339
Bryce Benhart,98531,T,NEBRASKA,8,238
Khalil Crowder,78240,G,GA SOUTHRN,11,174
Matt Farniok,41585,G,NEBRASKA,8,238
Cedrice Paillant,129895,G,RUTGERS,9,278
Tommy Kraemer,40976,G,NOTRE DAME,9,258
Khalique Washington,98704,T,SO MISS,10,296
Greg Eiland,41341,G,MISS STATE,9,227
Avery Jones,77352,G,E CAROLINA,9,156
Zion Nelson,98239,T,MIAMI FL,9,220
Loic Ngassam Nya,55442,G,WAKE,8,339
Evan Neal,99063,T,ALABAMA,9,103
Darnell Wright,98480,T,TENNESSEE,10,307
Kyle Spalding,40356,T,S DIEGO ST,8,284
Zach Thomas,43641,T,S DIEGO ST,8,284
Jake Kradel,77328,G,PITTSBURGH,8,268
Tyler Orsini,101264,C,NEVADA,8,239
Alama Uluave,81814,C,S DIEGO ST,8,284
Aaron Frost,82350,T,NEVADA,8,239
