player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Jordan Ferguson,56995,DI,MIDDLE TN,11,8,0,224,1,1,0,0,20
Ulaiasi Tauaalo,57006,DI,N TEXAS,12,12,0,251,4,0,0,1,17
Weston Kramer,57007,DI,N ILLINOIS,12,8,0,254,1,0,0,1,8
Devin Webster,57008,DI,N ILLINOIS,11,5,0,254,1,0,0,1,2
Tyreece Lott,57017,DI,OKLAHOMA,5,3,0,261,0,0,0,0,3
Ray Ellis,57027,DI,PURDUE,1,1,0,273,0,0,0,0,0
Pono Davis,57028,DI,SMU,12,6,0,287,1,0,0,1,13
Ezra Tu'Ua,57031,DI,TCU,1,0,0,305,0,0,0,0,0
Caeveon Patton,57033,DI,TEXAS ST,9,8,0,314,0,0,0,1,13
Marlon Tuipulotu,57035,DI,USC,3,3,0,326,0,0,0,0,1
Brandon Pili,57036,DI,USC,7,6,0,326,0,0,0,0,6
John Penisini,57037,DI,UTAH,12,3,0,328,0,0,0,1,0
Morris Joseph Jr.,57038,DI,UTSA,2,2,0,331,0,0,0,1,3
Javaree Jackson,57039,DI,WYOMING,10,7,0,351,0,0,0,0,12
Ravontae Holt,57042,DI,WYOMING,9,2,0,351,4,0,0,1,7
Najee Harris,57121,HB,ALABAMA,1,0,0,103,1,0,0,0,0
Daetrich Harrington,57129,HB,APP STATE,1,0,0,108,0,0,0,0,0
Trelon Smith,57135,HB,ARIZONA ST,1,0,0,110,0,0,0,0,0
Eno Benjamin,57136,HB,ARIZONA ST,1,0,0,110,0,0,0,0,0
Ronnie Rivers,57208,HB,FRESNO ST,1,0,0,169,0,0,0,0,0
D'Andre Swift,57212,HB,GEORGIA,1,0,0,173,0,0,0,0,0
Kylin Hill,57306,HB,MISS STATE,1,0,0,227,0,0,0,0,1
Evan Johnson,57345,HB,N TEXAS,1,0,0,251,0,0,0,0,0
Raheem Blackshear,57385,HB,RUTGERS,1,0,0,278,0,0,0,0,0
Brendan Devera,57390,HB,RUTGERS,3,0,0,278,0,0,0,0,1
Markenzy Pierre,57421,HB,SYRACUSE,1,0,0,304,0,0,0,0,0
Robert Brown Jr.,57428,HB,TEXAS ST,1,0,0,314,0,0,0,0,0
Stephen Carr,57453,HB,USC,1,0,0,326,0,0,0,0,0
Salvon Ahmed,57472,HB,WASHINGTON,1,0,0,340,0,0,0,0,0
Matt Falcon,57483,HB,W MICHIGAN,1,0,0,347,0,0,0,0,0
Abraham Nuno,57663,LB,AIR FORCE,1,0,0,101,0,0,0,0,1
Lakota Wills,57664,ED,AIR FORCE,10,11,0,101,7,1,0,1,34
Kyle Johnson,57665,LB,AIR FORCE,2,1,0,101,0,0,0,0,0
Christopher Musselman,57667,LB,AIR FORCE,1,0,0,101,0,1,0,0,0
Jake Ksiazek,57668,LB,AIR FORCE,6,1,0,101,0,0,0,0,1
Dylan Moses,57676,LB,ALABAMA,11,2,0,103,2,1,0,2,20
Vandarius Cowan,57677,LB,ALABAMA,4,0,0,103,0,0,0,0,1
Christopher Allen,57679,ED,ALABAMA,7,2,1,103,0,0,0,0,4
Blythe Hall,57690,LB,APP STATE,1,0,0,108,0,0,0,0,0
Tim Frizzell,57692,ED,APP STATE,5,1,0,108,0,0,0,1,2
Tony Fields II,57698,LB,ARIZONA,12,24,0,109,2,1,0,4,62
Anthony Pandy,57699,LB,ARIZONA,9,1,0,109,0,0,0,1,1
Colin Schooler,57700,LB,ARIZONA,12,15,1,109,2,2,0,4,73
JB Brown,57701,ED,ARIZONA,3,1,0,109,0,0,0,0,2
Hayden Henry,57707,LB,ARKANSAS,1,0,0,111,0,0,0,0,0
Kyrei Fisher-Morris,57709,LB,ARKANSAS,1,0,0,111,0,0,0,0,0
Gabe Richardson,57710,ED,ARKANSAS,2,0,0,111,0,0,0,0,0
Caleb Bonner,57713,LB,ARK STATE,9,5,0,113,1,0,0,0,7
Joe Stephenson,57715,LB,ARMY,1,0,0,114,0,0,0,0,0
Gavin Bassett,57717,LB,ARMY,1,0,0,114,0,0,0,0,0
Aaron Jones,57723,LB,ARMY,1,0,0,114,0,0,0,0,0
Big Kat Bryant,57725,ED,AUBURN,8,1,1,115,0,0,0,2,2
Chandler Wooten,57726,LB,AUBURN,5,2,0,115,0,0,0,0,7
K.J. Britt,57727,ED,AUBURN,7,2,0,115,0,0,0,0,1
T.D. Moultry,57728,ED,AUBURN,10,3,0,115,4,0,0,2,6
Michael Robinson Jr.,57729,LB,BALL ST,4,1,1,117,0,0,0,0,2
