player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
JR Pace,10116,S,NWESTERN,12,12,0,256,0,3,5,0,58
D.K. Buford,12500,HB,OLE MISS,1,0,0,226,0,0,0,0,0
Enoch Smith Jr.,12534,DI,OKLA STATE,12,6,0,262,1,0,0,0,18
Jeffrey Allison,12542,LB,FRESNO ST,12,18,0,169,5,2,1,2,83
Rashaan Falemalu,12678,LB,HAWAII,1,0,0,180,0,0,0,0,1
Robert Bullard,12729,CB,AIR FORCE,4,0,0,101,0,0,1,0,1
Malik Rivera,12743,S,GA TECH,12,11,0,176,0,2,3,0,50
Kamal Martin,12744,LB,MINNESOTA,12,15,0,225,2,0,1,0,42
Ken Webster,12955,CB,OLE MISS,10,5,0,226,1,2,4,0,32
Reggie Robinson II,13094,CB,TULSA,8,3,0,320,0,0,4,0,16
Jaylan Foster,13095,CB,S CAROLINA,2,0,0,289,0,0,0,0,1
Ed Rolle,13172,CB,CHARLOTTE,12,5,1,136,1,0,4,1,36
Deonta Moore,13310,HB,S ALABAMA,1,0,0,288,0,0,0,0,0
Jabril Robinson,13396,ED,W VIRGINIA,11,3,0,343,1,0,0,0,18
Penny Hart,13534,WR,GA STATE,1,0,0,175,0,0,0,0,0
Ricky Brookins,13582,HB,INDIANA,1,0,0,190,0,0,0,0,0
Corey Bell Jr.,13596,CB,N CAROLINA,6,1,0,245,0,1,3,0,3
Jeremy McDuffie,13599,CB,DUKE,8,3,0,154,0,0,2,0,12
DeShawn Capers-Smith,13604,CB,TEXAS A&M,10,9,0,312,1,1,2,0,30
Abraham Maiava,13614,DI,ARIZONA,11,3,0,109,1,0,0,0,10
Daylon Charlot,13641,WR,KANSAS,1,0,0,198,0,0,0,0,0
Colin Samuel,13643,CB,UCLA,3,0,0,324,0,0,0,0,2
Tanner Karafa,13787,DI,BOSTON COL,12,10,0,121,3,0,0,4,32
Aaron Roberson,13789,CB,LA TECH,5,0,0,208,0,0,1,0,2
Hunter Andrews,13808,DI,E MICHIGAN,12,6,0,160,0,0,0,1,14
Terez Dickerson,13811,LB,DOMINION,11,6,0,263,0,0,2,0,23
Tyrin Ferguson,13817,LB,NEBRASKA,8,9,0,238,0,0,0,1,26
Trevon Hill,13821,ED,VA TECH,3,2,0,337,5,0,0,3,5
Adonis Thomas,13851,LB,FLORIDA ST,10,4,0,167,1,0,0,0,15
Taylor Heflin,13878,LB,NAVY,13,20,0,237,0,0,0,2,75
Chase Johnston,13896,ED,KANSAS ST,6,0,0,199,1,0,0,2,3
Joshua McMillon,13920,LB,ALABAMA,9,2,0,103,0,0,0,0,12
Carlos Robinson,13955,DI,LA LAFAYET,1,0,0,207,0,0,0,0,1
Kenny Knight Jr.,13956,LB,BALL ST,1,0,0,117,0,0,0,0,0
Malik Thompson,13957,DI,MARSHALL,11,6,1,214,2,1,0,3,20
Darius Fullwood,13962,DI,VA TECH,2,0,0,337,1,0,0,0,0
Vincent Hughes,13983,DI,N ILLINOIS,1,0,0,254,0,0,0,0,0
Emmanuel Cooper,14094,DI,MEMPHIS,9,4,0,218,1,0,0,0,10
Chris Richardson,14095,DI,UTEP,12,11,0,330,1,0,0,0,19
Jason Scrempos,14182,DI,WASHINGTON,3,1,0,340,0,0,0,0,0
Robert Hayes Jr.,14327,CB,SMU,10,1,1,287,0,0,0,0,21
Anthony J. Taylor,14471,CB,TEXAS ST,12,3,0,314,0,1,6,0,33
Jonathan Ledbetter,18645,ED,GEORGIA,12,11,3,173,1,0,0,1,28
Robert Crawford,20426,ED,W KENTUCKY,9,0,0,346,2,0,0,0,3
Marquis Couch,21749,ED,MARSHALL,12,11,1,214,2,0,0,1,21
Dajon Emory,22164,ED,ARK STATE,12,10,2,113,2,0,0,5,11
Anthony Cruz,22522,S,TEMPLE,2,0,0,306,0,0,0,0,0
Dru Prox,23093,LB,KANSAS,5,1,0,198,0,0,0,0,4
Sam Craft,23125,WR,MEMPHIS,1,0,0,218,0,0,0,0,0
Kwamie Lassiter II,23226,WR,KANSAS,1,0,0,198,0,0,0,0,0
Tim Washington,23468,LB,MISS STATE,10,3,0,227,0,0,0,0,2
Dalton Baker,23619,ED,UTAH ST,12,6,0,329,5,0,0,0,16
Jonathan Carson,23620,DI,C MICHIGAN,6,0,0,134,1,0,0,0,6
Kingsley Onyirioha,23639,DI,TEXAS ST,4,0,0,314,0,0,0,1,4
Cameron Hayes,23739,CB,HAWAII,7,1,0,180,0,0,0,0,4
James Bowe Jr.,23787,ED,UMASS,6,0,0,216,2,0,0,0,8
Darion DeBrossard,23809,DI,VANDERBILT,6,1,0,333,0,0,0,0,1
Dae'Von Washington,23867,LB,LA TECH,12,15,2,208,3,0,0,0,48
Evahelotu Tohi,24006,LB,NEW MEXICO,8,15,2,241,1,2,2,1,40
Oluwaseun Idowu,24047,LB,PITTSBURGH,12,11,1,268,0,0,2,2,59
Devin Reece,24244,WR,BALL ST,1,0,0,117,0,0,0,0,0
Dontavious Jackson,24251,LB,FLORIDA ST,12,20,0,167,1,1,0,2,61
Zeek Rodney,24599,DI,WAKE,12,9,1,339,6,0,0,1,20
Dominic Nelson,25307,S,MISSOURI,1,0,0,229,0,0,0,0,0
Shawn Featherstone,25441,S,AKRON,2,0,0,102,0,0,0,0,1
Alvin Davis Jr.,25442,S,AKRON,11,12,2,102,0,4,2,0,62
Deionte Thompson,25444,S,ALABAMA,12,19,2,103,0,2,5,1,44
Anfernee Jennings,25449,ED,ALABAMA,12,9,0,103,6,1,0,6,22
Shyheim Carter,25451,CB,ALABAMA,11,4,1,103,1,2,7,0,32
Malik Lawal,25510,ED,ARIZONA ST,9,1,1,110,0,0,0,3,12
Sean Adesanya,25543,ED,C MICHIGAN,12,6,1,134,3,0,0,4,21
Jared Atkinson,25636,WR,BAYLOR,1,0,0,118,0,0,0,0,0
Tyrone Hunt,25641,DI,BAYLOR,7,0,0,118,0,0,0,0,2
Jameson Houston,25642,CB,BAYLOR,10,0,0,118,0,0,2,0,8
Bravvion Roy,25644,DI,BAYLOR,12,5,0,118,3,0,0,0,29
Clay Johnston,25685,LB,BAYLOR,11,22,0,118,2,0,0,1,72
Chris Miller,25686,S,BAYLOR,11,10,0,118,1,0,0,1,50
Henry Black,25687,LB,BAYLOR,11,6,0,118,1,0,1,2,15
Cam Jefferies,25700,CB,CINCINNATI,12,1,0,138,0,1,9,0,28
Luc Bequette,25776,DI,CAL,12,4,2,130,2,0,0,5,30
Chibuzo Nwokocha,25777,CB,CAL,2,0,0,130,0,0,0,0,2
Zeandae Johnson,25779,DI,CAL,12,9,0,130,2,0,0,1,11
Malik Psalms,25780,LB,CAL,9,0,0,130,0,0,0,1,9
D'Andre Dill,25890,DI,C MICHIGAN,8,5,0,134,0,0,0,1,16
Sean Murphy-Bunting,25891,CB,C MICHIGAN,12,4,3,134,0,2,5,0,35
Michael Oliver,25893,LB,C MICHIGAN,11,6,0,134,0,0,0,1,28
Chris Murphy,25948,S,CINCINNATI,3,0,0,138,0,0,0,0,2
Clelin Ferrell,25955,ED,CLEMSON,12,10,1,140,10,0,0,11,19
Chris Register,25956,ED,CLEMSON,7,2,0,140,0,0,0,0,6
Dexter Lawrence,25991,DI,CLEMSON,12,1,0,140,10,0,0,1,24
Drew Lewis,26073,LB,COLORADO,12,11,1,143,4,1,3,2,51
Richard King,26078,ED,COLO STATE,2,1,0,144,0,0,0,0,2
Twazanga Mugala,26137,ED,DUKE,2,0,0,154,0,0,0,0,1
Tre Hornbuckle,26138,ED,DUKE,12,12,0,154,3,0,0,2,16
Trevon McSwain,26142,DI,DUKE,12,8,1,154,4,0,0,2,29
Jordan Hayes,26143,S,DUKE,5,4,0,154,1,0,1,0,16
Mark Gilbert,26144,CB,DUKE,2,0,0,154,0,0,0,0,4
Koby Quansah,26145,LB,DUKE,9,10,0,154,1,0,1,0,20
Kevin Gehsmann,26146,LB,DUKE,2,0,0,154,0,0,0,0,2
Dylan Singleton,26147,S,DUKE,10,15,1,154,0,0,1,0,49
Brandon Feamster,26148,CB,DUKE,9,3,0,154,0,0,4,0,27
Shaun James,26196,DI,E CAROLINA,12,5,0,156,0,0,0,1,6
Colby Gore,26197,CB,E CAROLINA,11,3,1,156,0,1,5,0,29
Tony Baird,26198,ED,E CAROLINA,1,0,0,156,0,0,0,0,0
Kendall Futrell,26199,ED,E CAROLINA,12,9,0,156,7,0,0,3,15
Michael Swift,26200,ED,E CAROLINA,4,1,0,156,0,0,0,0,3
Devon Sutton,26202,S,E CAROLINA,12,19,0,156,2,0,4,0,51
Gary Moore,26249,DI,MINNESOTA,12,5,0,225,1,0,0,1,16
Maxx Crosby,26316,ED,E MICHIGAN,11,11,5,160,9,1,0,8,41
Justin Moody,26333,S,E MICHIGAN,11,7,1,160,0,0,3,0,27
Kevin McGill,26334,CB,E MICHIGAN,12,9,1,160,0,3,3,0,28
Tifonte Hunt,26337,CB,N ILLINOIS,10,3,0,254,0,0,0,0,25
Jalen Phelps,26343,S,E MICHIGAN,12,5,0,160,0,0,2,0,19
Clay Holford,26345,ED,E MICHIGAN,11,6,0,160,1,0,0,0,10
Brody Hoying,26348,S,E MICHIGAN,10,15,0,160,0,0,3,1,53
Kevin McCrary,26396,DI,FAU,12,7,0,165,1,0,0,0,17
La'Mical Perine,26408,HB,FLORIDA,1,0,0,163,0,0,0,0,0
Joe Provenzano,26445,LB,BOISE ST,1,0,0,120,0,0,0,0,0
Freddie Swain,26448,WR,FLORIDA,1,0,0,163,0,0,0,0,0
Jabari Zuniga,26449,ED,FLORIDA,12,10,0,163,7,0,0,6,24
Luke Ancrum,26450,ED,FLORIDA,10,4,0,163,0,1,0,0,4
Kylan Johnson,26452,LB,FLORIDA,9,3,0,163,2,0,1,0,15
Jeremiah Moon,26453,ED,FLORIDA,11,9,0,163,3,0,0,1,13
David Reese II,26454,LB,FLORIDA,10,25,0,163,2,0,1,0,39
Jeawon Taylor,26455,S,FLORIDA,12,10,0,163,0,0,2,0,37
Marcus Lewis,26457,CB,MARYLAND,6,3,0,215,0,0,1,0,11
A.J. Westbrook,26458,S,FLORIDA ST,12,15,0,167,0,2,3,1,52
Zack Mesday,26506,ED,TEMPLE,12,3,1,306,1,0,0,3,27
Jyquis Thomas,26525,S,TEMPLE,12,6,0,306,1,0,2,1,31
Paul Semons,26552,DI,BOISE ST,1,0,0,120,0,0,0,0,0
Ben Banogu,26554,ED,TCU,12,2,2,305,8,0,0,7,40
Alex Weber,26569,WR,OLE MISS,1,0,0,226,0,0,0,0,0
David Curry,26573,LB,GA TECH,12,10,1,176,3,1,0,1,30
Rojesterman Farris II,26587,CB,HAWAII,13,4,0,180,1,1,6,0,39
Casey Hughes,26588,CB,MICHIGAN,1,0,0,222,0,0,0,0,1
Garrald McDowell,26594,DI,LA LAFAYET,10,5,0,207,4,0,0,0,35
C.J. Moore,26617,S,OLE MISS,5,0,0,226,0,1,1,0,18
Skyler Seibold,26628,HB,BOISE ST,1,0,0,120,0,0,0,0,0
Solomon Matautia,26631,LB,HAWAII,12,16,3,180,2,0,4,1,62
Javian Smith,26638,CB,HOUSTON,3,0,0,182,0,0,0,0,4
Dereck Boles,26670,DI,ARIZONA,12,9,1,109,5,0,0,2,24
Patrick Nelson,26699,S,SMU,9,11,2,287,4,2,1,2,50
Cam Watkins,26701,CB,ILLINOIS,10,3,0,187,0,0,1,0,35
Thomas Lash,26718,LB,UTEP,2,0,0,330,0,0,0,0,1
Jack Hockaday,26802,LB,IOWA,10,9,0,192,0,0,1,0,46
Taylor Comfort,26812,DI,WASH STATE,12,6,2,341,1,0,0,2,9
Jimmy Hogan,26869,ED,TEMPLE,12,6,1,306,0,0,0,2,7
Dasmond Tautalatasi,26877,S,ARIZONA ST,4,2,0,110,0,1,1,0,9
Reggie Walker,26885,ED,KANSAS ST,12,5,4,199,5,0,0,8,26
Larry Stephens,26890,WR,UTSA,1,0,0,331,0,0,0,0,0
Trey Dishon,26938,DI,KANSAS ST,12,2,0,199,4,0,0,2,20
