player,player_id,position,team_name,player_game_count,franchise_id
Scarlee Jean,160961,G,FAU,12,165
Vincent Fiacable,144836,C,FAU,12,165
Ryan Lengyel,144516,G,BAYLOR,12,118
Kaden Sieracki,158571,T,BAYLOR,12,118
Brycen Sanders,172527,C,OLE MISS,13,226
Jayden Williams,146815,T,OLE MISS,13,226
Patrick Kutas,163635,G,OLE MISS,13,226
Diego Pounds,143976,T,OLE MISS,13,226
Fintan Brose,142242,G,DELAWARE,12,151
Riley McGehee,188347,T,ARK STATE,12,113
Anthony Caccese,173606,G,DELAWARE,12,151
Emmanuel Poku,162652,G,E CAROLINA,12,156
Darius Bell,148375,C,E CAROLINA,12,156
Simon Wilson,170493,C,TULSA,12,320
Wil Saxton,156838,G,ARK STATE,12,113
Jack Hollifield,144079,C,TULANE,13,319
Tyhler Williams,156886,G,GA STATE,12,175
Will Flowers,138993,C,APP STATE,12,108
Amare Grayson,189783,G,JVILLE ST,12,196
Ja'Kavion Nonar,162800,T,FAU,11,165
Cayden Sweatt,175006,G,APP STATE,12,108
Malik Williams,128441,T,NEW MEX ST,12,242
Kadyn Proctor,172392,T,ALABAMA,13,103
Adam Lepkowski,145455,C,UAB,12,321
Kage Casey,157197,T,BOISE ST,12,120
Sully Burns,158410,T,TEXAS ST,12,314
Alvin Ebosele,158554,T,HOUSTON,12,182
Canon Boone,146846,C,MISS STATE,12,227
Brock Riker,190110,C,TEXAS ST,12,314
JonDarius Morgan,146917,G,UAB,12,321
Daylon Metoyer,190992,T,BOISE ST,12,120
Broderick Roman,100253,C,SO MISS,12,296
Zhen Sotelo,146067,G,HAWAII,12,180
Max Iheanachor,171881,T,ARIZONA ST,12,110
Nick Krahe,173185,T,W VIRGINIA,12,343
Shadre Hurst,158418,G,TULANE,13,319
Nikola Milovac,169998,T,KENNESAW,12,200
Zach Greenberg,190848,C,JAMES MAD,13,197
James Milovale,175703,T,HAWAII,12,180
Emeka Obigbo,168593,G,TEXAS ST,12,314
BJ Tolo,175687,G,NEW MEX ST,12,242
Eric Meeks,53398,C,MARSHALL,12,214
Shunmarkus Adams,150889,G,MARSHALL,12,214
Anwar O'neal,178137,T,DELAWARE,11,151
Kwabena Asamoah,156503,G,RUTGERS,12,278
Dorion Strawn,150063,T,TEXAS ST,12,314
Bryan Felter,129877,G,RUTGERS,12,278
Jim Bonifas,144544,C,IOWA STATE,12,193
Febechi Nwaiwu,145324,G,OKLAHOMA,13,261
Parker Mitchell,159177,G,MEMPHIS,12,218
