player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Dru Prox,23093,LB,UTSA,3,1,0,331,0,0,0,0,8
John Porchivina,28202,LB,OLE MISS,1,0,0,226,0,0,0,0,0
Colby Reeder,30285,LB,IOWA STATE,8,8,0,193,5,2,1,2,25
Kyle Pugh,35900,LB,N ILLINOIS,12,20,0,254,1,0,2,0,36
Jordan Carmouche,39951,LB,ARK STATE,12,28,0,113,2,0,0,1,50
Monte McGary,42477,CB,KANSAS,7,1,0,198,1,0,0,0,1
Bricen Garner,42520,S,W MICHIGAN,12,21,0,347,1,2,3,0,66
Brandon Moore,42620,CB,NEBRASKA,7,1,0,238,0,1,0,0,4
Brandon Bouyer-Randle,42637,LB,UCONN,12,24,0,146,3,2,0,1,63
Clifford Chattman,42657,S,UTSA,12,12,0,331,1,3,7,0,49
Anthony Watts,42807,DI,MARSHALL,12,8,0,214,0,0,0,1,17
Justin Clark,43185,CB,WISCONSIN,9,1,0,349,0,0,0,0,9
Ryan McWood,43189,LB,MIAMI OH,11,29,1,221,2,1,4,1,78
Jaydon Grant,43354,S,OREGON ST,11,8,1,265,1,3,3,1,52
Jon-Michael Terry,43635,LB,TULSA,12,24,0,320,2,0,0,2,54
Tyrone Hopper,43714,ED,MISSOURI,10,2,0,229,0,0,0,0,2
Sione Tupou,44093,LB,TEXAS ST,12,23,1,314,1,2,3,2,56
Semisi Fakasiieiki,44340,LB,PURDUE,10,7,0,273,0,0,0,0,23
Antwaine Richardson,49364,S,KENT STATE,7,9,0,201,0,0,1,0,31
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,5,0,174,0,0,0,0,11
Penei Pavihi,52079,LB,HAWAII,13,21,0,180,1,1,1,1,54
Jared Reed,52173,CB,BOISE ST,1,0,0,120,0,0,0,0,0
George Nyakwol,52203,S,RICE,9,5,2,275,3,1,1,0,34
Kenneth Orji,52209,ED,RICE,9,8,0,275,0,0,0,0,4
Trey Schuman,52216,ED,RICE,12,4,0,275,5,0,0,5,15
Alii Matau,52219,LB,S JOSE ST,11,16,0,285,1,1,0,6,33
Rico Tolefree,52250,LB,S JOSE ST,9,3,0,285,0,0,1,0,7
Sinjun Astani,52257,ED,USC,2,0,0,326,0,0,0,0,0
Tre White,52261,S,S JOSE ST,8,1,0,285,0,0,1,0,3
Gabe Reid,52273,ED,UTAH,11,8,0,328,2,0,0,4,20
Ryan Johnson,52282,ED,NWESTERN,6,2,0,256,2,0,0,1,3
Bentlee Sanders,52291,S,NEVADA,12,5,3,239,0,5,3,0,79
Darrien Grant,52293,DI,USF,12,3,0,327,1,0,0,0,14
Fred Lloyd Jr.,52300,WR,LA MONROE,1,0,0,209,0,0,0,0,0
Mekhi LaPointe,52315,S,USF,10,14,1,327,1,1,1,1,43
Nick Roberts,52318,S,SMU,12,16,2,287,0,3,1,0,54
Bryce Dugan,52425,DI,OHIO,9,5,1,259,1,1,0,2,12
Malik Vann,52555,ED,CINCINNATI,2,0,0,138,0,0,0,0,2
Tyler Bentley,52790,DI,PITTSBURGH,11,3,0,268,0,0,0,2,6
Xavier Peters,52819,ED,FAU,11,3,0,165,3,0,0,0,9
Cole Pearce,52970,LB,BALL ST,11,31,0,117,5,1,1,5,70
James Camden,53418,S,CINCINNATI,1,0,0,138,0,0,0,0,0
DeShawn Pace,53549,LB,CINCINNATI,12,16,0,138,2,1,1,1,40
Ja'von Hicks,53569,S,CINCINNATI,12,15,0,138,0,2,3,0,42
Eric Phillips,53572,ED,CINCINNATI,12,10,1,138,6,0,0,5,25
Ivan Pace Jr.,53587,LB,CINCINNATI,12,30,2,138,18,0,3,11,83
Ryan Mullaney,53704,ED,CINCINNATI,8,4,0,138,0,0,0,0,7
Carrington Valentine,53750,CB,KENTUCKY,12,6,0,202,0,1,6,1,45
Jaheim Thomas,54193,LB,CINCINNATI,12,19,1,138,4,0,0,2,39
Isaiah Norman,54967,S,MARSHALL,7,2,0,214,0,0,0,0,21
Aapri Washington,55013,CB,E CAROLINA,10,5,0,156,0,0,0,0,17
Tim Terry,55020,LB,AKRON,10,10,0,102,2,0,1,0,38
Isaiah King,55037,CB,BUFFALO,9,5,1,126,0,0,3,0,25
Chibueze Onwuka,55044,DI,BOSTON COL,12,8,0,121,2,0,0,1,29
Devonni Reed,55046,S,S CAROLINA,11,11,0,289,0,0,1,0,34
Troy Brown,55050,LB,OLE MISS,12,20,2,226,2,0,2,0,73
Angelo Howze,55073,ED,AKRON,3,1,0,102,0,0,0,0,0
Jabari Taylor,55075,ED,CINCINNATI,11,11,1,138,2,0,0,3,15
Wilson Huber,55090,LB,CINCINNATI,12,10,0,138,2,0,0,1,38
Jordan Swann,55103,CB,JAMES MAD,11,5,1,197,0,2,1,2,20
Ian Swenson,55104,LB,UCONN,12,24,0,146,4,1,0,1,55
Caleb Thomas,55105,DI,LA MONROE,12,5,0,209,3,0,0,2,23
Dorian Hall,55168,S,FIU,11,5,0,166,0,2,2,0,21
Chris Bacon,55196,S,BOWL GREEN,12,10,1,122,1,1,1,0,68
Jaylon Jones,55197,CB,GA STATE,12,6,0,175,0,0,5,0,12
Jordan Strachan,55198,ED,S CAROLINA,2,2,0,289,0,0,0,1,5
Zachary Ford,55353,S,TOLEDO,12,11,0,316,1,1,3,2,41
Nate Givhan,55355,ED,TOLEDO,9,3,0,316,1,0,0,3,8
Austin Camden,55408,DI,UCF,2,0,0,323,1,0,0,0,2
Anthony Montalvo,55417,DI,UCF,12,9,0,323,2,0,0,1,27
Coby Davis,55425,CB,WAKE,2,0,0,339,0,1,0,0,2
Troy Simon,55427,S,TOLEDO,5,1,0,316,0,0,1,0,4
Mike Allen,55430,ED,W KENTUCKY,13,2,0,346,2,0,0,2,8
Tyler Williams,55432,DI,WAKE,12,5,0,339,3,0,1,2,14
DJ Taylor,55438,LB,BOWL GREEN,12,12,1,122,1,2,2,2,55
Chase Monroe,55439,LB,CHARLOTTE,12,16,1,136,1,0,0,0,35
Malik Denkins,55516,ED,C MICHIGAN,2,0,0,134,0,0,0,0,0
Malik Hausman,55567,CB,HAWAII,13,4,0,180,1,3,4,0,41
Tony Wallace,55568,CB,UTSA,1,0,0,331,0,0,0,0,1
Azizi Hearn,55569,CB,UCLA,12,9,0,324,0,0,6,0,31
Timarcus Davis,55574,CB,ARIZONA ST,7,6,0,110,0,2,1,0,20
Wylan Free,55596,S,GA SOUTHRN,12,16,1,174,1,0,4,0,64
Wesley McCormick,55609,CB,W VIRGINIA,10,1,1,343,0,0,2,0,15
Cedrick Dort Jr.,55614,CB,WISCONSIN,11,2,0,349,0,0,4,0,10
Anthony Johnson,55628,CB,VIRGINIA,10,12,0,335,1,2,9,0,46
Zack Sanders,55638,CB,OHIO,10,14,0,259,1,3,6,1,39
Tre Shaw,55648,CB,W KENTUCKY,8,2,1,346,0,1,3,0,10
Tariq Drake,55668,S,OHIO,10,11,0,259,0,3,4,0,36
Justin Broiles,55678,S,OKLAHOMA,12,13,0,261,0,1,0,0,47
Kordell Rodgers,55713,CB,TEXAS ST,9,4,0,314,0,4,1,0,23
Orlando Lacey,55720,LB,TROY,1,0,0,318,0,0,0,0,0
Grayson Cash,55727,S,UAB,12,14,0,321,0,3,3,1,38
Andre Grayson,55735,CB,UTAH ST,12,4,0,329,0,0,3,0,22
Zahodri Jackson,55736,CB,N TEXAS,6,2,0,251,0,0,0,0,8
Keyon Blankenbaker,55749,CB,TEXAS TECH,10,0,0,315,0,0,0,0,1
C.J. Coldon Jr.,55750,CB,OKLAHOMA,10,8,0,261,0,4,2,0,27
Jordyn Riley,55767,S,LA MONROE,9,2,0,209,0,0,0,0,8
Steven Jones Jr.,55785,CB,APP STATE,12,3,0,108,1,0,13,1,40
Jarques McClellion,55795,S,FLORIDA ST,8,3,0,167,0,0,0,0,6
Korey Hernandez,55796,CB,E MICHIGAN,8,3,0,160,0,0,2,0,9
Jahmin Muse,55830,S,BUFFALO,12,8,3,126,1,1,1,2,46
Isaiah Lewis,55854,S,COLORADO,4,2,0,143,0,1,1,0,17
Davondre Robinson,55861,S,CHARLOTTE,6,6,0,136,0,0,1,0,18
Blake Bogan,55868,S,E MICHIGAN,4,5,0,160,0,1,0,0,6
Cyrus Fagan,55895,S,NC STATE,12,8,0,248,0,2,4,0,43
William Poole,55911,CB,GEORGIA,1,0,0,173,0,0,0,0,0
Latavious Brini,55915,S,ARKANSAS,12,10,1,111,1,1,0,0,52
Ameer Speed,55918,CB,MICH STATE,12,11,0,223,0,0,6,0,51
Devodric Bynum,55931,CB,UAB,12,3,1,321,0,0,8,1,29
Bennett Williams,55954,CB,OREGON,12,10,2,264,0,2,5,1,55
Bryant Fitzgerald,55961,S,INDIANA,11,12,1,190,0,1,1,2,68
Trey Creamer,55962,CB,CHARLOTTE,2,1,0,136,0,0,0,0,4
Camron Harrell,55965,CB,SO MISS,12,5,1,296,1,2,1,0,18
Datrone Young,55969,CB,DUKE,11,6,0,154,0,1,4,0,33
Gervarrius Owens,55987,S,HOUSTON,11,11,2,182,0,1,6,0,60
Tyrell Ajian,55995,S,KENTUCKY,11,6,1,202,0,0,4,1,22
Bralen Trahan,56012,S,LA LAFAYET,12,19,1,207,0,4,2,0,52
Kenny Bennett,56032,S,GA TECH,2,0,0,176,1,0,1,0,0
Xavier Cullens,56044,LB,MEMPHIS,12,34,1,218,1,3,2,2,79
Derrick Smith,56050,LB,W KENTUCKY,13,19,1,346,0,1,0,3,73
Jaylen Kelly-Powell,56057,S,AKRON,6,4,0,102,1,0,0,1,12
Hunter Reynolds,56060,S,UTAH ST,12,17,0,329,2,3,6,0,69
Cameron Ruiz,56131,CB,TEMPLE,12,1,0,306,1,0,1,0,10
Rani Abdulaziz,56149,CB,RUTGERS,1,0,0,278,0,0,0,0,0
Parker Day,56151,HB,RUTGERS,1,0,0,278,0,0,0,0,0
Tavyn Jackson,56164,S,COAST CAR,11,3,0,141,0,2,2,0,19
