player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Jaylan Foster,13095,S,S CAROLINA,12,16,2,289,1,5,2,2,74
Mark Williams,21922,CB,LA MONROE,7,2,1,209,0,1,2,0,23
Devin Taylor,22317,CB,BOWL GREEN,12,7,1,122,1,2,9,0,34
Cortez Davis,22974,CB,HAWAII,13,9,2,180,1,1,15,1,40
Dru Prox,23093,LB,UTSA,9,2,1,331,2,0,1,1,14
Reggie Stubblefield,23441,S,KANSAS ST,11,5,0,199,0,0,1,1,35
Mikel Horton,23509,DI,CHARLOTTE,7,5,0,136,3,0,0,1,18
Colby Burton,23898,CB,HAWAII,6,0,0,180,0,0,0,0,8
Darion Dunn,23963,CB,TEXAS,11,4,1,311,0,0,2,0,18
Darren Evans,24171,CB,LSU,11,1,0,211,0,0,2,0,16
Alvinoski LaFleur,24504,S,E MICHIGAN,10,5,0,160,0,0,0,2,38
Luc Bequette,25776,DI,CAL,11,10,0,130,3,0,0,3,26
Jeremiah Moon,26453,LB,FLORIDA,10,7,1,163,1,0,0,2,38
Demario McCall,28012,CB,OHIO STATE,5,3,0,260,0,0,1,0,4
Brenden Schooler,28253,S,TEXAS,11,7,1,311,0,0,1,1,36
Richard Moore,28853,LB,SMU,11,9,0,287,12,0,0,1,21
Jack Jones,29050,CB,ARIZONA ST,11,4,3,110,0,3,5,1,42
Adeeb Atariwa,30482,ED,VIRGINIA,2,2,0,335,0,0,0,0,2
Marshaun Cameron,30624,CB,COLO STATE,12,9,0,144,0,1,3,0,34
Brian Cavicante,33444,LB,MARSHALL,8,11,0,214,0,0,0,1,9
Brock Nichols,33753,S,USF,8,1,0,327,0,1,0,0,6
Meiko Dotson,33902,CB,FLORIDA ST,6,0,1,167,0,0,0,0,11
Denzel Feaster,34561,LB,UTSA,12,8,1,331,0,0,0,0,20
Ferrod Gardner,34595,LB,LA LAFAYET,10,13,0,207,2,1,4,3,46
John Petrishen,35069,LB,PITTSBURGH,12,18,0,268,1,3,0,5,32
Cristian Williams,36151,S,TULSA,8,11,0,320,0,0,2,0,23
Scott Patchan,36449,ED,COLO STATE,12,10,4,144,6,0,0,11,37
Elijah Taylor,36723,ED,TULSA,11,3,1,320,0,0,0,2,18
Thad Mangum,36819,DI,USF,12,7,0,327,2,0,0,0,22
Micah Dew-Treadway,37050,DI,MINNESOTA,12,8,0,225,0,0,0,0,7
