player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Joey Bosa,10637,ED,OHIO STATE,11,2,0,260,21,1,1,7,36
Jalen Ramsey,10639,CB,FLORIDA ST,12,6,0,167,2,0,4,1,42
DeForest Buckner,10641,DI,OREGON,12,10,0,264,15,0,0,11,51
Leonard Floyd,10643,ED,GEORGIA,12,12,0,173,7,0,1,4,52
Eli Apple,10644,CB,OHIO STATE,12,6,0,260,1,1,5,0,23
Vernon Hargreaves III,10645,CB,FLORIDA,11,2,1,163,0,4,2,0,18
Sheldon Rankins,10646,DI,LOUISVILLE,12,3,0,210,8,0,0,6,39
Karl Joseph,10648,S,W VIRGINIA,4,4,0,343,0,5,1,1,14
Keanu Neal,10651,S,FLORIDA,10,12,2,163,1,1,1,1,45
Shaq Lawson,10653,ED,CLEMSON,12,7,0,140,10,0,0,9,26
Darron Lee,10654,LB,OHIO STATE,12,14,1,260,4,1,2,2,39
William Jackson III,10658,CB,HOUSTON,10,3,0,182,0,3,10,0,28
Artie Burns,10659,CB,MIAMI FL,11,3,0,220,0,6,3,0,36
Kenny Clark,10661,DI,UCLA,12,9,0,324,3,0,0,6,43
Robert Nkemdiche,10663,DI,OLE MISS,11,3,0,226,6,0,0,4,20
Vernon Butler,10664,DI,LA TECH,12,11,0,208,9,0,0,2,34
Emmanuel Ogbah,10666,ED,OKLA STATE,12,10,2,262,14,0,0,12,31
Kevin Dodd,10667,ED,CLEMSON,12,10,0,140,6,0,0,7,28
Jaylon Smith,10668,LB,NOTRE DAME,12,20,2,258,7,0,4,0,90
Myles Jack,10670,LB,UCLA,3,3,0,324,0,1,1,0,10
Chris Jones,10671,DI,MISS STATE,12,5,0,227,12,0,0,3,21
Xavien Howard,10672,CB,BAYLOR,12,3,0,118,1,5,7,0,37
Reggie Ragland,10675,LB,ALABAMA,12,11,2,103,4,0,3,3,63
Kamalei Correa,10676,ED,BOISE ST,12,5,2,120,11,0,1,6,17
Austin Johnson,10677,DI,PENN STATE,12,16,1,266,2,0,0,6,38
Jihad Ward,10678,ED,ILLINOIS,12,8,0,187,6,0,0,3,42
A'Shawn Robinson,10680,DI,ALABAMA,12,5,0,103,2,0,0,2,26
Jarran Reed,10683,DI,ALABAMA,12,8,0,103,1,0,0,2,30
Deion Jones,10686,LB,LSU,11,19,0,211,9,2,2,3,61
Su'a Cravens,10687,S,USC,12,11,1,326,1,2,2,6,50
Mackensie Alexander,10688,CB,CLEMSON,11,2,0,140,1,0,5,0,16
T.J. Green,10691,S,CLEMSON,12,9,2,140,1,0,0,1,54
