player,player_id,position,team_name,player_game_count,franchise_id
Nick Padla,27333,G,MICH STATE,1,223
Cole McKnight,32054,WR,OKLA STATE,2,262
Max Martin,41031,G,LOUISVILLE,3,210
Kai-Leon Herbert,59843,T,MIAMI FL,1,220
Avery Johnson,47032,TE,ARK STATE,1,113
Jonathan Rice,35100,WR,ALABAMA,1,103
De'Vion Warren,61141,WR,ARKANSAS,5,111
Braxton Webb,41591,G,SMU,1,287
Justen Hervey,45669,HB,UTAH ST,7,329
Trevor White,25661,WR,BAYLOR,7,118
T.J. Wisham,57147,TE,ARMY,2,114
Nico Collins,61441,WR,MICHIGAN,3,222
Montae Barto,44072,FB,TROY,3,318
Alexx Zielinski,47414,TE,MIAMI OH,4,221
Beau Hott,36909,C,NEW MEXICO,2,241
Travis Levy,57164,HB,BOSTON COL,12,121
Adarius Lemons,57197,HB,FLORIDA,4,163
Alex Locklear,37223,T,MARSHALL,3,214
Landen Akers,42212,WR,IOWA STATE,3,193
Travis Vokolek,61004,TE,RUTGERS,7,278
Keenan Sweeney,83808,,AUBURN,5,115
Kameron Pickett,44881,HB,BUFFALO,2,126
Logan Carter,42205,TE,OKLA STATE,2,262
Brett Armour,41884,G,MISS STATE,3,227
Bryan LaCivita,38066,WR,FLORIDA ST,3,167
Jack Banda,48936,TE,ARIZONA,2,109
Brian Herrien,41129,HB,GEORGIA,12,173
Cece Jefferson,48729,ED,FLORIDA,6,163
Korey Rush,48628,DI,NEVADA,6,239
Chett Munden,51620,T,N TEXAS,2,251
Steve Petrick,40927,TE,TEMPLE,2,306
Evan Hinson,40751,TE,S CAROLINA,2,289
Brodrick Umblance,44985,WR,TULSA,7,320
Charles Gamble III,42406,WR,KENT STATE,4,201
Austin Maihen,14063,G,STANFORD,1,300
Terrell Chatman,33827,WR,ARIZONA ST,4,110
Naseir Upshur,40992,TE,FLORIDA ST,1,167
Braxton Neal,33630,WR,CINCINNATI,3,138
Ross Trail,13684,QB,CINCINNATI,1,138
Kade Young,41080,QB,TROY,1,318
Rhett Rodriguez,60332,QB,ARIZONA,2,109
Jon Wisnieski,13600,TE,IOWA,5,192
Caleb Henderson,39905,QB,MARYLAND,2,215
Jocquez Bruce,33038,HB,MIDDLE TN,8,224
Bapa Falemaka,39940,TE,UTAH,3,328
Nick Cominos,41914,G,TCU,2,305
Unknown Air Force 82,62885,WR,AIR FORCE,1,101
Ronnie Clark,28029,TE,ALABAMA,4,103
Jaire George,35501,FB,VANDERBILT,2,333
Latrell Williams,40021,WR,TENNESSEE,1,307
Demetric Felton Jr.,40568,WR,UCLA,10,324
Austin Johnson,34401,WR,ALABAMA,1,103
Carter Groomes,42204,WR,CLEMSON,3,140
Keith Harrington,39563,HB,WASH STATE,7,341
Maurice Alexander,33465,QB,FIU,6,166
Justin Norbeck,38377,FB,CAL,3,130
E.J. Perry,60349,QB,BOSTON COL,1,121
Wally Adams,61752,TE,UAB,2,321
Brian Polendey,60955,TE,MIAMI FL,1,220
Shawn Curtis,28541,T,IOWA STATE,2,193
Andrew Libby,30507,FB,UMASS,3,216
Jyvon Brown,52105,WR,UMASS,6,216
Ivory Kelly-Martin,57244,HB,IOWA,8,192
KJ Uluave,46820,G,UTAH ST,1,329
Chris Pierce,61794,WR,VANDERBILT,7,333
Semisi Uluave,46831,G,CAL,3,130
