player,player_id,position,team_name,player_game_count,franchise_id
Mike Lofton,123751,C,USF,12,327
John Lanz,76563,C,TCU,12,305
Derek Bowman,123654,T,USF,12,327
Corey Gaynor,59844,C,N CAROLINA,12,245
Willis Patrick,134500,G,TCU,12,305
Chandler Strong,158365,C,GA SOUTHRN,12,174
Venly Tatafu,158830,T,UTSA,12,331
Spencer Rolland,108693,T,N CAROLINA,12,245
Joe Michalski,99426,C,OKLA STATE,12,262
Jacob Gideon,72705,C,W MICHIGAN,12,347
Ernesto Almaraz,90765,T,UTSA,12,331
Luke Kandra,52487,G,CINCINNATI,12,138
Addison West,98272,G,W MICHIGAN,12,347
Brian Driscoll,100534,C,CAL,12,130
Rusty Staats,81941,C,TEXAS TECH,12,315
Caleb Rogers,123157,T,TEXAS TECH,12,315
Monroe Mills,122977,T,TEXAS TECH,12,315
Jett Duncan,121886,T,N TEXAS,12,251
Eliki Tanuvasa,79663,C,HAWAII,13,180
Levi Rogers,131781,C,STANFORD,12,300
Josh Atkins,144243,T,HAWAII,13,180
Pichon Wimbley,158371,G,GA SOUTHRN,12,174
Will O'Steen,125373,T,JVILLE ST,12,196
Khalil Crowder,78240,G,GA SOUTHRN,12,174
Ethan Miner,98068,C,N TEXAS,12,251
Brock Robey,163975,G,JVILLE ST,12,196
T.J. Session,102316,T,CAL,12,130
Isaiah Helms,104720,C,APP STATE,12,108
Caleb Johnson,102301,C,TEXAS ST,12,314
Clark Barrington,81598,C,BAYLOR,12,118
Bucky Williams,78305,G,APP STATE,12,108
Campbell Barrington,147505,T,BAYLOR,12,118
Connor McLaughlin,131771,T,STANFORD,12,300
Brady Wilson,121508,C,UAB,12,321
Victor Stoffel,98528,T,TEMPLE,12,306
Will Putnam,99655,C,CLEMSON,12,140
Blake Miller,156248,T,CLEMSON,12,140
Andrew Raym,122940,C,OKLAHOMA,12,261
Damion Daley,75770,G,APP STATE,12,108
Noah Josey,126259,G,VIRGINIA,12,335
Cooper Beebe,99434,G,KANSAS ST,12,199
Riley Mahlman,145172,T,WISCONSIN,12,349
Treylen Brown,108550,C,JVILLE ST,12,196
Hayden Gillum,77508,C,KANSAS ST,12,199
Brian Stevens,108439,C,VIRGINIA,12,335
Jack Nelson,129927,T,WISCONSIN,12,349
Kyle Hergel,87427,G,BOSTON COL,12,121
Tanor Bortolini,129915,C,WISCONSIN,12,349
