player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Jahsen Wint,42914,S,MARSHALL,11,4,0,214,0,0,0,0,6
Mason White,43872,CB,TCU,3,0,0,305,0,0,0,0,1
Chaz Ah You,51989,LB,BYU,2,1,0,128,0,0,0,0,3
Sinjun Astani,52257,DI,USC,3,0,0,326,0,0,0,0,0
Malik Vann,52555,ED,CINCINNATI,12,5,0,138,2,0,0,2,7
Tyler Bentley,52790,DI,PITTSBURGH,12,8,0,268,0,0,0,0,11
Xavier Peters,52819,ED,FAU,6,1,1,165,1,0,0,1,4
Zaid Hamdan,52925,DI,TULSA,12,4,0,320,3,0,0,0,8
Cole Pearce,52970,LB,BALL ST,12,12,1,117,6,1,2,4,75
James Camden,53418,LB,CINCINNATI,3,1,0,138,0,0,0,0,2
DeShawn Pace,53549,S,CINCINNATI,11,16,1,138,4,1,3,0,58
Eric Phillips,53572,ED,CINCINNATI,12,1,1,138,2,0,0,2,13
Ryan Mullaney,53704,ED,CINCINNATI,6,1,0,138,0,0,0,0,2
Jaheim Thomas,54193,LB,ARKANSAS,12,32,0,111,3,0,1,5,55
Jordan Strachan,55198,ED,S CAROLINA,12,7,2,289,8,0,1,5,12
Zachary Ford,55353,S,TOLEDO,12,13,0,316,0,0,2,0,38
Korey Hernandez,55796,CB,E MICHIGAN,11,1,0,160,0,0,0,0,9
Deangelo Gibbs,55917,CB,S CAROLINA,1,0,0,289,0,0,0,0,0
Tavyn Jackson,56164,CB,COAST CAR,1,0,0,141,0,0,0,0,0
Myles Jones,56220,CB,DUKE,4,0,1,154,0,2,2,0,8
John Davis,56230,CB,N TEXAS,11,5,0,251,0,1,1,0,14
Taijh Alston,56348,ED,COLORADO,11,11,0,143,3,0,0,2,10
Demetrice Lofton,56355,ED,W GEORGIA,10,4,1,1177,5,0,0,1,6
Phil Paea,56717,DI,OKLAHOMA,2,0,0,261,0,0,0,0,0
Marcus Buckley,56754,DI,NEW MEX ST,3,0,0,242,0,0,0,0,0
Popo Aumavae,56803,DI,OREGON,12,6,0,264,1,0,0,2,9
Jacob Lichtenstein,56912,DI,MIAMI FL,11,0,0,220,0,0,0,1,4
Xavier Williams,57263,HB,KENT STATE,1,0,0,201,0,0,0,0,0
JB Brown,57701,ED,UMASS,12,7,0,216,4,0,0,2,19
Bryson Jackson,57738,S,BAYLOR,12,5,0,118,0,0,1,0,21
Jerry Roberts,57759,LB,UMASS,10,17,0,216,1,0,1,0,26
Isaac Ukwu,57888,ED,OLE MISS,12,5,0,226,3,0,0,5,19
Malik Robinson,58044,LB,HOUSTON,12,32,0,182,3,1,1,1,57
Monty Montgomery,58203,LB,OLE MISS,10,4,0,226,0,0,0,0,13
Londyn Craft,60689,LB,E MICHIGAN,9,9,0,160,0,0,0,0,16
Hamze El-Zayat,61259,WR,E MICHIGAN,3,0,0,160,0,0,0,0,0
Takulve Williams,61346,S,W KENTUCKY,8,6,0,346,3,1,0,0,27
Braden Smith,61460,WR,CINCINNATI,1,0,0,138,0,0,0,0,0
Jaiden Cameron,62277,ED,NWESTERN,2,0,0,256,0,0,0,0,1
Diego Neri,62732,LB,BOWL GREEN,1,0,0,122,0,0,0,0,0
Eddie Heckard,63024,CB,BYU,12,12,3,128,0,5,3,1,40
Jeremiah Harris,63043,S,JVILLE ST,12,7,0,196,1,2,2,0,46
Kam Butler,63872,ED,VIRGINIA,4,4,0,335,2,0,0,3,14
Will Whitson,64470,ED,COAST CAR,12,10,0,141,7,0,0,4,24
Devin Maddox,64506,WR,TOLEDO,1,0,0,316,0,0,0,0,0
Robi Stuart,65032,DI,C MICHIGAN,6,2,0,134,3,0,0,2,7
Josh Minkins,66051,S,LOUISVILLE,7,4,0,210,0,0,0,0,16
Jeremiah Wood,66274,S,OHIO,9,9,0,259,3,0,2,0,13
Ty Hamilton,66298,DI,OHIO STATE,12,12,0,260,2,0,0,1,20
Markel Perry,66793,ED,SM HOUSTON,10,9,0,281,4,0,0,3,28
