player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Mason White,43872,CB,OREGON ST,10,3,0,265,0,0,0,0,14
Noah Taylor,52348,LB,NWESTERN,2,0,0,256,0,0,0,0,1
Zaid Hamdan,52925,DI,KENT STATE,12,5,0,201,2,0,0,0,17
DeShawn Pace,53549,LB,UCF,12,12,0,323,3,2,1,0,50
Eric Phillips,53572,ED,CINCINNATI,12,3,0,138,4,0,0,3,13
Iesa Jarmon,53981,CB,AKRON,5,0,0,102,0,0,0,0,2
Jaheim Thomas,54193,LB,WISCONSIN,11,22,0,349,0,0,0,1,38
Cheikhsaliou Fall,54240,ED,CAL,12,7,0,130,5,0,0,1,8
Malik Denkins,55516,ED,C MICHIGAN,4,2,0,134,0,0,0,1,0
Jaiden Cameron,62277,ED,NWESTERN,8,3,0,256,0,0,0,0,2
Alex Howard,62494,LB,DUKE,12,17,0,154,2,0,0,9,51
Barry Brown,62724,LB,COAST CAR,12,16,0,141,1,0,0,0,36
Kam Butler,63872,ED,VIRGINIA,12,14,1,335,8,0,1,2,28
Will Whitson,64470,DI,COAST CAR,4,5,2,141,2,0,0,2,11
Josh Minkins,66051,S,CINCINNATI,11,12,0,138,0,2,3,0,36
Jeremiah Wood,66274,CB,OHIO,1,0,0,259,0,0,0,0,0
Ty Hamilton,66298,DI,OHIO STATE,13,12,1,260,0,0,0,4,30
Sebastian Macaluso,70536,WR,S JOSE ST,1,0,0,285,0,0,0,0,0
Ben Florentine,70644,DI,WYOMING,11,12,0,351,3,0,0,0,12
Korey Foreman,70831,ED,FRESNO ST,11,2,3,169,3,0,0,3,13
Tuasivi Nomura,70879,LB,FRESNO ST,12,27,0,169,1,0,3,0,78
Tate Romney,70946,LB,ARIZONA ST,4,1,0,110,1,0,0,0,2
Keyon Ware-Hudson,71322,DI,OREGON,11,5,0,264,0,0,0,0,6
Domani Jackson,71370,CB,ALABAMA,12,6,1,103,0,2,5,0,37
William Nimmo Jr.,71391,S,S DIEGO ST,12,3,0,284,0,0,0,0,27
Keanu Tanuvasa,71398,DI,UTAH,7,4,0,328,5,0,0,1,11
Akili Arnold,71406,S,USC,11,15,0,326,1,0,1,1,37
Easton Mascarenas-Arnold,71410,LB,USC,12,27,0,326,4,2,0,3,62
Silas Bolden,71674,WR,TEXAS,1,0,0,311,0,0,0,0,0
Sheldon Newton,71957,DI,BOISE ST,10,2,0,120,1,0,0,1,11
DJ Harvey,72089,CB,S JOSE ST,12,9,0,285,0,4,7,1,46
Kamren Fabiculanan,72332,S,WASHINGTON,12,14,0,340,0,2,1,0,43
Raider Damuni,72338,S,BYU,11,6,0,128,0,0,0,0,17
Logan Pili,72354,LB,UTAH ST,7,3,0,329,0,0,0,0,3
Zahran Manley,72425,CB,STANFORD,5,2,0,300,0,0,4,0,12
Ian Shewell,72474,DI,ARIZONA ST,1,0,0,110,0,0,0,0,1
Noa Pola-Gates,72535,CB,NEW MEXICO,11,9,1,241,0,0,8,0,42
Jadon Pearson,72538,LB,UTAH ST,10,12,1,329,2,0,1,0,31
Lavario Wiley,72769,CB,UNLV,8,5,0,325,0,0,2,0,8
Keith Conley Jr.,72821,ED,UNLV,12,1,0,325,2,0,0,3,9
Henry Ikahihifo,73151,ED,NEVADA,13,7,0,239,3,0,0,3,24
