player,player_id,position,team_name,player_game_count,franchise_id
Savion Washington,130505,T,SYRACUSE,12,304
Mark Petry,123053,G,SYRACUSE,12,304
Caleb Rogers,123157,T,TEXAS TECH,12,315
Sheridan Wilson,157336,C,TEXAS TECH,12,315
CJ James Jr.,151192,C,UTSA,12,331
Kamar Missouri,129890,T,UTSA,12,331
Xavier Hill,124098,G,MEMPHIS,12,218
Richard Pearce,151054,G,NEW MEXICO,12,241
Chris Adams,145359,T,MEMPHIS,12,218
Jonah Gambill,121763,G,MEMPHIS,12,218
McKenzie Agnello,160062,C,NEW MEXICO,12,241
Ryan Linthicum,144122,C,CLEMSON,13,140
Baraka Beckett,81883,G,NEW MEXICO,12,241
Trent Holler,105818,C,MEMPHIS,12,218
Cooper Mays,124289,C,TENNESSEE,13,307
Dorion Strawn,150063,T,TEXAS ST,12,314
Chayse Todd,97851,C,TEXAS ST,12,314
PJ Williams,158685,T,SMU,13,287
Wyatt Bowles,81896,G,UTAH ST,12,329
Mickey Rewolinski,130473,G,E MICHIGAN,12,160
Alex Harkey,157695,T,TEXAS ST,12,314
Walter Young Bear,133127,G,TULSA,12,320
Kasen Carpenter,173292,C,TULSA,12,320
Nash Jones,133226,G,TEXAS ST,12,314
Mehki Butler,147056,G,ARK STATE,12,113
Will Campbell,157106,T,LSU,12,211
Emery Jones Jr.,157117,T,LSU,12,211
DJ Chester,172473,C,LSU,12,211
Derek Bowman,123654,T,USF,12,327
Brady Wilson,121508,C,UAB,12,321
Blake Miller,156248,T,CLEMSON,13,140
Joshua Gray,98252,G,OREGON ST,12,265
Pichon Wimbley,158371,G,GA SOUTHRN,12,174
Andrew Madrigal,71502,C,NEVADA,13,239
Tomas Rimac,144783,G,W VIRGINIA,12,343
Hayden Conner,144723,G,TEXAS,13,311
Isaiah World,158252,T,NEVADA,13,239
BJ Williams,170127,G,PITTSBURGH,12,268
Ryan Baer,156362,T,PITTSBURGH,12,268
Jarrod Hufford,99440,C,IOWA STATE,12,193
Willie Lampkin,122344,G,N CAROLINA,12,245
Hollin Pierce,129899,T,RUTGERS,12,278
Kwabena Asamoah,156503,G,RUTGERS,12,278
Gus Zilinskas,145132,C,RUTGERS,12,278
Nick Malone,99421,T,W VIRGINIA,12,343
Evan Malcore,158043,T,N ILLINOIS,12,254
E'Marion Harris,157022,G,ARKANSAS,12,111
Noah Smith,147054,T,ARK STATE,12,113
Josh Atwood,128073,C,UMASS,12,216
Coleton Price,158567,C,BAYLOR,12,118
Ja'Quay Hubbard,99678,G,W VIRGINIA,12,343
AJ Vaipulu,74652,G,NEW MEX ST,12,242
Francis Mauigoa,170088,T,MIAMI FL,12,220
Zach Carpenter,101539,C,MIAMI FL,12,220
Simione Pale,176626,G,STANFORD,12,300
Parker Moorer,99422,T,E CAROLINA,12,156
Miles Frazier,123626,G,LSU,12,211
Dustyn Hall,101036,C,E CAROLINA,12,156
Chase Lundt,98515,T,UCONN,12,146
Valentin Senn,100533,T,UCONN,12,146
Michael Flores,108560,C,DOMINION,12,263
Jakob Bradford,144039,G,SYRACUSE,12,304
Zach Barlev,144807,T,DOMINION,12,263
Will O'Steen,125373,T,JVILLE ST,12,196
Jakai Clark,97645,C,SMU,13,287
Joshua Braun,124371,G,ARKANSAS,12,111
Marcus Bryant,121917,T,MISSOURI,12,229
Christopher Fortin,147384,G,UCONN,12,146
Davion Carter,158004,G,TEXAS TECH,12,315
Jordan Williams,122503,T,GA TECH,12,176
Fernando Carmona,146185,T,ARKANSAS,12,111
Christian Jones,146145,T,S DIEGO ST,12,284
Ethan Crowe,130330,C,BALL ST,12,117
Keylan Rutledge,156597,G,GA TECH,12,176
Gavin Gerhardt,123561,C,CINCINNATI,12,138
Vershon Lee,124246,C,S CAROLINA,12,289
Trey Wedig,129935,T,INDIANA,13,190
Carter Smith,156399,T,INDIANA,13,190
Mike Katic,101575,C,INDIANA,13,190
Bray Lynch,156401,G,INDIANA,13,190
Bert Hale,122675,G,LA TECH,12,208
Jake Majors,123123,C,TEXAS,13,311
Weston Franklin,143913,C,GA TECH,12,176
Ross Ulugalu-Maseuli,146155,G,S DIEGO ST,12,284
Cameron Williams,163867,T,TEXAS,13,311
Hayden Christman,170453,T,LA TECH,12,208
Armand Membou,125008,T,MISSOURI,12,229
John Williams,123585,T,CINCINNATI,12,138
Bryson Broadway,137997,T,GA SOUTHRN,12,174
Justin Osborne,99071,G,SMU,13,287
Trevor Brock,171197,G,BUFFALO,12,126
Nofoafia Tulafono,128438,C,WYOMING,12,351
Jon Mucciolo,108593,G,BALL ST,12,117
Howard Sampson,156612,T,N CAROLINA,12,245
Iapani Laloulu,174128,C,OREGON,12,264
Carter Fouty,156989,G,TOLEDO,12,316
Grant Starck,128245,T,OREGON ST,12,265
Brennan Smith,149139,G,UTEP,12,330
Cole Rhett,171386,T,TOLEDO,12,316
Tyler Doty,130407,G,BUFFALO,12,126
Dom Polizzi,97651,C,BUFFALO,12,126
Markell Samuel,122253,T,APP STATE,11,108
Ka'ena Decambra,146066,T,HAWAII,12,180
Tyler Miller,122526,T,IOWA STATE,12,193
Malik Williams,128441,T,S JOSE ST,12,285
Jack Hollifield,144079,C,APP STATE,11,108
Gerad Christian-Lichtenhan,131673,T,OREGON ST,12,265
Ajani Cornelius,142968,T,OREGON,12,264
Aliou Bah,157068,G,MARYLAND,12,215
Mason Murphy,74236,T,USC,12,326
Nate Williams,130322,T,S DIEGO ST,12,284
James Dawn II,160282,G,SM HOUSTON,12,281
Evan Wibberley,156645,C,W KENTUCKY,12,346
Jordan Seaton,183886,T,COLORADO,12,143
Marshall Jackson,72689,T,W KENTUCKY,12,346
Paul Rubelt,123761,T,UCF,12,323
Amari Kight,99064,T,UCF,12,323
Trevor Timmons,145577,T,GA STATE,12,175
Falepule Alo,128376,C,UTAH ST,11,329
Hampton Ergle,123795,G,E CAROLINA,12,156
Adrian Medley,98550,G,UCF,12,323
Josh Conerly Jr.,163291,T,OREGON,12,264
Ethan Miner,98068,C,MISS STATE,12,227
Alec Johnson,156693,C,GA STATE,12,175
Caelan Shepard,98489,T,BUFFALO,12,126
Ethan Spoth,156998,G,TOLEDO,12,316
Bryce Benhart,98531,T,NEBRASKA,12,238
Ben Scott,98398,C,NEBRASKA,12,238
Justin Evans,156464,G,NEBRASKA,12,238
Logan Zschernitz,100262,C,N ILLINOIS,12,254
James Brockermeyer,125681,C,TCU,12,305
Ethan Mottinger,128100,G,UMASS,12,216
Kamaar Bell,99073,G,S CAROLINA,12,289
Leif Fautanu,101261,C,ARIZONA ST,12,110
Reece McIntyre,98383,C,OLE MISS,12,226
Matt Craycraft,162694,C,DUKE,12,154
John Champe,130545,G,N ILLINOIS,12,254
Joe Michalski,99426,C,OKLA STATE,12,262
Brian Parker II,162699,T,DUKE,12,154
Trey Zuhn III,147019,T,TEXAS A&M,12,312
Emmanuel Pregnon,128427,G,USC,12,326
Tellek Lockette,163512,G,TEXAS ST,12,314
