player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Myles Garrett,11756,ED,TEXAS A&M,10,8,2,312,14,0,0,9,19
Solomon Thomas,11758,DI,STANFORD,12,6,0,300,12,0,0,9,40
Jamal Adams,11761,S,LSU,11,12,2,211,1,1,3,1,53
Marshon Lattimore,11766,CB,OHIO STATE,12,2,0,260,0,4,9,0,34
Haason Reddick,11768,ED,TEMPLE,12,8,3,306,4,0,2,9,37
Derek Barnett,11769,ED,TENNESSEE,12,6,2,307,19,1,1,12,30
Malik Hooker,11770,S,OHIO STATE,12,12,0,260,1,6,3,1,51
Marlon Humphrey,11771,CB,ALABAMA,12,3,1,103,0,2,4,0,30
Jonathan Allen,11772,DI,ALABAMA,12,6,0,103,12,0,0,8,35
Adoree' Jackson,11773,CB,USC,12,4,0,326,0,4,7,0,45
Jarrad Davis,11776,LB,FLORIDA,8,12,0,163,6,0,3,2,29
Charles Harris,11777,ED,MISSOURI,12,11,2,229,18,0,0,10,35
Gareon Conley,11779,CB,OHIO STATE,12,2,0,260,1,3,8,0,18
Jabrill Peppers,11780,S,MICHIGAN,12,4,1,222,6,1,0,3,54
Takk McKinley,11781,ED,UCLA,11,11,3,324,11,0,0,9,38
Tre'Davious White,11782,CB,LSU,11,5,0,211,0,2,12,1,26
Taco Charlton,11783,ED,MICHIGAN,10,8,0,222,7,0,0,7,21
T.J. Watt,11785,ED,WISCONSIN,12,7,0,349,13,1,2,8,29
Reuben Foster,11786,LB,ALABAMA,12,15,0,103,10,0,3,2,59
Kevin King,11788,CB,WASHINGTON,12,4,0,340,0,2,4,0,26
Malik McDowell,11790,DI,MICH STATE,9,3,0,223,10,0,0,2,27
Budda Baker,11791,CB,WASHINGTON,12,5,0,340,1,2,2,2,51
Marcus Maye,11794,S,FLORIDA,9,8,0,163,0,1,2,1,40
Curtis Samuel,11795,HB,OHIO STATE,1,0,0,260,0,0,0,0,1
Marcus Williams,11797,S,UTAH,10,8,2,328,0,4,2,0,48
Sidney Jones IV,11798,CB,WASHINGTON,12,5,0,340,0,3,6,0,30
Gerald Everett,11799,TE,S ALABAMA,1,0,0,288,0,0,1,0,0
Quincy Wilson,11801,CB,FLORIDA,11,4,0,163,0,3,5,1,18
Tyus Bowser,11802,ED,HOUSTON,7,5,1,182,3,0,1,6,27
Ryan Anderson,11804,ED,ALABAMA,12,11,2,103,14,0,1,10,22
Justin Evans,11805,S,TEXAS A&M,12,10,0,312,0,4,8,0,74
DeMarcus Walker,11806,ED,FLORIDA ST,12,6,2,167,11,0,1,16,37
Teez Tabor,11808,CB,FLORIDA,10,2,0,163,0,4,6,1,22
Raekwon McMillan,11809,LB,OHIO STATE,12,15,2,260,2,0,2,1,62
Dalvin Tomlinson,11810,DI,ALABAMA,12,14,0,103,5,0,0,1,24
Obi Melifonwu,11811,S,UCONN,12,24,0,146,1,4,3,0,83
Zach Cunningham,11812,LB,VANDERBILT,12,22,2,333,0,0,3,0,85
Chidobe Awuzie,11815,CB,COLORADO,12,3,1,143,0,1,7,4,38
Josh Jones,11816,S,NC STATE,12,17,1,248,0,2,7,1,81
Larry Ogunjobi,11820,DI,CHARLOTTE,12,8,0,136,5,0,0,4,40
Ahkello Witherspoon,11821,CB,COLORADO,12,1,0,143,0,1,12,0,21
Dawuane Smoot,11823,ED,ILLINOIS,12,8,0,187,10,0,0,5,36
Jordan Willis,11828,ED,KANSAS ST,12,8,3,199,8,0,0,13,25
Chris Wormley,11829,ED,MICHIGAN,12,6,0,222,10,0,0,6,20
Duke Riley,11830,LB,LSU,11,16,1,211,4,1,1,2,53
Alex Anzalone,11831,LB,FLORIDA,8,8,0,163,1,0,1,3,36
Daeshon Hall,11832,ED,TEXAS A&M,12,5,1,312,10,0,0,4,33
Tim Williams,11833,ED,ALABAMA,12,2,2,103,8,0,1,8,15
Tarell Basham,11835,ED,OHIO,12,4,2,259,8,0,0,10,24
Fabian Moreau,11836,CB,UCLA,12,5,1,324,0,2,9,0,26
Eddie Vanderdoes,11843,DI,UCLA,12,3,0,324,3,0,0,3,19
Shaquill Griffin,11845,CB,UCF,12,7,0,323,0,4,10,0,40
Jourdan Lewis,11846,CB,MICHIGAN,9,1,0,222,1,2,9,0,21
John Johnson III,11847,S,BOSTON COL,12,11,1,121,0,3,5,0,48
Montravius Adams,11848,DI,AUBURN,12,8,0,115,9,1,0,6,23
Delano Hill,11849,S,MICHIGAN,12,2,1,222,1,3,3,1,47
Cameron Sutton,11850,CB,TENNESSEE,6,1,0,307,0,1,3,0,20
Cordrea Tankersley,11852,CB,CLEMSON,12,4,0,140,0,1,8,0,36
Rasul Douglas,11854,CB,W VIRGINIA,12,10,1,343,0,8,10,1,47
Nazair Jones,11857,DI,N CAROLINA,11,15,1,245,4,0,0,2,35
Trey Hendrickson,11858,ED,FAU,12,4,1,165,13,0,0,9,27
James Conner,11860,HB,PITTSBURGH,2,0,0,268,1,0,0,0,0
Kendell Beckwith,11862,LB,LSU,10,12,0,211,0,0,4,1,72
Vince Biegel,11863,ED,WISCONSIN,10,6,0,349,6,0,0,4,22
Jaleel Johnson,11864,DI,IOWA,12,11,0,192,7,0,0,8,29
Tedric Thompson,11866,S,COLORADO,12,10,0,143,0,7,9,0,46
Eddie Jackson,11867,S,ALABAMA,8,4,0,103,0,1,0,0,19
Rayshawn Jenkins,11868,S,MIAMI FL,12,8,0,220,1,2,4,2,57
Carl Lawson,11871,ED,AUBURN,12,2,1,115,13,0,0,9,13
Mack Hollins,11873,WR,N CAROLINA,1,0,0,245,0,0,0,0,0
Ben Gedeon,11875,LB,MICHIGAN,12,30,0,222,3,0,0,6,52
Montae Nicholson,11878,S,MICH STATE,11,15,0,223,0,1,2,0,61
Jalen Reeves-Maybin,11879,LB,TENNESSEE,4,5,0,307,1,0,0,0,12
Howard Wilson,11881,CB,HOUSTON,12,1,0,182,0,5,8,0,51
Deatrich Wise Jr.,11886,ED,ARKANSAS,12,9,1,111,11,0,0,5,25
Ryan Switzer,11888,WR,N CAROLINA,1,0,0,245,0,0,0,0,0
Ryan Glasgow,11893,DI,MICHIGAN,12,10,1,222,8,0,0,6,20
Carlos Watkins,11897,DI,CLEMSON,12,4,0,140,4,0,0,7,21
Blair Brown,11903,LB,OHIO,12,29,2,259,2,0,0,4,80
Damontae Kazee,11904,CB,S DIEGO ST,12,7,0,284,0,5,3,0,46
Desmond King II,11906,CB,IOWA,12,4,1,192,0,2,8,0,45
Corn Elder,11907,CB,MIAMI FL,12,9,1,220,1,1,7,3,60
Jayon Brown,11910,LB,UCLA,12,17,0,324,5,3,5,3,103
Nate Hairston,11913,CB,TEMPLE,12,1,0,306,0,1,4,0,21
Anthony Walker Jr.,11916,LB,NWESTERN,12,18,2,256,3,1,2,2,71
Matt Milano,11918,LB,BOSTON COL,12,9,1,121,2,1,4,5,48
Marquel Lee,11923,LB,WAKE,12,15,2,339,2,0,0,8,75
Treston Decoud,11924,CB,OREGON ST,12,3,0,265,0,2,9,0,54
Brian Allen,11928,CB,UTAH,12,4,0,328,0,4,4,0,30
DeAngelo Yancey,11930,WR,PURDUE,1,0,0,273,0,1,0,0,0
Trent Taylor,11932,WR,LA TECH,2,0,0,208,0,0,0,0,0
Davon Godchaux,11934,DI,LSU,11,8,0,211,8,0,0,7,28
Ukeme Eligwe,11938,LB,GA SOUTHRN,11,14,3,174,3,1,2,3,80
Caleb Brantley,11939,DI,FLORIDA,11,3,1,163,10,0,0,2,22
Nathan Gerry,11940,S,NEBRASKA,11,20,0,238,1,4,6,1,62
Chuck Clark,11941,S,VA TECH,12,12,1,337,0,0,2,0,53
Mike Tyson,11942,CB,CINCINNATI,10,4,0,138,0,5,7,1,34
Tanzel Smart,11944,DI,TULANE,12,17,1,319,7,0,0,7,35
Xavier Woods,11946,S,LA TECH,12,7,0,208,4,5,6,3,63
Jordan Evans,11947,LB,OKLAHOMA,12,20,1,261,3,4,5,2,62
Vincent Taylor,11949,DI,OKLA STATE,12,2,2,262,8,0,0,7,31
Tanner Vallejo,11950,LB,BOISE ST,9,9,0,120,7,0,0,2,56
Jeremy Clark,11952,CB,MICHIGAN,4,1,0,222,0,0,2,0,5
D.J. Jones,11953,DI,OLE MISS,12,6,0,226,1,1,0,2,17
Temuchin Hodges,11956,WR,VA TECH,2,0,0,337,0,0,0,0,0
Pita Taumoepenu,11957,ED,UTAH,12,5,2,328,8,0,0,8,22
Derrick Jones,11959,CB,OLE MISS,9,3,0,226,0,2,3,0,17
Jeremiah Ledbetter,11960,DI,ARKANSAS,12,4,1,111,4,0,0,5,24
Brandon Wilson,11962,CB,HOUSTON,9,6,1,182,1,1,5,2,33
Rudy Ford,11963,CB,AUBURN,12,11,0,115,1,0,5,0,45
Elijah Qualls,11969,DI,WASHINGTON,12,2,1,340,2,0,0,4,26
Marquez White,11971,CB,FLORIDA ST,12,1,0,167,0,2,2,0,25
Leon McQuay,11973,S,USC,12,3,0,326,1,1,5,2,32
Ifeadi Odenigbo,11975,ED,NWESTERN,12,5,2,256,7,0,0,10,9
Shalom Luani,11976,S,WASH STATE,11,7,1,341,4,4,3,2,53
Jalen Myrick,11977,CB,MINNESOTA,12,4,0,225,1,1,7,0,35
Stevie Tu'ikolovatu,11978,DI,USC,12,7,0,326,0,0,0,0,34
Isaac Rochell,11980,DI,NOTRE DAME,12,16,0,258,5,0,0,1,36
Josh Carraway,11982,ED,TCU,12,6,1,305,5,0,0,8,27
Adrian Colbert,11983,CB,MIAMI FL,6,0,0,220,1,1,3,0,15
Joey Ivie,11984,DI,FLORIDA,9,3,1,163,5,0,0,4,14
Josh Harvey-Clemons,11985,S,LOUISVILLE,10,8,0,210,3,0,1,1,49
Elijah Lee,11987,LB,KANSAS ST,12,16,1,199,5,2,2,1,83
Ejuan Price,11989,ED,PITTSBURGH,12,4,3,268,12,0,0,15,23
Joshua Holsey,11990,CB,AUBURN,11,0,0,115,0,3,7,0,27
Treyvon Hester,11999,DI,TOLEDO,10,6,1,316,5,0,0,4,31
Jack Tocho,12000,CB,NC STATE,12,4,0,248,0,2,7,1,35
Jordan Carrell,12001,DI,COLORADO,12,6,0,143,9,0,0,5,27
Keion Adams,12003,ED,W MICHIGAN,12,5,2,347,8,0,1,7,33
Patrick O'Connor,12005,ED,E MICHIGAN,12,8,4,160,8,0,0,8,16
Ironhead Gallon,12012,LB,GA SOUTHRN,12,23,1,174,2,0,1,0,79
Gump Hayes,12013,CB,ARIZONA ST,12,3,0,110,0,3,5,0,38
Drico Johnson,12015,S,UCF,12,8,1,323,1,2,4,0,47
Ryan Lewis,12017,CB,PITTSBURGH,12,9,0,268,0,2,9,1,65
Cyril Noland-Lewis,12019,CB,LA TECH,11,1,0,208,0,0,1,0,27
Ricky Seals-Jones,12020,WR,TEXAS A&M,1,0,0,312,0,0,0,0,0
