player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Tyreek'e Robinson,190344,DI,UCF,1,0,0,323,0,0,0,0,0
Braylon Conley,190347,CB,USC,8,2,1,326,0,0,0,0,12
Carlon Jones,190349,DI,USC,8,0,0,326,0,0,0,0,4
Isaiah Rubin,190353,S,USC,1,0,0,326,0,0,0,0,0
Jadyn Walker,190359,LB,USC,12,6,0,326,3,0,0,2,23
Mackenzie Alleyne,190362,WR,WASH STATE,1,0,0,341,0,0,0,0,0
Ben Beatty,190364,ED,WASH STATE,5,0,0,341,0,0,0,1,1
Jack Ellison,190371,LB,WASH STATE,6,2,0,341,0,0,1,0,9
Gage Jones,190375,LB,WASH STATE,7,4,0,341,0,0,0,0,7
Titus Miller,190378,ED,WASH STATE,2,0,0,341,0,0,0,0,0
Kayo Patu,190381,S,WASH STATE,2,0,0,341,0,0,1,0,0
Malachi Wrice,190386,ED,WASH STATE,4,1,0,341,1,0,0,0,0
Khamani Alexander,190388,HB,APP STATE,1,0,0,108,0,0,0,0,0
DeNigel Cooper,190391,DI,APP STATE,12,4,0,108,2,0,0,1,14
Bucci Farmer,190392,DI,APP STATE,7,4,0,108,0,0,0,0,2
Ty Sanders,190400,CB,APP STATE,3,1,0,108,0,0,0,0,0
Nick Taylor,190401,CB,W VIRGINIA,11,5,0,343,0,1,0,0,12
Torin Brazell,190406,DI,E CAROLINA,10,2,0,156,0,0,0,0,3
Eric Fletcher,190411,CB,OKLA STATE,10,4,0,262,0,0,2,0,11
Jurnee Lattimore,190417,CB,E CAROLINA,1,1,0,156,0,0,0,0,1
Alex Moye,190419,CB,E CAROLINA,8,2,0,156,0,0,0,0,3
Jayden Olden,190420,LB,E CAROLINA,1,2,0,156,0,0,0,0,0
Ja'Marley Riddle,190422,S,E CAROLINA,12,24,0,156,0,3,3,0,53
Javon Williams,190430,DI,E CAROLINA,4,1,0,156,0,0,0,0,0
Cam Dooley,190435,S,KENTUCKY,12,4,2,202,0,1,0,0,28
Kenyatta Hardge II,190437,DI,KENTUCKY,6,0,0,202,0,0,0,0,0
Dennious Jackson,190438,DI,COLO STATE,1,0,0,144,0,0,0,0,1
Quintavion Norman,190446,LB,KENTUCKY,1,0,0,202,0,0,0,0,1
Caleb Redd,190447,ED,KANSAS,1,1,0,198,0,0,0,0,0
Quay'sheed Scott,190449,CB,KENTUCKY,12,9,0,202,0,1,4,0,24
Jaden Smith,190450,CB,KENTUCKY,5,3,0,202,1,0,0,0,5
Rushaune Vilane,190452,ED,KENTUCKY,1,0,0,202,0,0,0,0,1
Elijah Brody,190457,ED,NEW MEXICO,6,1,0,241,0,0,0,0,1
Drew Speech,190471,S,NEW MEXICO,10,4,0,241,0,0,6,0,7
Victor Villafuerte,190473,S,NEW MEXICO,2,0,0,241,0,0,0,0,0
Farell Gnago,190479,DI,RUTGERS,9,3,1,278,1,1,0,0,7
Tyclean Luman,190482,ED,FAU,12,4,0,165,0,0,0,1,4
Tycoolhill Luman,190483,DI,FAU,10,1,0,165,2,0,0,0,2
Sam Robinson,190490,LB,RUTGERS,9,5,0,278,0,0,0,0,6
Nick Buchys,190501,DI,ARMY,4,0,0,114,0,0,0,0,0
Sean Donovan,190503,DI,ARMY,5,0,0,114,0,0,0,1,3
Matt Gemma,190508,DI,ARMY,6,2,0,114,0,0,0,0,0
Chuck Johnson,190517,DI,ARMY,1,0,0,114,0,0,0,0,0
Cael Newton,190534,DI,ARMY,4,0,0,114,1,0,0,1,3
Larry Pickett Jr.,190538,S,ARMY,1,0,0,114,0,0,0,0,1
Cole Searight,190542,CB,ARMY,12,4,2,114,0,0,0,2,11
Javon Smith,190545,ED,ARMY,8,0,0,114,0,0,0,0,4
Ish Taylor,190550,CB,ARMY,1,0,0,114,0,0,0,0,0
Elijah Walton,190556,LB,ARMY,3,0,0,114,0,0,0,0,3
Caleb Williams,190559,S,ARMY,4,1,0,114,0,0,0,0,1
Jamorie Flagg,190567,DI,FLORIDA ST,2,0,0,167,0,0,0,0,1
Gav Holman,190568,LB,FLORIDA ST,2,2,0,167,0,0,0,0,2
DD Holmes,190569,ED,MARYLAND,9,3,0,215,3,0,0,0,6
Ricky Knight III,190572,CB,FLORIDA ST,2,0,0,167,0,0,0,0,1
