Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Tyler Robinson,tyler-robinson-2,/cfb/players/tyler-robinson-2.html,CB,2,2,0,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Gabe Schrade,gabe-schrade-1,/cfb/players/gabe-schrade-1.html,TE,12,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Mason Hays,mason-hays-1,/cfb/players/mason-hays-1.html,WR,4,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Aaron Brewer,aaron-brewer-2,/cfb/players/aaron-brewer-2.html,C,12,0,2,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Jordan Eastling,jordan-eastling-1,/cfb/players/jordan-eastling-1.html,CB,7,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Markeveon Coleman,markeveon-coleman-1,/cfb/players/markeveon-coleman-1.html,LB,6,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Nic Foster,nic-foster-1,/cfb/players/nic-foster-1.html,T,10,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Marcus Ripley,marcus-ripley-1,/cfb/players/marcus-ripley-1.html,K,12,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Hunter Hebert,hunter-hebert-1,/cfb/players/hunter-hebert-1.html,TE,1,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Justin Warner,justin-warner-1,/cfb/players/justin-warner-1.html,LS,11,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Reece Jordan,reece-jordan-1,/cfb/players/reece-jordan-1.html,C,9,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Josiah Washington,josiah-washington-1,/cfb/players/josiah-washington-1.html,T,5,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Chris French,chris-french-1,/cfb/players/chris-french-1.html,TE,11,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Jaylin Nelson,jaylin-nelson-1,/cfb/players/jaylin-nelson-1.html,QB,7,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
