Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Cole McCubrey,cole-mccubrey-1,/cfb/players/cole-mccubrey-1.html,LB,4,20,12,32,1.5,1.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Mike Ruane,mike-ruane-1,/cfb/players/mike-ruane-1.html,LB,4,15,17,32,3.5,1.5,0,0,0,1,0,0,0,0,,Massachusetts,2020
Tanner Davis,tanner-davis-1,/cfb/players/tanner-davis-1.html,S,4,16,7,23,4.5,1.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Avien Peah,avien-peah-1,/cfb/players/avien-peah-1.html,DL,4,6,13,19,6.0,1.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Te'Rai Powell,terai-powell-1,/cfb/players/terai-powell-1.html,DB,4,12,7,19,1.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Viczaril Alobwede,viczaril-alobwede-1,/cfb/players/viczaril-alobwede-1.html,DL,4,8,9,17,0.5,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Jake Byczko,jake-byczko-1,/cfb/players/jake-byczko-1.html,DL,4,9,6,15,3.0,1.0,0,0,0,1,0,0,0,1,,Massachusetts,2020
Noah Boykin,noah-boykin-1,/cfb/players/noah-boykin-1.html,DB,4,13,1,14,1.0,0.0,0,0,0,3,0,0,0,1,,Massachusetts,2020
Uchenna Ezewike,uchenna-ezewike-1,/cfb/players/uchenna-ezewike-1.html,DL,4,6,7,13,4.5,1.0,0,0,0,0,0,0,0,1,,Massachusetts,2020
Josh Wallace,josh-wallace-1,/cfb/players/josh-wallace-1.html,CB,4,12,0,12,0.0,0.0,0,0,0,5,0,0,0,0,,Massachusetts,2020
Cody Jones,cody-jones-4,/cfb/players/cody-jones-4.html,DB,4,6,3,9,0.0,0.0,0,0,0,2,0,0,0,0,,Massachusetts,2020
Cletus Mathurin,cletus-mathurin-1,/cfb/players/cletus-mathurin-1.html,DL,4,3,5,8,0.5,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Zack Magdis,zack-magdis-1,/cfb/players/zack-magdis-1.html,LB,4,2,5,7,0.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Billy Wooden,billy-wooden-1,/cfb/players/billy-wooden-1.html,DL,4,2,5,7,2.0,1.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Josh Atwood,josh-atwood-1,/cfb/players/josh-atwood-1.html,DL,4,2,4,6,0.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Nahji Logan,nahji-logan-1,/cfb/players/nahji-logan-1.html,LB,4,4,2,6,0.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Taishan Holmes,taishan-holmes-1,/cfb/players/taishan-holmes-1.html,DL,4,3,3,6,0.5,0.5,0,0,0,0,0,0,0,0,,Massachusetts,2020
Gerrell Johnson,gerrell-johnson-1,/cfb/players/gerrell-johnson-1.html,LB,4,4,2,6,1.0,1.0,0,0,0,1,1,0,0,0,,Massachusetts,2020
Donte Lindsey,donte-lindsey-1,/cfb/players/donte-lindsey-1.html,CB,3,1,4,5,0.5,0.0,0,0,0,0,1,0,0,0,,Massachusetts,2020
Tristan Armstrong,tristan-armstrong-1,/cfb/players/tristan-armstrong-1.html,DB,4,3,2,5,0.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Wilson Frederic,wilson-frederic-1,/cfb/players/wilson-frederic-1.html,DL,2,1,2,3,0.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Josiah Johnson,josiah-johnson-1,/cfb/players/josiah-johnson-1.html,TE,4,2,0,2,0.0,0.0,0,0,0,0,1,0,0,0,,Massachusetts,2020
Jermaine Johnson Jr.,jermaine-johnson-jr-1,/cfb/players/jermaine-johnson-jr-1.html,WR,4,2,0,2,0.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Da'Shon Ross,dashon-ross-1,/cfb/players/dashon-ross-1.html,LB,3,2,0,2,0.0,0.0,0,0,0,0,0,0,0,1,,Massachusetts,2020
Larnel Coleman,larnel-coleman-1,/cfb/players/larnel-coleman-1.html,OL,4,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Reggie Marks III,reggie-marks-iii-1,/cfb/players/reggie-marks-iii-1.html,OL,4,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
Andrew Brito,andrew-brito-1,/cfb/players/andrew-brito-1.html,QB,3,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Massachusetts,2020
