Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Trevor Brohard,trevor-brohard-1,/cfb/players/trevor-brohard-1.html,LB,2,5,11,16,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Devlin Kirklin,devlin-kirklin-1,/cfb/players/devlin-kirklin-1.html,DB,2,6,8,14,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Michael Bowe Jr.,michael-bowe-jr-1,/cfb/players/michael-bowe-jr-1.html,LB,2,3,9,12,0.5,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Nick Giacolone,nick-giacolone-1,/cfb/players/nick-giacolone-1.html,LB,1,5,5,10,0.5,0.0,0,0,0,0,1,0,0,0,,New Mexico State,2020
Taylor Milton,taylor-milton-1,/cfb/players/taylor-milton-1.html,LB,2,3,7,10,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Joshua Ferguson,joshua-ferguson-1,/cfb/players/joshua-ferguson-1.html,LB,2,5,4,9,1.0,0.0,0,0,0,0,0,0,0,1,,New Mexico State,2020
Lama Lavea,lama-lavea-1,/cfb/players/lama-lavea-1.html,DL,2,2,6,8,0.5,0.5,0,0,0,0,0,0,0,0,,New Mexico State,2020
Devin Richardson,devin-richardson-1,/cfb/players/devin-richardson-1.html,LB,1,3,5,8,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Caleb Mills,caleb-mills-1,/cfb/players/caleb-mills-1.html,DB,1,3,5,8,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Daemahni Williams,daemahni-williams-1,/cfb/players/daemahni-williams-1.html,DB,2,4,3,7,0.0,0.0,0,0,0,1,0,0,0,0,,New Mexico State,2020
Xavier Hinkle,xavier-hinkle-1,/cfb/players/xavier-hinkle-1.html,DB,2,4,3,7,0.0,0.0,0,0,0,1,0,0,0,0,,New Mexico State,2020
Lazarus Williams,lazarus-williams-1,/cfb/players/lazarus-williams-1.html,DE,2,0,7,7,0.5,0.5,0,0,0,0,0,0,0,0,,New Mexico State,2020
Garrett Bishop,garrett-bishop-1,/cfb/players/garrett-bishop-1.html,DL,1,0,4,4,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Ja'Marvin Hartfield,jamarvin-hartfield-1,/cfb/players/jamarvin-hartfield-1.html,LB,2,1,3,4,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Marcus Buckley,marcus-buckley-2,/cfb/players/marcus-buckley-2.html,DL,2,2,2,4,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Zach Stokes,zach-stokes-1,/cfb/players/zach-stokes-1.html,DL,1,1,3,4,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Donovan King,donovan-king-1,/cfb/players/donovan-king-1.html,DL,2,2,1,3,2.0,1.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Jared Wyatt,jared-wyatt-1,/cfb/players/jared-wyatt-1.html,WR,2,0,2,2,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Jonah Johnson,jonah-johnson-1,/cfb/players/jonah-johnson-1.html,QB,2,2,0,2,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
James Blowers,james-blowers-1,/cfb/players/james-blowers-1.html,LB,1,0,2,2,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Chris Bell,chris-bell-4,/cfb/players/chris-bell-4.html,DB,2,0,2,2,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Brennon Davis,brennon-davis-1,/cfb/players/brennon-davis-1.html,LB,1,0,2,2,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Justin Segura,justin-segura-1,/cfb/players/justin-segura-1.html,DL,1,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Antonio Oliver,antonio-oliver-1,/cfb/players/antonio-oliver-1.html,CB,1,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Mike Edwards,mike-edwards-9,/cfb/players/mike-edwards-9.html,LB,1,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Eric Marsh,eric-marsh-2,/cfb/players/eric-marsh-2.html,LB,1,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Ronnie Sanders II,ronnie-sanders-ii-1,/cfb/players/ronnie-sanders-ii-1.html,DB,1,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Dylan Zolezzi,dylan-zolezzi-1,/cfb/players/dylan-zolezzi-1.html,LB,1,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
Austin Reeves,austin-reeves-1,/cfb/players/austin-reeves-1.html,LS,1,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,New Mexico State,2020
