Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Breece Hall,breece-hall-1,/cfb/players/breece-hall-1.html,Iowa State,Big 12,12,279,1572,5.6,21,131.0,23,180,7.8,2,15.0,302,1752,5.8,23,"H-6,AA",2020
Sincere McCormick,sincere-mccormick-1,/cfb/players/sincere-mccormick-1.html,UTSA,CUSA,11,249,1467,5.9,11,133.4,20,131,6.6,0,11.9,269,1598,5.9,11,,2020
Najee Harris,najee-harris-1,/cfb/players/najee-harris-1.html,Alabama,SEC,13,251,1466,5.8,26,112.8,43,425,9.9,4,32.7,294,1891,6.4,30,"H-5,AA",2020
Michael Carter,michael-carter-5,/cfb/players/michael-carter-5.html,North Carolina,ACC,11,156,1245,8.0,9,113.2,25,267,10.7,2,24.3,181,1512,8.4,11,,2020
Khalil Herbert,khalil-herbert-1,/cfb/players/khalil-herbert-1.html,Virginia Tech,ACC,11,154,1182,7.7,8,107.5,10,179,17.9,1,16.3,164,1361,8.3,9,,2020
Javonte Williams,javonte-williams-1,/cfb/players/javonte-williams-1.html,North Carolina,ACC,11,157,1140,7.3,19,103.6,25,305,12.2,3,27.7,182,1445,7.9,22,,2020
Kevin Harris,kevin-harris-5,/cfb/players/kevin-harris-5.html,South Carolina,SEC,10,185,1138,6.2,15,113.8,21,159,7.6,1,15.9,206,1297,6.3,16,,2020
Tyler Allgeier,tyler-allgeier-1,/cfb/players/tyler-allgeier-1.html,BYU,Ind,11,150,1130,7.5,13,102.7,14,174,12.4,0,15.8,164,1304,8.0,13,,2020
Kyren Williams,kyren-williams-1,/cfb/players/kyren-williams-1.html,Notre Dame,ACC,12,211,1125,5.3,13,93.8,35,313,8.9,1,26.1,246,1438,5.8,14,,2020
Camerun Peoples,camerun-peoples-1,/cfb/players/camerun-peoples-1.html,Appalachian State,Sun Belt,12,168,1124,6.7,12,93.7,3,15,5.0,0,1.3,171,1139,6.7,12,,2020
Mohamed Ibrahim,mohamed-ibrahim-1,/cfb/players/mohamed-ibrahim-1.html,Minnesota,Big Ten,7,201,1076,5.4,15,153.7,8,56,7.0,0,8.0,209,1132,5.4,15,,2020
Jaret Patterson,jaret-patterson-1,/cfb/players/jaret-patterson-1.html,Buffalo,MAC,6,141,1072,7.6,19,178.7,0,0,,0,0.0,141,1072,7.6,19,,2020
Isaiah Spiller,isaiah-spiller-1,/cfb/players/isaiah-spiller-1.html,Texas A&M,SEC,10,188,1036,5.5,9,103.6,20,193,9.7,0,19.3,208,1229,5.9,9,,2020
Leddie Brown,leddie-brown-1,/cfb/players/leddie-brown-1.html,West Virginia,Big 12,10,199,1010,5.1,9,101.0,31,202,6.5,2,20.2,230,1212,5.3,11,,2020
Larry Rountree III,larry-rountree-iii-1,/cfb/players/larry-rountree-iii-1.html,Missouri,SEC,10,209,972,4.7,14,97.2,15,100,6.7,0,10.0,224,1072,4.8,14,,2020
Malik Willis,malik-willis-1,/cfb/players/malik-willis-1.html,Liberty,Ind,10,141,944,6.7,14,94.4,0,0,,0,0.0,141,944,6.7,14,,2020
Travis Etienne,travis-etienne-1,/cfb/players/travis-etienne-1.html,Clemson,ACC,12,168,914,5.4,14,76.2,48,588,12.3,2,49.0,216,1502,7.0,16,AA,2020
Ulysses Bentley IV,ulysses-bentley-iv-1,/cfb/players/ulysses-bentley-iv-1.html,SMU,American,10,170,913,5.4,11,91.3,21,174,8.3,1,17.4,191,1087,5.7,12,,2020
Jarek Broussard,jarek-broussard-1,/cfb/players/jarek-broussard-1.html,Colorado,Pac-12,6,156,895,5.7,5,149.2,9,65,7.2,0,10.8,165,960,5.8,5,,2020
