Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Lew Nichols,lew-nichols-1,/cfb/players/lew-nichols-1.html,Central Michigan,MAC,13,341,1848,5.4,16,142.2,40,338,8.5,2,26.0,381,2186,5.7,18,,2021
Kenneth Walker III,kenneth-walker-iii-1,/cfb/players/kenneth-walker-iii-1.html,Michigan State,Big Ten,12,263,1636,6.2,18,136.3,13,89,6.8,1,7.4,276,1725,6.3,19,"H-6,AA,Camp",2021
Abram Smith,abram-smith-1,/cfb/players/abram-smith-1.html,Baylor,Big 12,14,257,1621,6.3,12,115.8,13,75,5.8,0,5.4,270,1696,6.3,12,,2021
Tyler Allgeier,tyler-allgeier-1,/cfb/players/tyler-allgeier-1.html,BYU,Ind,13,276,1606,5.8,23,123.5,28,199,7.1,0,15.3,304,1805,5.9,23,,2021
Tyler Badie,tyler-badie-1,/cfb/players/tyler-badie-1.html,Missouri,SEC,12,268,1604,6.0,14,133.7,54,330,6.1,4,27.5,322,1934,6.0,18,,2021
Sean Tucker,sean-tucker-2,/cfb/players/sean-tucker-2.html,Syracuse,ACC,12,246,1496,6.1,12,124.7,20,255,12.8,2,21.3,266,1751,6.6,14,,2021
Sincere McCormick,sincere-mccormick-1,/cfb/players/sincere-mccormick-1.html,UTSA,CUSA,14,298,1479,5.0,15,105.6,22,184,8.4,0,13.1,320,1663,5.2,15,,2021
Breece Hall,breece-hall-1,/cfb/players/breece-hall-1.html,Iowa State,Big 12,12,253,1464,5.8,20,122.0,36,302,8.4,3,25.2,289,1766,6.1,23,"H-10,AA",2021
Deuce Vaughn,deuce-vaughn-1,/cfb/players/deuce-vaughn-1.html,Kansas State,Big 12,13,235,1404,6.0,18,108.0,49,468,9.6,4,36.0,284,1872,6.6,22,AA,2021
Rasheen Ali,rasheen-ali-1,/cfb/players/rasheen-ali-1.html,Marshall,CUSA,13,250,1401,5.6,23,107.8,46,342,7.4,1,26.3,296,1743,5.9,24,,2021
Bryant Koback,bryant-koback-1,/cfb/players/bryant-koback-1.html,Toledo,MAC,13,208,1400,6.7,15,107.7,30,334,11.1,3,25.7,238,1734,7.3,18,,2021
Christopher Rodriguez Jr.,christopher-rodriguez-jr-1,/cfb/players/christopher-rodriguez-jr-1.html,Kentucky,SEC,13,225,1379,6.1,9,106.1,13,61,4.7,3,4.7,238,1440,6.1,12,,2021
DeWayne McBride,dewayne-mcbride-1,/cfb/players/dewayne-mcbride-1.html,UAB,CUSA,13,204,1371,6.7,13,105.5,3,19,6.3,0,1.5,207,1390,6.7,13,,2021
Brad Roberts,brad-roberts-1,/cfb/players/brad-roberts-1.html,Air Force,MWC,13,299,1356,4.5,13,104.3,0,0,,0,0.0,299,1356,4.5,13,,2021
Brian Robinson Jr.,brian-robinson-jr-1,/cfb/players/brian-robinson-jr-1.html,Alabama,SEC,14,271,1343,5.0,14,95.9,35,296,8.5,2,21.1,306,1639,5.4,16,,2021
B.J. Baylor,bj-baylor-1,/cfb/players/bj-baylor-1.html,Oregon State,Pac-12,13,227,1337,5.9,13,102.8,8,75,9.4,0,5.8,235,1412,6.0,13,,2021
Hassan Haskins,hassan-haskins-1,/cfb/players/hassan-haskins-1.html,Michigan,Big Ten,14,270,1327,4.9,20,94.8,18,131,7.3,0,9.4,288,1458,5.1,20,,2021
Jerome Ford,jerome-ford-1,/cfb/players/jerome-ford-1.html,Cincinnati,American,13,214,1319,6.2,19,101.5,21,220,10.5,1,16.9,235,1539,6.5,20,,2021
Travis Dye,travis-dye-1,/cfb/players/travis-dye-1.html,Oregon,Pac-12,14,211,1271,6.0,16,90.8,46,402,8.7,2,28.7,257,1673,6.5,18,,2021
Braelon Allen,braelon-allen-1,/cfb/players/braelon-allen-1.html,Wisconsin,Big Ten,12,186,1268,6.8,12,105.7,8,39,4.9,0,3.3,194,1307,6.7,12,,2021
Charles Williams,charles-williams-8,/cfb/players/charles-williams-8.html,Nevada-Las Vegas,MWC,12,254,1261,5.0,15,105.1,13,202,15.5,0,16.8,267,1463,5.5,15,,2021
Kennedy Brooks,kennedy-brooks-1,/cfb/players/kennedy-brooks-1.html,Oklahoma,Big 12,13,198,1253,6.3,13,96.4,9,73,8.1,0,5.6,207,1326,6.4,13,,2021
TreVeyon Henderson,treveyon-henderson-1,/cfb/players/treveyon-henderson-1.html,Ohio State,Big Ten,13,183,1248,6.8,15,96.0,27,312,11.6,4,24.0,210,1560,7.4,19,,2021
Mataeo Durant,mataeo-durant-1,/cfb/players/mataeo-durant-1.html,Duke,ACC,12,255,1241,4.9,9,103.4,27,256,9.5,2,21.3,282,1497,5.3,11,,2021
Jaylen Warren,jaylen-warren-1,/cfb/players/jaylen-warren-1.html,Oklahoma State,Big 12,14,256,1216,4.8,11,86.9,25,225,9.0,0,16.1,281,1441,5.1,11,,2021
Deandre Torrey,deandre-torrey-1,/cfb/players/deandre-torrey-1.html,North Texas,CUSA,12,248,1215,4.9,13,101.3,12,115,9.6,1,9.6,260,1330,5.1,14,,2021
Marquez Cooper,marquez-cooper-1,/cfb/players/marquez-cooper-1.html,Kent State,MAC,14,241,1205,5.0,11,86.1,10,95,9.5,0,6.8,251,1300,5.2,11,,2021
