Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Chuba Hubbard,chuba-hubbard-1,/cfb/players/chuba-hubbard-1.html,Oklahoma State,Big 12,13,328,2094,6.4,21,161.1,23,198,8.6,0,15.2,351,2292,6.5,21,"H-8,AA",2019
Malcolm Perry,malcolm-perry-1,/cfb/players/malcolm-perry-1.html,Navy,American,13,295,2017,6.8,21,155.2,0,0,,0,0.0,295,2017,6.8,21,,2019
J.K. Dobbins,jk-dobbins-1,/cfb/players/jk-dobbins-1.html,Ohio State,Big Ten,14,301,2003,6.7,21,143.1,23,247,10.7,2,17.6,324,2250,6.9,23,H-6,2019
Jonathan Taylor,jonathan-taylor-1,/cfb/players/jonathan-taylor-1.html,Wisconsin,Big Ten,14,320,2003,6.3,21,143.1,26,252,9.7,5,18.0,346,2255,6.5,26,"H-5,AA",2019
Jaret Patterson,jaret-patterson-1,/cfb/players/jaret-patterson-1.html,Buffalo,MAC,13,312,1799,5.8,19,138.4,13,209,16.1,1,16.1,325,2008,6.2,20,,2019
AJ Dillon,aj-dillon-1,/cfb/players/aj-dillon-1.html,Boston College,ACC,13,318,1685,5.3,14,129.6,13,195,15.0,1,15.0,331,1880,5.7,15,,2019
Travis Etienne,travis-etienne-1,/cfb/players/travis-etienne-1.html,Clemson,ACC,15,207,1614,7.8,19,107.6,37,432,11.7,4,28.8,244,2046,8.4,23,H-9,2019
Javian Hawkins,javian-hawkins-1,/cfb/players/javian-hawkins-1.html,Louisville,ACC,13,264,1525,5.8,9,117.3,4,58,14.5,0,4.5,268,1583,5.9,9,,2019
Darrynton Evans,darrynton-evans-1,/cfb/players/darrynton-evans-1.html,Appalachian State,Sun Belt,14,255,1480,5.8,18,105.7,21,198,9.4,5,14.1,276,1678,6.1,23,,2019
LeVante Bellamy,levante-bellamy-1,/cfb/players/levante-bellamy-1.html,Western Michigan,MAC,13,266,1472,5.5,23,113.2,15,55,3.7,0,4.2,281,1527,5.4,23,,2019
Lynn Bowden Jr.,lynn-bowden-jr-1,/cfb/players/lynn-bowden-jr-1.html,Kentucky,SEC,13,185,1468,7.9,13,112.9,30,348,11.6,1,26.8,215,1816,8.4,14,AA,2019
Kenny Gainwell,kenny-gainwell-1,/cfb/players/kenny-gainwell-1.html,Memphis,American,14,231,1459,6.3,13,104.2,51,610,12.0,3,43.6,282,2069,7.3,16,,2019
Tra Barnett,tra-barnett-1,/cfb/players/tra-barnett-1.html,Georgia State,Sun Belt,13,248,1453,5.9,12,111.8,16,69,4.3,0,5.3,264,1522,5.8,12,,2019
Zack Moss,zack-moss-1,/cfb/players/zack-moss-1.html,Utah,Pac-12,13,235,1416,6.0,15,108.9,28,388,13.9,2,29.8,263,1804,6.9,17,,2019
Clyde Edwards-Helaire,clyde-edwards-helaire-1,/cfb/players/clyde-edwards-helaire-1.html,LSU,SEC,15,215,1414,6.6,16,94.3,55,453,8.2,1,30.2,270,1867,6.9,17,,2019
Brenden Knox,brenden-knox-1,/cfb/players/brenden-knox-1.html,Marshall,CUSA,13,270,1387,5.1,11,106.7,14,129,9.2,0,9.9,284,1516,5.3,11,,2019
Kylin Hill,kylin-hill-1,/cfb/players/kylin-hill-1.html,Mississippi State,SEC,13,242,1350,5.6,10,103.8,18,180,10.0,1,13.8,260,1530,5.9,11,,2019
Jalen Hurts,jalen-hurts-1,/cfb/players/jalen-hurts-1.html,Oklahoma,Big 12,14,233,1298,5.6,20,92.7,2,25,12.5,1,1.8,235,1323,5.6,21,H-2,2019
Josh Johnson,josh-johnson-8,/cfb/players/josh-johnson-8.html,Louisiana-Monroe,Sun Belt,12,201,1298,6.5,11,108.2,13,122,9.4,0,10.2,214,1420,6.6,11,,2019
Xavier Jones,xavier-jones-2,/cfb/players/xavier-jones-2.html,SMU,American,13,244,1276,5.2,23,98.2,20,90,4.5,2,6.9,264,1366,5.2,25,,2019
Caleb Huntley,caleb-huntley-1,/cfb/players/caleb-huntley-1.html,Ball State,MAC,12,248,1275,5.1,12,106.3,7,25,3.6,0,2.1,255,1300,5.1,12,,2019
Michael Warren II,michael-warren-ii-1,/cfb/players/michael-warren-ii-1.html,Cincinnati,American,14,261,1265,4.8,14,90.4,21,153,7.3,2,10.9,282,1418,5.0,16,,2019
Xazavian Valladay,xazavian-valladay-1,/cfb/players/xazavian-valladay-1.html,Wyoming,MWC,12,247,1265,5.1,6,105.4,11,211,19.2,2,17.6,258,1476,5.7,8,,2019
Charles Williams,charles-williams-8,/cfb/players/charles-williams-8.html,Nevada-Las Vegas,MWC,12,212,1257,5.9,11,104.8,7,54,7.7,0,4.5,219,1311,6.0,11,,2019
Najee Harris,najee-harris-1,/cfb/players/najee-harris-1.html,Alabama,SEC,13,209,1224,5.9,13,94.2,27,304,11.3,7,23.4,236,1528,6.5,20,,2019
CJ Verdell,cj-verdell-1,/cfb/players/cj-verdell-1.html,Oregon,Pac-12,14,197,1220,6.2,8,87.1,14,125,8.9,0,8.9,211,1345,6.4,8,,2019
D'Andre Swift,dandre-swift-1,/cfb/players/dandre-swift-1.html,Georgia,SEC,14,196,1218,6.2,7,87.0,24,216,9.0,1,15.4,220,1434,6.5,8,,2019
Gaej Walker,gaej-walker-1,/cfb/players/gaej-walker-1.html,Western Kentucky,CUSA,13,241,1208,5.0,8,92.9,24,140,5.8,0,10.8,265,1348,5.1,8,,2019
Bryant Koback,bryant-koback-1,/cfb/players/bryant-koback-1.html,Toledo,MAC,12,195,1187,6.1,12,98.9,8,69,8.6,2,5.8,203,1256,6.2,14,,2019
Rodney Smith,rodney-smith-5,/cfb/players/rodney-smith-5.html,Minnesota,Big Ten,13,228,1163,5.1,8,89.5,7,70,10.0,0,5.4,235,1233,5.2,8,,2019
Elijah Mitchell,elijah-mitchell-2,/cfb/players/elijah-mitchell-2.html,Louisiana,Sun Belt,14,198,1147,5.8,16,81.9,10,70,7.0,1,5.0,208,1217,5.9,17,,2019
Cam Akers,cam-akers-1,/cfb/players/cam-akers-1.html,Florida State,ACC,11,231,1144,5.0,14,104.0,30,225,7.5,4,20.5,261,1369,5.2,18,,2019
Rakeem Boyd,rakeem-boyd-2,/cfb/players/rakeem-boyd-2.html,Arkansas,SEC,12,184,1133,6.2,8,94.4,19,160,8.4,0,13.3,203,1293,6.4,8,,2019
Jonathan Ward,jonathan-ward-3,/cfb/players/jonathan-ward-3.html,Central Michigan,MAC,12,183,1108,6.1,15,92.3,34,329,9.7,1,27.4,217,1437,6.6,16,,2019
Jason Huntley,jason-huntley-1,/cfb/players/jason-huntley-1.html,New Mexico State,Ind,12,154,1090,7.1,9,90.8,40,192,4.8,2,16.0,194,1282,6.6,11,,2019
C.J. Marable,torrance-marable-1,/cfb/players/torrance-marable-1.html,Coastal Carolina,Sun Belt,12,204,1085,5.3,11,90.4,38,295,7.8,3,24.6,242,1380,5.7,14,,2019
Eno Benjamin,eno-benjamin-1,/cfb/players/eno-benjamin-1.html,Arizona State,Pac-12,12,253,1083,4.3,10,90.3,42,347,8.3,2,28.9,295,1430,4.8,12,,2019
Ben LeMay,ben-lemay-1,/cfb/players/ben-lemay-1.html,Charlotte,CUSA,11,193,1082,5.6,9,98.4,19,242,12.7,4,22.0,212,1324,6.2,13,,2019
Kobe Lewis,kobe-lewis-1,/cfb/players/kobe-lewis-1.html,Central Michigan,MAC,14,182,1074,5.9,12,76.7,23,164,7.1,0,11.7,205,1238,6.0,12,,2019
Justin Henderson,justin-henderson-2,/cfb/players/justin-henderson-2.html,Louisiana Tech,CUSA,13,188,1062,5.6,15,81.7,24,200,8.3,1,15.4,212,1262,6.0,16,,2019
Pooka Williams,pooka-williams-1,/cfb/players/pooka-williams-1.html,Kansas,Big 12,11,203,1061,5.2,3,96.5,27,214,7.9,2,19.5,230,1275,5.5,5,,2019
Joshua Kelley,joshua-kelley-1,/cfb/players/joshua-kelley-1.html,UCLA,Pac-12,11,229,1060,4.6,12,96.4,11,71,6.5,1,6.5,240,1131,4.7,13,,2019
Asher O'Hara,asher-ohara-1,/cfb/players/asher-ohara-1.html,Middle Tennessee State,CUSA,12,199,1058,5.3,9,88.2,0,-5,,0,-0.4,199,1053,5.3,9,,2019
Tra Minter,tra-minter-1,/cfb/players/tra-minter-1.html,South Alabama,Sun Belt,12,193,1057,5.5,5,88.1,32,209,6.5,0,17.4,225,1266,5.6,5,,2019
Kadin Remsberg,kadin-remsberg-1,/cfb/players/kadin-remsberg-1.html,Air Force,MWC,13,181,1050,5.8,8,80.8,3,24,8.0,0,1.8,184,1074,5.8,8,,2019
Shamari Brooks,shamari-brooks-1,/cfb/players/shamari-brooks-1.html,Tulsa,American,12,227,1046,4.6,6,87.2,9,49,5.4,1,4.1,236,1095,4.6,7,,2019
Frankie Hickson,frankie-hickson-1,/cfb/players/frankie-hickson-1.html,Liberty,Ind,13,187,1041,5.6,12,80.1,11,96,8.7,1,7.4,198,1137,5.7,13,,2019
