Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Brad Roberts,brad-roberts-1,/cfb/players/brad-roberts-1.html,Air Force,MWC,13,345,1728,5.0,17,132.9,1,9,9.0,0,0.7,346,1737,5.0,17,,2022
DeWayne McBride,dewayne-mcbride-1,/cfb/players/dewayne-mcbride-1.html,UAB,CUSA,11,233,1713,7.4,19,155.7,2,10,5.0,0,0.9,235,1723,7.3,19,,2022
Mohamed Ibrahim,mohamed-ibrahim-1,/cfb/players/mohamed-ibrahim-1.html,Minnesota,Big Ten,12,320,1665,5.2,20,138.8,7,50,7.1,0,4.2,327,1715,5.2,20,,2022
Chase Brown,chase-brown-3,/cfb/players/chase-brown-3.html,Illinois,Big Ten,12,328,1643,5.0,10,136.9,27,240,8.9,3,20.0,355,1883,5.3,13,,2022
Tyjae Spears,tyjae-spears-1,/cfb/players/tyjae-spears-1.html,Tulane,American,14,229,1581,6.9,19,112.9,22,256,11.6,2,18.3,251,1837,7.3,21,,2022
Bijan Robinson,bijan-robinson-1,/cfb/players/bijan-robinson-1.html,Texas,Big 12,12,258,1580,6.1,18,131.7,19,314,16.5,2,26.2,277,1894,6.8,20,"H-9,AA",2022
Quinshon Judkins,quinshon-judkins-1,/cfb/players/quinshon-judkins-1.html,Ole Miss,SEC,13,274,1567,5.7,16,120.5,15,132,8.8,1,10.2,289,1699,5.9,17,,2022
Deuce Vaughn,deuce-vaughn-1,/cfb/players/deuce-vaughn-1.html,Kansas State,Big 12,14,293,1558,5.3,9,111.3,42,378,9.0,3,27.0,335,1936,5.8,12,AA,2022
Carson Steele,carson-steele-1,/cfb/players/carson-steele-1.html,Ball State,MAC,12,289,1556,5.4,14,129.7,29,166,5.7,1,13.8,318,1722,5.4,15,,2022
Khalan Laborn,khalan-laborn-2,/cfb/players/khalan-laborn-2.html,Marshall,Sun Belt,13,302,1513,5.0,16,116.4,16,116,7.3,0,8.9,318,1629,5.1,16,,2022
Blake Corum,blake-corum-1,/cfb/players/blake-corum-1.html,Michigan,Big Ten,12,247,1463,5.9,18,121.9,11,80,7.3,1,6.7,258,1543,6.0,19,"H-7,AA",2022
Keaton Mitchell,keaton-mitchell-1,/cfb/players/keaton-mitchell-1.html,East Carolina,American,12,201,1452,7.2,14,121.0,27,252,9.3,1,21.0,228,1704,7.5,15,,2022
Raheim Sanders,raheim-sanders-1,/cfb/players/raheim-sanders-1.html,Arkansas,SEC,13,222,1443,6.5,10,111.0,28,271,9.7,2,20.8,250,1714,6.9,12,,2022
Israel Abanikanda,israel-abanikanda-1,/cfb/players/israel-abanikanda-1.html,Pitt,ACC,11,239,1431,6.0,20,130.1,12,146,12.2,1,13.3,251,1577,6.3,21,,2022
Kendre Miller,kendre-miller-1,/cfb/players/kendre-miller-1.html,Texas Christian,Big 12,14,224,1399,6.2,17,99.9,16,116,7.3,0,8.3,240,1515,6.3,17,,2022
Frank Gore Jr.,frank-gore-jr-1,/cfb/players/frank-gore-jr-1.html,Southern Mississippi,Sun Belt,13,228,1382,6.1,9,106.3,19,219,11.5,0,16.8,247,1601,6.5,9,,2022
Jordan Mims,jordan-mims-1,/cfb/players/jordan-mims-1.html,Fresno State,MWC,14,261,1372,5.3,18,98.0,21,126,6.0,1,9.0,282,1498,5.3,19,,2022
