team_name,team_norm
AIR FORCE,air force
AKRON,akron
ALABAMA,alabama
APP STATE,app state
ARIZONA,arizona
ARIZONA ST,arizona st
ARK STATE,ark state
ARKANSAS,arkansas
ARMY,army
AUBURN,auburn
BALL ST,ball st
BAYLOR,baylor
BOISE ST,boise st
BOSTON COL,boston col
BOWL GREEN,bowl green
BUFFALO,buffalo
BYU,byu
C MICHIGAN,c michigan
CAL,cal
CHARLOTTE,charlotte
CINCINNATI,cincinnati
CLEMSON,clemson
COAST CAR,coast car
COLO STATE,colo state
COLORADO,colorado
DELAWARE,delaware
DOMINION,dominion
DUKE,duke
E CAROLINA,e carolina
E MICHIGAN,e michigan
FAU,fau
FIU,fiu
FLORIDA,florida
FLORIDA ST,florida st
FRESNO ST,fresno st
GA SOUTHRN,ga southrn
GA STATE,ga state
GA TECH,ga tech
GEORGIA,georgia
HAWAII,hawaii
HOUSTON,houston
IDAHO,idaho
ILLINOIS,illinois
INDIANA,indiana
IOWA,iowa
IOWA STATE,iowa state
JAMES MAD,james mad
JVILLE ST,jville st
KANSAS,kansas
KANSAS ST,kansas st
KENNESAW,kennesaw
KENT STATE,kent state
KENTUCKY,kentucky
LA LAFAYET,la lafayet
LA MONROE,la monroe
LA TECH,la tech
LIBERTY,liberty
LOUISVILLE,louisville
LSU,lsu
MARSHALL,marshall
MARYLAND,maryland
MEMPHIS,memphis
MIAMI FL,miami fl
MIAMI OH,miami oh
MICH STATE,mich state
MICHIGAN,michigan
MIDDLE TN,middle tn
MINNESOTA,minnesota
MISS STATE,miss state
MISSOURI,missouri
MO STATE,mo state
N CAROLINA,n carolina
N ILLINOIS,n illinois
N TEXAS,n texas
NAVY,navy
NC STATE,nc state
NEBRASKA,nebraska
NEVADA,nevada
NEW MEX ST,new mex st
NEW MEXICO,new mexico
NOTRE DAME,notre dame
NWESTERN,nwestern
OHIO,ohio
OHIO STATE,ohio state
OKLA STATE,okla state
OKLAHOMA,oklahoma
OLE MISS,ole miss
OREGON,oregon
OREGON ST,oregon st
PENN STATE,penn state
PITTSBURGH,pittsburgh
PURDUE,purdue
RICE,rice
RUTGERS,rutgers
S ALABAMA,s alabama
S CAROLINA,s carolina
S DIEGO ST,s diego st
S JOSE ST,s jose st
SM HOUSTON,sm houston
SMU,smu
SO MISS,so miss
STANFORD,stanford
SYRACUSE,syracuse
TCU,tcu
TEMPLE,temple
TENNESSEE,tennessee
TEXAS,texas
TEXAS A&M,texas a and m
TEXAS ST,texas st
TEXAS TECH,texas tech
TOLEDO,toledo
TROY,troy
TULANE,tulane
TULSA,tulsa
UAB,uab
UCF,ucf
UCLA,ucla
UCONN,uconn
UMASS,umass
UNLV,unlv
USC,usc
USF,usf
UTAH,utah
UTAH ST,utah st
UTEP,utep
UTSA,utsa
VA TECH,va tech
VANDERBILT,vanderbilt
VIRGINIA,virginia
W GEORGIA,w georgia
W KENTUCKY,w kentucky
W MICHIGAN,w michigan
W VIRGINIA,w virginia
WAKE,wake
WASH STATE,wash state
WASHINGTON,washington
WISCONSIN,wisconsin
WYOMING,wyoming
