season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2015,BYU,FBS Independents,275.0,245.0,11.0,10.0,21.0,20.0,8.0,7.0,7.0,8.0,13.0,2.0,3.0,231.0,276.0,12.0,15.0,0.0,0.0,727.0,921.0,34.0,44.0,3854.0,2630.0,504.0,407.0,302.0,226.0,15.0,12.0,26.0,12.0,85.0,86.0,750.0,763.0,22372.0,24428.0,0.0,1.0,217.0,260.0,26.0,23.0,413.0,511.0,28.0,22.0,1668.0,1864.0,,,,,73.0,76.0,184.0,200.0,5522.0,4494.0,20.0,22.0
2015,Ball State,Mid-American,250.0,287.0,12.0,9.0,23.0,17.0,6.0,9.0,9.0,6.0,12.0,0.0,1.0,3.0,136.0,9.0,7.0,1.0,0.0,1275.0,715.0,50.0,40.0,2619.0,3510.0,459.0,408.0,263.0,289.0,7.0,9.0,17.0,26.0,44.0,93.0,425.0,812.0,20606.0,22594.0,0.0,0.0,127.0,136.0,14.0,13.0,437.0,512.0,15.0,29.0,1840.0,2706.0,,,,,76.0,95.0,199.0,185.0,4459.0,6216.0,15.0,16.0
2015,Baylor,Big 12,382.0,274.0,28.0,9.0,40.0,23.0,13.0,12.0,12.0,13.0,13.0,0.0,0.0,137.0,187.0,13.0,14.0,0.0,1.0,675.0,1406.0,31.0,62.0,3764.0,3035.0,389.0,442.0,229.0,255.0,14.0,13.0,44.0,30.0,118.0,102.0,1043.0,840.0,21733.0,25067.0,0.0,0.0,64.0,28.0,15.0,8.0,714.0,552.0,41.0,17.0,4247.0,2120.0,,,,,91.0,74.0,195.0,202.0,8011.0,5155.0,26.0,26.0
2015,Boise State,Mountain West,344.0,205.0,17.0,11.0,27.0,20.0,10.0,9.0,9.0,10.0,13.0,2.0,2.0,211.0,254.0,12.0,22.0,0.0,1.0,609.0,805.0,29.0,36.0,4032.0,2731.0,526.0,411.0,334.0,220.0,22.0,12.0,24.0,14.0,82.0,93.0,691.0,787.0,24864.0,21936.0,0.0,1.0,170.0,137.0,32.0,12.0,553.0,440.0,36.0,14.0,2488.0,1407.0,,,,,87.0,60.0,211.0,194.0,6520.0,4138.0,22.0,31.0
2015,Boston College,ACC,174.0,166.0,5.0,1.0,13.0,5.0,11.0,10.0,10.0,11.0,12.0,1.0,0.0,63.0,107.0,9.0,13.0,0.0,1.0,806.0,634.0,32.0,32.0,1334.0,2058.0,249.0,334.0,111.0,173.0,13.0,9.0,8.0,9.0,78.0,78.0,682.0,637.0,21543.0,21177.0,1.0,0.0,230.0,53.0,36.0,33.0,502.0,416.0,17.0,6.0,1973.0,994.0,,,,,46.0,42.0,172.0,175.0,3307.0,3052.0,20.0,23.0
2015,Bowling Green,Mid-American,389.0,327.0,16.0,15.0,30.0,31.0,7.0,7.0,7.0,7.0,14.0,1.0,1.0,245.0,130.0,8.0,20.0,0.0,1.0,770.0,1186.0,46.0,56.0,5135.0,3296.0,594.0,492.0,398.0,290.0,20.0,8.0,47.0,19.0,123.0,88.0,1123.0,847.0,23456.0,26944.0,0.0,1.0,90.0,270.0,14.0,15.0,542.0,592.0,34.0,27.0,2520.0,2553.0,,,,,105.0,91.0,210.0,224.0,7655.0,5849.0,15.0,27.0
2015,Buffalo,Mid-American,246.0,245.0,15.0,12.0,23.0,28.0,4.0,7.0,7.0,4.0,12.0,5.0,2.0,278.0,175.0,16.0,13.0,0.0,0.0,581.0,894.0,35.0,40.0,2994.0,2728.0,455.0,385.0,283.0,217.0,13.0,16.0,16.0,18.0,84.0,75.0,768.0,719.0,22375.0,20825.0,1.0,0.0,116.0,168.0,10.0,19.0,425.0,491.0,17.0,23.0,1643.0,2233.0,,,,,68.0,70.0,188.0,178.0,4637.0,4961.0,20.0,20.0
2015,California,Pac-12,341.0,288.0,13.0,10.0,26.0,17.0,9.0,12.0,12.0,9.0,13.0,2.0,1.0,65.0,154.0,14.0,15.0,0.0,1.0,892.0,1340.0,43.0,65.0,4892.0,3171.0,550.0,402.0,352.0,239.0,16.0,14.0,44.0,21.0,67.0,87.0,568.0,825.0,22726.0,24126.0,0.0,0.0,82.0,62.0,17.0,6.0,439.0,565.0,16.0,24.0,1987.0,2727.0,,,,,84.0,83.0,179.0,193.0,6879.0,5898.0,23.0,27.0
2015,Central Michigan,Mid-American,271.0,223.0,10.0,11.0,16.0,23.0,5.0,11.0,11.0,5.0,13.0,0.0,2.0,0.0,162.0,11.0,7.0,0.0,1.0,707.0,932.0,38.0,40.0,3905.0,2509.0,495.0,388.0,326.0,226.0,6.0,11.0,25.0,17.0,81.0,68.0,703.0,596.0,25683.0,21101.0,0.0,0.0,52.0,98.0,12.0,19.0,420.0,453.0,16.0,17.0,1307.0,1810.0,,,,,84.0,63.0,193.0,177.0,5212.0,4319.0,16.0,18.0
2015,Charlotte,Conference USA,234.0,253.0,12.0,11.0,23.0,20.0,12.0,12.0,12.0,12.0,12.0,1.0,4.0,30.0,430.0,23.0,10.0,1.0,1.0,1037.0,829.0,53.0,35.0,2089.0,2741.0,375.0,407.0,196.0,240.0,10.0,23.0,12.0,25.0,64.0,73.0,652.0,656.0,20411.0,22789.0,0.0,2.0,78.0,95.0,23.0,16.0,562.0,500.0,9.0,23.0,1957.0,2275.0,,,,,71.0,75.0,209.0,197.0,4046.0,5016.0,35.0,22.0
