id,team,name,firstName,lastName,weight,height,jersey,position,hometown,teamColor,teamColorSecondary,season
-1042336,Washington State,Aaron Porter,Aaron,Porter,242.0,75.0,43.0,LB,Norwalk,#981e32,#ffffff,2015
3120767,South Dakota,Aaron Ramsey,Aaron,Ramsey,225.0,75.0,80.0,TE,Lewisville,#CD1241,#f0f0f0,2015
-1029429,Pittsburgh,Aaron Reese,Aaron,Reese,310.0,77.0,60.0,OL,Chambersburg,#003263,#231f20,2015
3914379,Louisiana Tech,Aaron Roberson,Aaron,Roberson,200.0,69.0,30.0,CB,Shreveport,#002d65,#d3313a,2015
3124010,Syracuse,Aaron Roberts,Aaron,Roberts,292.0,76.0,59.0,OL,Chicago,#ff6500,#000e54,2015
4040979,Alabama,Aaron Robinson,Aaron,Robinson,193.0,73.0,31.0,DB,Deerfield Beach,#9e1632,#ffffff,2015
-1036938,Tulane,Aaron Root,Aaron,Root,175.0,68.0,69.0,P,Tampa,#006547,#468ac9,2015
-1033887,Temple,Aaron Ruff,Aaron,Ruff,300.0,75.0,78.0,OL,Philadelphia,#A80532,#a7a9ac,2015
-1038292,UCLA,Aaron Sharp,Aaron,Sharp,205.0,75.0,15.0,WR,Humble,#2774ae,#f2a900,2015
3128607,Texas State,Aaron Shaw,Aaron,Shaw,,70.0,9.0,DB,Spring,#4e1719,#b4975a,2015
4255987,Oregon State,Aaron Short,Aaron,Short,208.0,73.0,19.0,WR,Fairfield,#231f20,#d73f09,2015
531763,Ball State,Aaron Taylor,Aaron,Taylor,,71.0,7.0,LB,Lawrenceville,#DA0000,#ffffff,2015
3124952,UL Monroe,Aaron Townsend,Aaron,Townsend,174.0,72.0,31.0,CB,Fort Worth,#231F20,#b18445,2015
3125366,Utah State,Aaron Wade,Aaron,Wade,210.0,73.0,4.0,S,Lithia,#00263a,#949ca1,2015
-1038297,UCLA,Aaron Wallace,Aaron,Wallace,240.0,75.0,51.0,LB,San Diego,#2774ae,#f2a900,2015
-1031405,San José State,Aaron Watkins,Aaron,Watkins,219.0,72.0,45.0,LB,San Diego,#005893,#fdba31,2015
3700042,Nebraska,Aaron Williams,Aaron,Williams,190.0,71.0,24.0,DB,Atlanta,#d00000,#ffffff,2015
-1025089,NC State,Aaron Wiltz,Aaron,Wiltz,307.0,77.0,78.0,G,Baton Rouge,#cc0000,#ffffff,2015
