year,school_id,school,conference,rank,overall_w,overall_l,overall_pct,conf_w,conf_l,conf_pct,offense_ppg,defense_ppg,srs,sos,ap_pre,ap_high,ap_post,notes
2016,appalachian-state,Appalachian State,Sun Belt,118,10,3,.769,7,1,.875,29.2,17.8,8.83,-2.87,,,,
2016,georgia-southern,Georgia Southern,Sun Belt,119,5,7,.417,4,4,.500,26.6,26.5,-4.40,-2.40,,,,
2016,arkansas-state,Arkansas State,Sun Belt,120,8,5,.615,7,1,.875,27.3,21.5,-0.56,-5.64,,,,
2016,troy,Troy,Sun Belt,121,10,3,.769,6,2,.750,33.7,22.1,4.10,-4.67,,25,,
2016,idaho,Idaho,Sun Belt,122,9,4,.692,6,2,.750,30.8,31.3,-1.19,-3.81,,,,
2016,louisiana-lafayette,Louisiana,Sun Belt,123,6,7,.462,5,3,.625,23.6,25.3,-6.18,-4.95,,,,
2016,louisiana-monroe,Louisiana-Monroe,Sun Belt,124,4,8,.333,3,5,.375,23.3,39.1,-11.97,-2.55,,,,
2016,south-alabama,South Alabama,Sun Belt,125,6,7,.462,2,6,.250,25.4,27.0,-5.80,-5.26,,,,
2016,georgia-state,Georgia State,Sun Belt,126,3,9,.250,2,6,.250,19.9,26.6,-9.37,-3.20,,,,
2016,new-mexico-state,New Mexico State,Sun Belt,127,3,9,.250,2,6,.250,24.8,38.8,-12.88,-2.29,,,,
2016,texas-state,Texas State,Sun Belt,128,2,10,.167,0,8,.000,18.6,41.1,-18.86,-3.36,,,,
2017,clemson,Clemson,ACC (Atlantic),1,12,2,.857,7,1,.875,33.3,13.6,20.62,6.84,5,1,4,
2017,north-carolina-state,North Carolina State,ACC (Atlantic),2,9,4,.692,6,2,.750,32.2,25.2,12.17,5.55,,14,23,
2017,louisville,Louisville,ACC (Atlantic),3,8,5,.615,4,4,.500,38.1,27.4,9.67,3.75,16,14,,
2017,wake-forest,Wake Forest,ACC (Atlantic),4,8,5,.615,4,4,.500,35.3,28.3,11.42,6.03,,,,
2017,boston-college,Boston College,ACC (Atlantic),5,7,6,.538,4,4,.500,25.7,22.8,9.39,7.08,,,,
2017,florida-state,Florida State,ACC (Atlantic),6,7,6,.538,3,5,.375,27.8,21.2,8.07,5.76,3,3,,
2017,syracuse,Syracuse,ACC (Atlantic),7,4,8,.333,2,6,.250,27.4,32.2,1.96,5.80,,,,
2017,virginia-tech,Virginia Tech,ACC (Coastal),9,9,4,.692,5,3,.625,28.2,14.8,10.56,2.41,21,12,24,
2017,georgia-tech,Georgia Tech,ACC (Coastal),10,5,6,.455,4,4,.500,28.1,26.5,6.38,5.93,,,,
2017,duke,Duke,ACC (Coastal),11,7,6,.538,3,5,.375,26.5,20.2,7.23,3.23,,,,
2017,virginia,Virginia,ACC (Coastal),12,6,7,.462,3,5,.375,22.5,28.4,-0.06,3.55,,,,
2017,pittsburgh,Pitt,ACC (Coastal),13,5,7,.417,3,5,.375,23.9,26.6,1.21,4.13,,,,
2017,north-carolina,North Carolina,ACC (Coastal),14,3,9,.250,1,7,.125,26.0,31.3,-1.82,4.10,,,,
2017,central-florida,UCF,American (East),15,13,0,1.000,8,0,1.000,48.2,25.3,16.90,-0.80,,6,6,
2017,south-florida,South Florida,American (East),16,10,2,.833,6,2,.750,38.3,23.5,7.27,-5.56,19,16,21,
2017,temple,Temple,American (East),17,7,6,.538,4,4,.500,25.1,25.8,-0.81,-1.57,,,,
2017,cincinnati,Cincinnati,American (East),18,4,8,.333,2,6,.250,20.9,31.8,-9.59,-0.76,,,,
2017,connecticut,Connecticut,American (East),19,3,9,.250,2,6,.250,23.6,37.9,-12.29,-0.12,,,,
2017,east-carolina,East Carolina,American (East),20,3,9,.250,2,6,.250,24.9,45.0,-12.37,-0.04,,,,
2017,houston,Houston,American (West),22,7,5,.583,5,3,.625,28.3,23.8,2.63,-0.70,,,,
2017,navy,Navy,American (West),23,7,6,.538,4,4,.500,30.5,26.3,5.69,2.69,,25,,
2017,southern-methodist,SMU,American (West),24,7,6,.538,4,4,.500,37.8,36.7,0.71,-0.76,,,,
2017,tulane,Tulane,American (West),25,5,7,.417,3,5,.375,27.5,29.2,-2.24,-0.57,,,,
2017,tulsa,Tulsa,American (West),26,2,10,.167,1,7,.125,29.3,37.5,-7.46,0.04,,,,
2017,oklahoma,Oklahoma,Big 12,27,12,2,.857,8,1,.889,45.1,27.1,19.05,5.26,7,2,3,
2017,texas-christian,Texas Christian,Big 12,28,11,3,.786,7,2,.778,33.6,19.0,14.71,3.92,,4,9,
2017,oklahoma-state,Oklahoma State,Big 12,29,10,3,.769,6,3,.667,45.0,29.4,13.09,3.02,10,6,14,
2017,iowa-state,Iowa State,Big 12,30,8,5,.615,5,4,.556,29.2,20.9,9.77,3.85,,14,,
2017,kansas-state,Kansas State,Big 12,31,8,5,.615,5,4,.556,32.3,25.2,5.84,1.07,20,18,,
2017,texas,Texas,Big 12,32,7,6,.538,5,4,.556,29.5,21.2,8.21,3.91,23,23,,
2017,west-virginia,West Virginia,Big 12,33,7,6,.538,5,4,.556,34.5,31.5,4.84,3.07,22,22,,
2017,texas-tech,Texas Tech,Big 12,34,6,7,.462,3,6,.333,34.3,32.2,3.01,4.01,,24,,
2017,baylor,Baylor,Big 12,35,1,11,.083,1,8,.111,24.3,35.9,-6.47,4.12,,,,
2017,kansas,Kansas,Big 12,36,1,11,.083,0,9,.000,18.7,43.4,-12.35,4.23,,,,
2017,ohio-state,Ohio State,Big Ten (East),37,12,2,.857,8,1,.889,41.1,19.0,21.82,7.89,2,2,5,
2017,penn-state,Penn State,Big Ten (East),38,11,2,.846,7,2,.778,41.1,16.5,21.62,6.31,6,2,8,
2017,michigan-state,Michigan State,Big Ten (East),39,10,3,.769,7,2,.778,24.5,20.0,13.83,7.68,,13,15,
2017,michigan,Michigan,Big Ten (East),40,8,5,.615,5,4,.556,25.2,18.8,13.44,6.98,11,7,,
2017,rutgers,Rutgers,Big Ten (East),41,4,8,.333,3,6,.333,18.0,28.3,-2.27,6.15,,,,
2017,indiana,Indiana,Big Ten (East),42,5,7,.417,2,7,.222,26.8,25.3,4.74,4.90,,,,
2017,maryland,Maryland,Big Ten (East),43,4,8,.333,2,7,.222,24.1,37.1,1.03,9.78,,,,
2017,northwestern,Northwestern,Big Ten (West),45,10,3,.769,7,2,.778,29.2,20.1,11.36,5.13,,17,17,
2017,iowa,Iowa,Big Ten (West),46,8,5,.615,4,5,.444,28.2,19.9,14.66,8.74,,25,,
2017,purdue,Purdue,Big Ten (West),47,7,6,.538,4,5,.444,25.2,20.5,9.74,6.21,,,,
2017,nebraska,Nebraska,Big Ten (West),48,4,8,.333,3,6,.333,25.8,36.4,1.52,8.18,,,,
2017,minnesota,Minnesota,Big Ten (West),49,5,7,.417,2,7,.222,22.1,22.8,3.36,4.78,,,,
2017,illinois,Illinois,Big Ten (West),50,2,10,.167,0,9,.000,15.4,31.5,-7.87,5.38,,,,
2017,florida-atlantic,Florida Atlantic,CUSA (East),51,11,3,.786,8,0,1.000,40.6,22.7,8.01,-4.78,,,,
2017,western-kentucky,Western Kentucky,CUSA (East),52,6,7,.462,4,4,.500,25.5,26.8,-10.99,-9.61,,,,
2017,florida-international,Florida International,CUSA (East),53,8,5,.615,5,3,.625,25.6,28.5,-6.75,-6.36,,,,
2017,marshall,Marshall,CUSA (East),54,8,5,.615,4,4,.500,26.7,19.9,-1.13,-6.44,,,,
2017,middle-tennessee-state,Middle Tennessee State,CUSA (East),55,7,6,.538,4,4,.500,25.5,24.7,-6.48,-6.86,,,,
2017,old-dominion,Old Dominion,CUSA (East),56,5,7,.417,3,5,.375,20.7,31.7,-13.95,-6.53,,,,
2017,charlotte,Charlotte,CUSA (East),57,1,11,.083,1,7,.125,14.2,32.8,-20.25,-6.00,,,,
2017,southern-mississippi,Southern Mississippi,CUSA (West),59,8,5,.615,6,2,.750,29.2,24.5,-5.49,-8.18,,,,
2017,alabama-birmingham,UAB,CUSA (West),60,8,5,.615,6,2,.750,27.8,25.6,-8.08,-10.62,,,,
2017,louisiana-tech,Louisiana Tech,CUSA (West),61,7,6,.538,4,4,.500,30.5,25.4,-2.44,-5.98,,,,
2017,texas-san-antonio,UTSA,CUSA (West),62,6,5,.545,3,5,.375,23.5,17.0,-5.78,-10.33,,,,
2017,rice,Rice,CUSA (West),63,1,11,.083,1,7,.125,16.3,35.8,-18.37,-4.29,,,,
2017,texas-el-paso,UTEP,CUSA (West),64,0,12,.000,0,8,.000,11.8,36.8,-23.75,-3.67,,,,
2017,massachusetts,Massachusetts,Ind,65,4,8,.333,,,,30.6,31.8,-9.36,-7.03,,,,
2017,army,Army,Ind,66,10,3,.769,,,,30.7,22.0,3.69,-3.00,,,,
2017,notre-dame,Notre Dame,Ind,67,10,3,.769,,,,34.2,21.5,19.41,8.94,,3,11,
2017,brigham-young,BYU,Ind,68,4,9,.308,,,,17.1,24.7,-8.06,-1.37,,,,
2017,akron,Akron,MAC (East),69,7,7,.500,6,2,.750,22.1,28.0,-4.82,-1.96,,,,
2017,ohio,Ohio,MAC (East),70,9,4,.692,5,3,.625,39.1,24.2,1.99,-6.78,,,,
2017,buffalo,Buffalo,MAC (East),71,6,6,.500,4,4,.500,28.5,24.8,-2.92,-5.34,,,,
2017,miami-oh,Miami (OH),MAC (East),72,5,7,.417,4,4,.500,24.4,24.1,-6.04,-6.21,,,,
2017,bowling-green-state,Bowling Green,MAC (East),73,2,10,.167,2,6,.250,25.3,38.0,-13.11,-2.36,,,,
2017,kent-state,Kent State,MAC (East),74,2,10,.167,1,7,.125,12.8,35.1,-17.66,-1.75,,,,
2017,central-michigan,Central Michigan,MAC (West),76,8,5,.615,6,2,.750,28.5,27.5,-5.03,-4.80,,,,
2017,northern-illinois,Northern Illinois,MAC (West),77,8,5,.615,6,2,.750,28.9,22.0,0.91,-4.32,,,,
2017,western-michigan,Western Michigan,MAC (West),78,6,6,.500,4,4,.500,33.9,29.0,-2.87,-4.37,,,,
2017,eastern-michigan,Eastern Michigan,MAC (West),79,5,7,.417,3,5,.375,26.1,23.3,-4.09,-4.76,,,,
2017,ball-state,Ball State,MAC (West),80,2,10,.167,0,8,.000,17.9,40.7,-19.27,-5.52,,,,
2017,boise-state,Boise State,MWC (Mountain),81,11,3,.786,7,1,.875,32.5,22.9,8.67,-0.48,,22,22,
2017,wyoming,Wyoming,MWC (Mountain),82,8,5,.615,5,3,.625,23.5,17.5,0.04,-4.65,,,,
2017,colorado-state,Colorado State,MWC (Mountain),83,7,6,.538,5,3,.625,33.4,27.8,-0.87,-4.95,,,,
2017,utah-state,Utah State,MWC (Mountain),84,6,7,.462,4,4,.500,30.2,26.9,-2.18,-3.72,,,,
2017,air-force,Air Force,MWC (Mountain),85,5,7,.417,4,4,.500,31.4,32.4,-4.77,-1.02,,,,
2017,new-mexico,New Mexico,MWC (Mountain),86,3,9,.250,1,7,.125,20.7,31.8,-10.38,-2.38,,,,
2017,san-diego-state,San Diego State,MWC (West),88,10,3,.769,6,2,.750,30.8,20.2,5.05,-3.87,,19,,
2017,nevada-las-vegas,Nevada-Las Vegas,MWC (West),89,5,7,.417,4,4,.500,28.8,31.8,-7.92,-5.42,,,,
2017,nevada,Nevada,MWC (West),90,3,9,.250,3,5,.375,28.2,33.9,-9.25,-2.00,,,,
2017,hawaii,Hawaii,MWC (West),91,3,9,.250,1,7,.125,22.8,33.9,-13.76,-5.34,,,,
2017,san-jose-state,San Jose State,MWC (West),92,2,11,.154,1,7,.125,15.8,41.7,-18.40,-2.32,,,,
2017,washington,Washington,Pac-12 (North),93,10,3,.769,7,2,.778,36.2,16.1,16.22,1.61,8,5,16,
2017,stanford,Stanford,Pac-12 (North),94,9,5,.643,7,2,.778,32.4,22.7,10.84,4.92,14,14,20,
2017,washington-state,Washington State,Pac-12 (North),95,9,4,.692,6,3,.667,30.3,25.8,6.62,2.39,24,8,,
2017,oregon,Oregon,Pac-12 (North),96,7,6,.538,4,5,.444,36.0,29.0,4.66,1.89,,24,,
2017,california,California,Pac-12 (North),97,5,7,.417,2,7,.222,27.8,28.4,-0.16,1.76,,,,
2017,oregon-state,Oregon State,Pac-12 (North),98,1,11,.083,0,9,.000,20.7,43.0,-13.57,3.27,,,,
2017,arizona-state,Arizona State,Pac-12 (South),100,7,6,.538,6,3,.667,31.8,32.8,3.80,3.72,,,,
2017,arizona,Arizona,Pac-12 (South),101,7,6,.538,5,4,.556,41.3,34.4,3.17,-0.98,,23,,
2017,ucla,UCLA,Pac-12 (South),102,6,7,.462,4,5,.444,32.5,36.6,0.64,4.41,,25,,
2017,utah,Utah,Pac-12 (South),103,7,6,.538,3,6,.333,29.5,23.2,5.07,1.22,,20,,
2017,colorado,Colorado,Pac-12 (South),104,5,7,.417,2,7,.222,26.4,28.2,-2.61,-0.36,,,,
2017,georgia,Georgia,SEC (East),105,13,2,.867,7,1,.875,35.4,16.4,22.47,7.01,15,2,2,
2017,south-carolina,South Carolina,SEC (East),106,9,4,.692,5,3,.625,24.2,20.7,7.77,3.85,,,,
2017,kentucky,Kentucky,SEC (East),107,7,6,.538,4,4,.500,25.5,28.2,1.30,2.92,,,,
2017,missouri,Missouri,SEC (East),108,7,6,.538,4,4,.500,37.5,31.8,4.28,1.44,,,,
2017,florida,Florida,SEC (East),109,4,7,.364,3,5,.375,22.1,27.3,0.83,5.37,17,17,,
2017,vanderbilt,Vanderbilt,SEC (East),110,5,7,.417,1,7,.125,24.6,31.3,-2.11,2.30,,,,
2017,tennessee,Tennessee,SEC (East),111,4,8,.333,0,8,.000,19.8,29.1,-3.18,3.41,25,23,,
2017,auburn,Auburn,SEC (West),113,10,4,.714,7,1,.875,33.9,18.5,17.95,6.38,12,4,10,
2017,louisiana-state,LSU,SEC (West),114,9,4,.692,6,2,.750,27.2,18.9,11.77,3.93,13,12,18,
2017,mississippi-state,Mississippi State,SEC (West),115,9,4,.692,4,4,.500,32.0,20.9,11.85,3.85,,16,19,
2017,texas-am,Texas A&M,SEC (West),116,7,6,.538,4,4,.500,32.7,30.7,3.36,3.05,,,,
2017,mississippi,Ole Miss,SEC (West),117,6,6,.500,3,5,.375,32.8,34.6,2.78,1.44,,,,
2017,arkansas,Arkansas,SEC (West),118,4,8,.333,1,7,.125,28.8,36.2,-2.45,4.30,,,,
2017,appalachian-state,Appalachian State,Sun Belt,119,9,4,.692,7,1,.875,33.5,20.2,0.59,-7.72,,,,
2017,coastal-carolina,Coastal Carolina,Sun Belt,120,3,9,.250,2,6,.250,23.7,34.0,-17.20,-8.78,,,,
2017,georgia-southern,Georgia Southern,Sun Belt,121,2,10,.167,2,6,.250,20.8,32.2,-16.83,-5.58,,,,
2017,troy,Troy,Sun Belt,122,11,2,.846,7,1,.875,31.5,18.5,3.59,-8.03,,,,
2017,arkansas-state,Arkansas State,Sun Belt,123,7,5,.583,6,2,.750,37.8,25.8,-2.42,-9.92,,,,
2017,georgia-state,Georgia State,Sun Belt,124,7,5,.583,5,3,.625,20.3,24.8,-10.66,-9.25,,,,
2017,new-mexico-state,New Mexico State,Sun Belt,125,7,6,.538,4,4,.500,29.3,29.7,-8.69,-8.30,,,,
2017,louisiana-lafayette,Louisiana,Sun Belt,126,5,7,.417,4,4,.500,28.2,40.0,-15.51,-8.35,,,,
2017,louisiana-monroe,Louisiana-Monroe,Sun Belt,127,4,8,.333,4,4,.500,33.9,41.0,-10.88,-4.88,,,,
2017,idaho,Idaho,Sun Belt,128,4,8,.333,3,5,.375,20.9,25.8,-11.35,-7.94,,,,
2017,south-alabama,South Alabama,Sun Belt,129,4,8,.333,3,5,.375,19.8,26.5,-11.71,-6.46,,,,
2017,texas-state,Texas State,Sun Belt,130,2,10,.167,1,7,.125,17.3,33.6,-19.31,-7.31,,,,
2018,clemson,Clemson,ACC (Atlantic),1,15,0,1.000,8,0,1.000,44.3,13.1,26.45,5.19,2,1,1,
2018,syracuse,Syracuse,ACC (Atlantic),2,10,3,.769,6,2,.750,40.2,27.0,12.14,1.30,,12,15,
2018,north-carolina-state,North Carolina State,ACC (Atlantic),3,9,4,.692,5,3,.625,33.8,24.9,6.80,0.49,,16,,
2018,boston-college,Boston College,ACC (Atlantic),4,7,5,.583,4,4,.500,32.0,25.7,4.61,1.78,,17,,
2018,wake-forest,Wake Forest,ACC (Atlantic),5,7,6,.538,3,5,.375,32.8,33.3,2.41,2.41,,,,
2018,florida-state,Florida State,ACC (Atlantic),6,5,7,.417,3,5,.375,21.9,31.5,-1.67,4.92,19,19,,
2018,louisville,Louisville,ACC (Atlantic),7,2,10,.167,0,8,.000,19.8,44.1,-9.84,5.41,,,,
2018,georgia-tech,Georgia Tech,ACC (Coastal),9,7,6,.538,5,3,.625,33.6,29.3,2.76,1.76,,,,
2018,virginia,Virginia,ACC (Coastal),10,8,5,.615,4,4,.500,28.5,20.1,7.11,-0.04,,23,,
2018,miami-fl,Miami (FL),ACC (Coastal),11,7,6,.538,4,4,.500,28.8,19.5,6.58,1.73,8,8,,
2018,virginia-tech,Virginia Tech,ACC (Coastal),12,6,7,.462,4,4,.500,29.8,31.0,-0.37,1.55,20,12,,
2018,duke,Duke,ACC (Coastal),13,8,5,.615,3,5,.375,29.4,27.4,6.37,3.60,,22,,
2018,north-carolina,North Carolina,ACC (Coastal),14,2,9,.182,1,7,.125,27.4,34.5,-4.75,1.70,,,,
2018,central-florida,UCF,American (East),15,12,1,.923,8,0,1.000,43.2,22.7,14.53,-2.78,21,7,11,
2018,temple,Temple,American (East),16,8,5,.615,7,1,.875,34.9,27.1,1.78,-2.60,,,,
2018,cincinnati,Cincinnati,American (East),17,11,2,.846,6,2,.750,34.9,17.2,7.15,-3.93,,19,24,
2018,south-florida,South Florida,American (East),18,7,6,.538,3,5,.375,28.5,32.0,-6.28,-3.74,,21,,
2018,east-carolina,East Carolina,American (East),19,3,9,.250,1,7,.125,22.8,37.3,-11.08,-2.41,,,,
2018,connecticut,Connecticut,American (East),20,1,11,.083,0,8,.000,22.2,50.4,-18.99,-1.32,,,,
2018,memphis,Memphis,American (West),22,8,6,.571,5,3,.625,42.9,31.9,2.27,-3.88,,,,
2018,tulane,Tulane,American (West),23,7,6,.538,5,3,.625,26.8,27.5,-0.86,-2.17,,,,
2018,southern-methodist,SMU,American (West),24,5,7,.417,4,4,.500,30.4,35.3,-5.38,-0.80,,,,
2018,tulsa,Tulsa,American (West),25,3,9,.250,2,6,.250,24.1,29.6,-9.74,-3.74,,,,
2018,navy,Navy,American (West),26,3,10,.231,2,6,.250,25.0,33.5,-7.09,0.68,,,,
2018,oklahoma,Oklahoma,Big 12,27,12,2,.857,8,1,.889,48.4,33.3,18.06,6.14,7,4,4,
2018,texas,Texas,Big 12,28,10,4,.714,7,2,.778,31.1,25.9,11.15,6.30,23,6,9,
2018,west-virginia,West Virginia,Big 12,29,8,4,.667,6,3,.667,40.3,27.2,12.60,3.85,17,6,20,
2018,iowa-state,Iowa State,Big 12,30,8,5,.615,6,3,.667,26.8,22.9,7.78,4.01,,18,,
2018,baylor,Baylor,Big 12,31,7,6,.538,4,5,.444,29.5,31.7,3.25,3.02,,,,
2018,texas-christian,Texas Christian,Big 12,32,7,6,.538,4,5,.444,23.5,23.1,3.88,4.34,16,15,,
2018,oklahoma-state,Oklahoma State,Big 12,33,7,6,.538,3,6,.333,38.4,32.5,6.82,3.67,,15,,
2018,kansas-state,Kansas State,Big 12,34,5,7,.417,3,6,.333,22.5,25.4,1.39,3.47,,,,
2018,texas-tech,Texas Tech,Big 12,35,5,7,.417,3,6,.333,37.3,31.1,5.09,3.76,,25,,
2018,kansas,Kansas,Big 12,36,3,9,.250,1,8,.111,23.8,30.0,-4.86,2.14,,,,
2018,ohio-state,Ohio State,Big Ten (East),37,13,1,.929,8,1,.889,42.4,25.5,17.74,4.10,5,2,3,
2018,michigan,Michigan,Big Ten (East),38,10,3,.769,8,1,.889,35.2,19.4,16.47,5.47,14,4,14,
2018,penn-state,Penn State,Big Ten (East),39,9,4,.692,6,3,.667,33.8,20.5,12.32,4.86,10,8,17,
2018,michigan-state,Michigan State,Big Ten (East),40,7,6,.538,5,4,.556,18.7,17.2,6.01,5.08,11,11,,
2018,maryland,Maryland,Big Ten (East),41,5,7,.417,3,6,.333,28.5,28.7,2.88,4.63,,,,
2018,indiana,Indiana,Big Ten (East),42,5,7,.417,2,7,.222,26.4,29.9,2.44,5.61,,,,
2018,rutgers,Rutgers,Big Ten (East),43,1,11,.083,0,9,.000,13.5,31.4,-9.65,4.10,,,,
2018,iowa,Iowa,Big Ten (West),45,9,4,.692,5,4,.556,31.2,17.8,13.14,3.29,,18,25,
2018,wisconsin,Wisconsin,Big Ten (West),46,8,5,.615,5,4,.556,29.7,22.6,7.68,2.60,4,4,,
2018,purdue,Purdue,Big Ten (West),47,6,7,.462,5,4,.556,30.5,30.0,7.04,6.51,,,,
2018,minnesota,Minnesota,Big Ten (West),48,7,6,.538,3,6,.333,28.9,26.5,5.28,4.05,,,,
2018,nebraska,Nebraska,Big Ten (West),49,4,8,.333,3,6,.333,30.0,31.3,3.48,4.82,,,,
2018,illinois,Illinois,Big Ten (West),50,4,8,.333,2,7,.222,26.0,39.4,-6.05,0.79,,,,
2018,middle-tennessee-state,Middle Tennessee State,CUSA (East),51,8,6,.571,7,1,.875,28.0,26.7,0.65,-1.85,,,,
2018,florida-international,Florida International,CUSA (East),52,9,4,.692,6,2,.750,34.6,25.2,-0.53,-7.15,,,,
2018,marshall,Marshall,CUSA (East),53,9,4,.692,6,2,.750,28.2,21.8,0.69,-5.92,,,,
2018,charlotte,Charlotte,CUSA (East),54,5,7,.417,4,4,.500,21.7,26.6,-7.33,-4.24,,,,
2018,florida-atlantic,Florida Atlantic,CUSA (East),55,5,7,.417,3,5,.375,31.1,31.8,-2.73,-2.15,,,,
2018,old-dominion,Old Dominion,CUSA (East),56,4,8,.333,2,6,.250,30.8,35.9,-12.87,-6.79,,,,
2018,western-kentucky,Western Kentucky,CUSA (East),57,3,9,.250,2,6,.250,21.1,27.8,-14.11,-6.78,,,,
2018,north-texas,North Texas,CUSA (West),59,9,4,.692,5,3,.625,34.6,24.2,0.58,-8.42,,,,
2018,louisiana-tech,Louisiana Tech,CUSA (West),60,8,5,.615,5,3,.625,24.7,23.0,-4.78,-6.70,,,,
2018,southern-mississippi,Southern Mississippi,CUSA (West),61,6,5,.545,5,3,.625,26.2,19.8,-4.18,-7.36,,,,
2018,texas-san-antonio,UTSA,CUSA (West),62,3,9,.250,2,6,.250,14.2,31.2,-16.40,-4.40,,,,
2018,rice,Rice,CUSA (West),63,2,11,.154,1,7,.125,18.9,36.0,-19.18,-5.03,,,,
2018,texas-el-paso,UTEP,CUSA (West),64,1,11,.083,1,7,.125,17.7,32.8,-22.88,-8.46,,,,
2018,liberty,Liberty,Ind,65,6,6,.500,,,,33.3,36.8,-9.12,-6.62,,,,
2018,massachusetts,Massachusetts,Ind,66,4,8,.333,,,,32.8,42.9,-11.06,-2.81,,,,
2018,new-mexico-state,New Mexico State,Ind,67,3,9,.250,,,,25.3,41.3,-17.59,-5.84,,,,
2018,notre-dame,Notre Dame,Ind,68,12,1,.923,,,,31.4,18.2,17.40,5.17,12,3,5,
2018,army,Army,Ind,69,11,2,.846,,,,32.8,17.7,7.27,-3.81,,19,19,
2018,brigham-young,BYU,Ind,70,7,6,.538,,,,27.2,21.4,3.07,-0.94,,20,,
2018,buffalo,Buffalo,MAC (East),71,10,4,.714,7,1,.875,34.6,25.9,1.57,-5.29,,,,
2018,ohio,Ohio,MAC (East),72,9,4,.692,6,2,.750,40.1,24.6,4.51,-5.95,,,,
2018,miami-oh,Miami (OH),MAC (East),73,6,6,.500,6,2,.750,28.1,25.5,-0.73,-2.73,,,,
2018,akron,Akron,MAC (East),74,4,8,.333,2,6,.250,18.9,27.2,-11.66,-3.33,,,,
2018,bowling-green-state,Bowling Green,MAC (East),75,3,9,.250,2,6,.250,24.3,40.0,-15.11,-4.11,,,,
2018,kent-state,Kent State,MAC (East),76,2,10,.167,1,7,.125,23.9,36.7,-15.05,-3.64,,,,
2018,eastern-michigan,Eastern Michigan,MAC (West),78,7,6,.538,5,3,.625,27.0,22.1,-1.16,-4.85,,,,
2018,toledo,Toledo,MAC (West),79,7,6,.538,5,3,.625,40.4,30.5,-0.70,-5.00,,,,
2018,western-michigan,Western Michigan,MAC (West),80,7,6,.538,5,3,.625,32.0,34.5,-4.92,-3.31,,,,
2018,ball-state,Ball State,MAC (West),81,4,8,.333,3,5,.375,24.2,32.4,-10.49,-4.08,,,,
2018,central-michigan,Central Michigan,MAC (West),82,1,11,.083,0,8,.000,15.0,27.3,-15.76,-4.18,,,,
2018,utah-state,Utah State,MWC (Mountain),83,11,2,.846,7,1,.875,47.5,22.2,9.58,-5.88,,14,22,
2018,boise-state,Boise State,MWC (Mountain),84,10,3,.769,7,1,.875,35.4,22.1,8.69,-0.46,22,17,23,
2018,wyoming,Wyoming,MWC (Mountain),85,6,6,.500,4,4,.500,20.7,22.0,-3.45,-2.12,,,,
2018,air-force,Air Force,MWC (Mountain),86,5,7,.417,3,5,.375,30.3,25.8,-1.72,-3.80,,,,
2018,colorado-state,Colorado State,MWC (Mountain),87,3,9,.250,2,6,.250,22.8,36.8,-12.74,-2.49,,,,
2018,new-mexico,New Mexico,MWC (Mountain),88,3,9,.250,1,7,.125,26.6,36.2,-11.30,-3.21,,,,
2018,nevada,Nevada,MWC (West),90,8,5,.615,5,3,.625,31.1,26.9,-1.62,-3.78,,,,
2018,hawaii,Hawaii,MWC (West),91,8,6,.571,5,3,.625,30.8,35.1,-6.13,-4.41,,,,
2018,san-diego-state,San Diego State,MWC (West),92,7,6,.538,4,4,.500,20.6,22.2,-3.32,-1.94,,,,
2018,nevada-las-vegas,Nevada-Las Vegas,MWC (West),93,4,8,.333,2,6,.250,28.8,37.3,-9.98,-4.48,,,,
2018,san-jose-state,San Jose State,MWC (West),94,1,11,.083,1,7,.125,21.3,36.6,-12.93,-0.68,,,,
2018,washington,Washington,Pac-12 (North),95,10,4,.714,7,2,.778,26.4,16.4,11.42,3.70,6,6,13,
2018,washington-state,Washington State,Pac-12 (North),96,11,2,.846,7,2,.778,37.5,23.3,12.19,-0.04,,7,10,
2018,stanford,Stanford,Pac-12 (North),97,9,4,.692,6,3,.667,28.4,22.9,7.71,2.87,13,7,,
2018,oregon,Oregon,Pac-12 (North),98,9,4,.692,5,4,.556,34.8,25.4,6.67,-0.49,24,12,,
2018,california,California,Pac-12 (North),99,7,6,.538,4,5,.444,21.5,20.4,1.67,0.67,,24,,
2018,oregon-state,Oregon State,Pac-12 (North),100,2,10,.167,1,8,.111,26.1,45.7,-10.86,3.56,,,,
2018,arizona-state,Arizona State,Pac-12 (South),102,7,6,.538,5,4,.556,29.9,25.5,5.37,1.67,,23,,
2018,arizona,Arizona,Pac-12 (South),103,5,7,.417,4,5,.444,31.3,32.6,-0.57,0.76,,,,
2018,southern-california,USC,Pac-12 (South),104,5,7,.417,4,5,.444,26.1,27.0,2.22,3.39,15,15,,
2018,ucla,UCLA,Pac-12 (South),105,3,9,.250,3,6,.333,24.6,34.1,-2.19,6.73,,,,
2018,colorado,Colorado,Pac-12 (South),106,5,7,.417,2,7,.222,27.1,27.3,-1.17,0.08,,19,,
2018,georgia,Georgia,SEC (East),107,11,3,.786,7,1,.875,37.9,19.2,20.69,6.33,3,2,7,
2018,florida,Florida,SEC (East),108,10,3,.769,5,3,.625,35.0,20.0,13.66,4.04,,7,7,
2018,kentucky,Kentucky,SEC (East),109,10,3,.769,5,3,.625,26.6,16.8,12.06,4.37,,11,12,
2018,missouri,Missouri,SEC (East),110,8,5,.615,4,4,.500,36.6,25.5,13.14,5.75,,24,,
