year,school_id,school,conference,rank,overall_w,overall_l,overall_pct,conf_w,conf_l,conf_pct,offense_ppg,defense_ppg,srs,sos,ap_pre,ap_high,ap_post,notes
2015,wyoming,Wyoming,MWC (Mountain),85,2,10,.167,2,6,.250,19.0,34.0,-17.03,-3.53,,,,
2015,nevada,Nevada,MWC (West),87,7,6,.538,4,4,.500,26.2,26.8,-6.26,-6.11,,,,
2015,san-jose-state,San Jose State,MWC (West),88,6,7,.462,4,4,.500,27.9,27.2,-4.98,-4.37,,,,
2015,fresno-state,Fresno State,MWC (West),89,3,9,.250,2,6,.250,22.3,38.1,-12.12,-1.79,,,,
2015,nevada-las-vegas,Nevada-Las Vegas,MWC (West),90,3,9,.250,2,6,.250,28.6,33.7,-10.42,-3.33,,,,
2015,hawaii,Hawaii,MWC (West),91,3,10,.231,0,8,.000,17.6,35.6,-14.63,-2.71,,,,
2015,stanford,Stanford,Pac-12 (North),92,12,2,.857,8,1,.889,37.8,22.6,18.81,5.17,21,3,3,
2015,oregon,Oregon,Pac-12 (North),93,9,4,.692,7,2,.778,43.0,37.5,11.05,4.74,7,7,19,
2015,washington-state,Washington State,Pac-12 (North),94,9,4,.692,6,3,.667,31.5,27.7,6.55,1.48,,20,,
2015,california,California,Pac-12 (North),95,8,5,.615,4,5,.444,37.9,30.7,9.54,4.92,,20,,
2015,washington,Washington,Pac-12 (North),96,7,6,.538,4,5,.444,30.6,18.8,9.73,4.27,,,,
2015,oregon-state,Oregon State,Pac-12 (North),97,2,10,.167,0,9,.000,19.0,37.0,-7.66,5.51,,,,
2015,southern-california,USC,Pac-12 (South),99,8,6,.571,6,3,.667,33.9,25.7,11.53,7.39,8,6,,
2015,ucla,UCLA,Pac-12 (South),100,8,5,.615,5,4,.556,32.2,26.0,8.73,4.27,13,7,,
2015,arizona-state,Arizona State,Pac-12 (South),101,6,7,.462,4,5,.444,34.6,33.5,4.91,4.45,15,15,,
2015,arizona,Arizona,Pac-12 (South),102,7,6,.538,3,6,.333,37.4,35.8,1.27,1.12,22,16,,
2015,colorado,Colorado,Pac-12 (South),103,4,9,.308,1,8,.111,24.6,27.5,-3.51,1.33,,,,
2015,florida,Florida,SEC (East),104,10,4,.714,7,1,.875,23.2,18.3,9.65,4.94,,8,25,
2015,georgia,Georgia,SEC (East),105,10,3,.769,5,3,.625,26.3,16.9,8.98,1.83,9,7,,
2015,tennessee,Tennessee,SEC (East),106,9,4,.692,5,3,.625,35.2,20.0,13.94,3.10,25,22,22,
2015,kentucky,Kentucky,SEC (East),107,5,7,.417,2,6,.250,24.7,27.4,-4.09,0.41,,,,
2015,vanderbilt,Vanderbilt,SEC (East),108,4,8,.333,2,6,.250,15.2,21.0,-2.27,4.23,,,,
2015,missouri,Missouri,SEC (East),109,5,7,.417,1,7,.125,13.6,16.2,0.20,3.04,24,21,,record adjusted to 0-7-0 by NCAA
2015,south-carolina,South Carolina,SEC (East),110,3,9,.250,1,7,.125,21.9,27.5,-2.18,3.74,,,,
2015,mississippi,Ole Miss,SEC (West),112,10,3,.769,6,2,.750,40.8,22.6,14.42,4.42,17,3,10,
